Booking ID,Booking Status,DateTime,Vehicle Type,Pickup Location,Drop Location,Booking Value,Avg VTAT
"""CNR7036055""",Completed,2024-05-26 22:36:05,Bike,Faridabad Sector 15,Vinobapuri,86.0,7.7
"""CNR4715373""",Completed,2024-09-25 17:31:22,Auto,Ghitorni Village,Rajiv Nagar,63.0,7.6
"""CNR8068577""",Completed,2024-05-22 18:13:05,Bike,Janakpuri,IFFCO Chowk,402.0,6.4
"""CNR4666491""",Completed,2024-01-10 18:33:20,Premier Sedan,Akshardham,Shastri Park,220.0,6.0
"""CNR7386689""",Completed,2024-09-21 19:52:59,Go Mini,Gurgaon Sector 56,Vasant Kunj,196.0,13.8
"""CNR3422152""",Completed,2024-12-26 14:41:56,eBike,Qutub Minar,Moti Nagar,446.0,11.8
"""CNR3034053""",Completed,2024-05-21 16:58:40,Go Sedan,Sarai Kale Khan,Botanical Garden,608.0,6.3
"""CNR5994386""",Completed,2024-06-12 10:01:49,Bike,Saket A Block,Ramesh Nagar,454.0,12.8
"""CNR1973394""",Completed,2024-03-17 02:08:12,Go Sedan,Jhilmil,Vasant Kunj,747.0,8.1
"""CNR4802995""",Completed,2024-05-16 18:40:17,Premier Sedan,Model Town,Sonipat,412.0,11.6
"""CNR7028693""",Completed,2024-09-09 16:02:47,eBike,Noida Sector 18,Model Town,404.0,3.3
"""CNR3122045""",Completed,2024-07-11 20:47:53,Go Mini,Mehrauli,Sikanderpur,301.0,10.8
"""CNR9060565""",Completed,2024-07-29 16:48:05,Premier Sedan,Barakhamba Road,Jasola,753.0,5.7
"""CNR3575891""",Completed,2024-03-05 17:14:30,Auto,IGNOU Road,Akshardham,447.0,13.2
"""CNR2775531""",Completed,2024-09-24 16:23:55,Go Mini,Maidan Garhi,IFFCO Chowk,378.0,13.2
"""CNR4645249""",Completed,2024-11-25 11:30:11,eBike,Kashmere Gate ISBT,Panchsheel Park,168.0,2.3
"""CNR6197135""",Completed,2024-11-12 07:50:30,Go Mini,Moti Nagar,Ghitorni Village,217.0,10.4
"""CNR4215294""",Completed,2024-01-10 15:20:46,Premier Sedan,Sikanderpur,Patel Chowk,917.0,14.7
"""CNR3123150""",Completed,2024-11-25 02:30:38,eBike,Subhash Nagar,Moti Nagar,914.0,10.9
"""CNR4134932""",Completed,2024-07-19 20:35:44,Go Mini,Tis Hazari,Rohini,393.0,5.2
"""CNR8442785""",Completed,2024-09-04 11:06:44,Bike,IGNOU Road,Kanhaiya Nagar,133.0,11.4
"""CNR5104565""",Completed,2024-06-18 11:54:01,Premier Sedan,Chanakyapuri,Kirti Nagar,256.0,10.9
"""CNR5715194""",Completed,2024-09-25 15:06:49,Go Mini,Govindpuri,Noida Sector 18,135.0,11.0
"""CNR7498137""",Completed,2024-01-12 14:27:41,Bike,Chanakyapuri,Civil Lines Gurgaon,226.0,6.8
"""CNR6672970""",Completed,2024-06-25 17:19:45,Go Sedan,Aya Nagar,Raj Nagar Extension,832.0,6.9
"""CNR9249380""",Completed,2024-09-12 13:43:11,Premier Sedan,Khandsa,Tis Hazari,257.0,8.3
"""CNR4534216""",Incomplete,2024-09-30 07:00:48,Go Sedan,Rajiv Nagar,GTB Nagar,428.0,7.0
"""CNR1993047""",Completed,2024-06-30 22:11:25,Auto,Kirti Nagar,Tilak Nagar,656.0,5.9
"""CNR4762531""",Completed,2024-05-12 14:54:46,Auto,Ghaziabad,Shahdara,969.0,5.8
"""CNR6177422""",Completed,2024-11-22 00:13:50,Bike,Ashok Park Main,Moti Nagar,983.0,2.5
"""CNR2608448""",Completed,2024-02-08 10:56:12,Go Sedan,Hauz Khas,Badarpur,463.0,5.1
"""CNR6026851""",Completed,2024-10-05 22:15:02,Go Sedan,Pataudi Chowk,Peeragarhi,348.0,4.0
"""CNR3966448""",Completed,2024-02-23 16:17:08,Auto,Samaypur Badli,Okhla,439.0,2.3
"""CNR4363142""",Incomplete,2024-02-18 13:58:55,Auto,Sonipat,Madipur,320.0,7.7
"""CNR3203477""",Completed,2024-02-17 20:38:53,Bike,Udyog Bhawan,Ashok Park Main,666.0,8.6
"""CNR2817835""",Completed,2024-09-08 06:17:11,Go Mini,Karkarduma,Subhash Chowk,1361.0,9.9
"""CNR9435112""",Completed,2024-07-05 07:49:03,Auto,RK Puram,Samaypur Badli,435.0,12.3
"""CNR9959930""",Completed,2024-10-16 13:14:23,Go Sedan,Sonipat,Dilshad Garden,239.0,7.0
"""CNR9904470""",Completed,2024-06-23 15:10:15,Auto,Moti Nagar,Punjabi Bagh,607.0,4.6
"""CNR5641229""",Completed,2024-08-10 21:38:19,Go Sedan,Ramesh Nagar,Rajiv Chowk,1632.0,7.0
"""CNR3519392""",Completed,2024-03-24 10:28:25,Premier Sedan,Badshahpur,Mehrauli,721.0,2.6
"""CNR7208423""",Completed,2024-05-25 19:14:18,Bike,Saidulajab,Indraprastha,2328.0,7.5
"""CNR5239998""",Completed,2024-04-24 20:28:37,Go Sedan,Greater Kailash,Chanakyapuri,286.0,3.9
"""CNR8626386""",Completed,2024-10-27 14:48:47,Premier Sedan,Mehrauli,Akshardham,672.0,5.6
"""CNR1401168""",Completed,2024-05-25 18:57:42,Premier Sedan,Mundka,Sultanpur,751.0,2.8
"""CNR3467080""",Completed,2024-04-05 14:00:27,Go Sedan,Panchsheel Park,Seelampur,73.0,4.2
"""CNR4588860""",Completed,2024-11-04 21:24:21,Bike,Welcome,Azadpur,504.0,13.1
"""CNR3870348""",Completed,2024-11-25 16:17:41,Go Sedan,Saidulajab,Sarojini Nagar,911.0,2.9
"""CNR2934263""",Completed,2024-03-25 05:07:15,Premier Sedan,Saket,Kashmere Gate ISBT,192.0,15.0
"""CNR8649779""",Completed,2024-03-18 18:56:17,eBike,MG Road,Khandsa,208.0,13.9
"""CNR9623602""",Completed,2024-03-11 14:16:33,Go Mini,IGNOU Road,GTB Nagar,485.0,7.2
"""CNR1605575""",Completed,2024-07-31 23:39:52,Premier Sedan,Subhash Chowk,Qutub Minar,298.0,8.9
"""CNR4549763""",Completed,2024-06-26 21:33:57,Go Sedan,Gurgaon Railway Station,Lajpat Nagar,349.0,8.8
"""CNR6778932""",Completed,2024-01-03 02:51:22,Go Sedan,Gurgaon Sector 29,Narsinghpur,224.0,2.4
"""CNR1736495""",Incomplete,2024-12-28 15:34:51,Go Sedan,Karkarduma,Noida Film City,943.0,3.5
"""CNR1405417""",Incomplete,2024-03-15 20:52:36,Go Sedan,Lok Kalyan Marg,Inderlok,870.0,5.9
"""CNR5527486""",Completed,2024-11-12 18:52:21,Auto,Sohna Road,IGNOU Road,435.0,5.0
"""CNR3882280""",Completed,2024-10-19 18:32:16,Go Sedan,Pataudi Chowk,Jor Bagh,395.0,12.7
"""CNR5472109""",Completed,2024-08-12 08:57:26,Go Mini,Adarsh Nagar,Maidan Garhi,327.0,2.0
"""CNR2678197""",Completed,2024-09-25 07:57:52,eBike,Tagore Garden,Kanhaiya Nagar,248.0,10.9
"""CNR2094763""",Completed,2024-07-02 09:12:30,Premier Sedan,Lal Quila,Tilak Nagar,84.0,11.5
"""CNR5411958""",Incomplete,2024-02-03 17:23:20,Premier Sedan,Vasant Kunj,Rohini West,436.0,7.5
"""CNR5577217""",Completed,2024-01-07 16:10:39,Bike,India Gate,Udyog Bhawan,956.0,2.2
"""CNR7116878""",Completed,2024-01-14 20:55:21,Bike,Saket,Noida Film City,960.0,13.9
"""CNR3230933""",Completed,2024-10-08 17:23:58,eBike,Udyog Bhawan,Ashok Park Main,87.0,9.4
"""CNR9815636""",Completed,2024-11-01 19:39:10,Go Mini,IFFCO Chowk,Nehru Place,593.0,14.4
"""CNR4140742""",Completed,2024-01-08 15:47:22,Auto,Saket,India Gate,614.0,3.6
"""CNR8141819""",Completed,2024-07-16 11:58:09,Go Mini,Model Town,Sadar Bazar Gurgaon,677.0,12.2
"""CNR5317954""",Completed,2024-02-09 00:26:09,eBike,Udyog Vihar Phase 4,Old Gurgaon,356.0,10.7
"""CNR5314659""",Completed,2024-08-01 19:07:52,Go Mini,Raj Nagar Extension,Jhilmil,389.0,3.7
"""CNR2921493""",Completed,2024-07-23 13:06:48,Bike,Narsinghpur,Shastri Park,935.0,4.4
"""CNR9582858""",Completed,2024-05-14 23:30:36,Premier Sedan,Khan Market,Sultanpur,305.0,10.2
"""CNR1969497""",Completed,2024-12-20 22:15:18,Go Mini,Kalkaji,Indraprastha,969.0,12.4
"""CNR1237120""",Completed,2024-03-08 07:24:12,Go Sedan,Udyog Bhawan,Yamuna Bank,505.0,5.1
"""CNR7986605""",Completed,2024-09-05 17:12:17,Go Mini,Anand Vihar,Ambience Mall,140.0,11.1
"""CNR9754371""",Incomplete,2024-04-16 20:00:15,Bike,Pitampura,Ardee City,455.0,2.6
"""CNR3268594""",Completed,2024-07-08 16:30:00,Bike,Delhi Gate,Paharganj,162.0,2.1
"""CNR7737967""",Completed,2024-12-24 19:05:55,Auto,Rohini East,Bhiwadi,822.0,15.0
"""CNR3929732""",Completed,2024-04-23 17:43:20,Go Mini,Bahadurgarh,Pitampura,449.0,13.2
"""CNR5172269""",Completed,2024-03-28 10:06:29,Auto,Gurgaon Railway Station,Vishwavidyalaya,832.0,7.3
"""CNR7095332""",Completed,2024-06-15 11:19:38,Auto,Saket A Block,Inderlok,361.0,13.5
"""CNR1950758""",Completed,2024-02-23 22:54:23,Auto,Pragati Maidan,Tughlakabad,189.0,6.3
"""CNR4044223""",Completed,2024-01-09 17:33:35,Go Sedan,IGNOU Road,Hauz Khas,333.0,5.6
"""CNR1448464""",Completed,2024-03-20 15:02:44,Auto,Rajiv Chowk,Bhikaji Cama Place,2373.0,14.3
"""CNR3389994""",Completed,2024-12-25 20:16:56,Bike,Ghitorni Village,Pitampura,235.0,7.1
"""CNR2954674""",Completed,2024-12-09 11:50:25,Go Sedan,Old Gurgaon,Bahadurgarh,367.0,7.8
"""CNR8161365""",Completed,2024-12-06 18:29:03,Go Sedan,Basai Dhankot,Bhiwadi,133.0,8.6
"""CNR7331098""",Incomplete,2024-06-06 13:23:34,Premier Sedan,RK Puram,Noida Film City,933.0,8.8
"""CNR8264978""",Completed,2024-09-11 09:04:49,Go Sedan,Vishwavidyalaya,New Delhi Railway Station,70.0,12.5
"""CNR1870196""",Completed,2024-10-16 17:29:26,Premier Sedan,Delhi Gate,Karkarduma,313.0,14.0
"""CNR7542029""",Completed,2024-03-25 09:02:00,Bike,Tughlakabad,Jahangirpuri,2340.0,4.6
"""CNR2288342""",Completed,2024-07-18 06:34:06,Go Sedan,Gwal Pahari,Rohini East,395.0,11.8
"""CNR9546166""",Completed,2024-01-22 01:54:13,Bike,Mandi House,Rohini East,759.0,7.7
"""CNR2587715""",Completed,2024-03-24 18:37:15,Go Mini,Qutub Minar,Chanakyapuri,190.0,7.3
"""CNR9115095""",Completed,2024-05-22 18:51:54,Bike,New Delhi Railway Station,Connaught Place,55.0,6.5
"""CNR5128933""",Completed,2024-07-12 17:36:11,Auto,Mayur Vihar,Badshahpur,1213.0,12.9
"""CNR4862788""",Completed,2024-12-15 08:25:27,Premier Sedan,Sadar Bazar Gurgaon,Dilshad Garden,243.0,7.4
"""CNR6457395""",Completed,2024-02-26 21:24:35,Go Sedan,INA Market,Arjangarh,381.0,14.3
"""CNR9149167""",Completed,2024-11-06 14:36:58,Go Mini,Patel Chowk,Noida Film City,831.0,8.2
"""CNR2348396""",Completed,2024-08-06 09:54:12,Go Sedan,Jama Masjid,Hero Honda Chowk,310.0,2.2
"""CNR4856340""",Completed,2024-11-11 09:53:59,Auto,Jahangirpuri,Basai Dhankot,228.0,3.0
"""CNR4297137""",Incomplete,2024-12-07 12:55:33,Bike,Narsinghpur,Laxmi Nagar,662.0,2.6
"""CNR9598982""",Completed,2024-05-18 17:30:28,Auto,Bhikaji Cama Place,Mansarovar Park,1312.0,9.3
"""CNR1030111""",Completed,2024-06-02 09:32:34,Go Sedan,Mayur Vihar,Ramesh Nagar,436.0,5.0
"""CNR5391298""",Completed,2024-08-17 17:36:19,Auto,Dilshad Garden,Noida Film City,879.0,13.9
"""CNR9353722""",Completed,2024-03-13 15:43:14,Go Mini,Qutub Minar,Meerut,618.0,6.5
"""CNR5001450""",Completed,2024-09-09 21:25:37,Uber XL,Khan Market,Tilak Nagar,478.0,12.5
"""CNR6553230""",Completed,2024-05-19 10:37:28,Go Sedan,IGI Airport,Botanical Garden,304.0,2.1
"""CNR8503641""",Completed,2024-05-22 20:55:45,Bike,Udyog Bhawan,Satguru Ram Singh Marg,426.0,6.8
"""CNR5772667""",Completed,2024-09-07 11:27:48,Uber XL,Pulbangash,IIT Delhi,627.0,12.3
"""CNR8459778""",Completed,2024-01-21 09:35:56,Bike,Patel Chowk,Hero Honda Chowk,599.0,12.6
"""CNR4588882""",Completed,2024-12-23 19:11:23,Go Sedan,IIT Delhi,Nirman Vihar,219.0,4.5
"""CNR9365447""",Completed,2024-03-14 10:51:57,Auto,Khan Market,Narsinghpur,215.0,6.0
"""CNR8082888""",Completed,2024-07-03 20:28:43,Go Sedan,Rohini,Ashok Vihar,391.0,9.5
"""CNR7238241""",Completed,2024-07-31 14:39:39,Premier Sedan,Yamuna Bank,Indraprastha,574.0,14.8
"""CNR5882059""",Completed,2024-01-11 13:06:55,Premier Sedan,Badarpur,Bahadurgarh,152.0,13.3
"""CNR4861271""",Completed,2024-08-14 23:56:47,Bike,Yamuna Bank,Ardee City,279.0,3.1
"""CNR1361077""",Completed,2024-12-29 20:03:42,Go Sedan,Kalkaji,Karkarduma,947.0,6.2
"""CNR1440205""",Completed,2024-04-01 18:29:01,Bike,Ashram,Udyog Bhawan,213.0,12.7
"""CNR4284824""",Completed,2024-06-16 15:08:45,Bike,Ardee City,Indirapuram,231.0,12.2
"""CNR3367889""",Completed,2024-07-12 07:53:44,Auto,Shivaji Park,Rohini,128.0,5.7
"""CNR3044187""",Completed,2024-06-02 11:24:15,Auto,Uttam Nagar,Paharganj,529.0,11.4
"""CNR9071667""",Completed,2024-01-19 16:53:43,Go Mini,Yamuna Bank,Okhla,169.0,7.0
"""CNR3504737""",Completed,2024-05-09 15:52:02,Uber XL,Ghaziabad,Sultanpur,214.0,10.0
"""CNR7947277""",Completed,2024-11-23 17:30:21,Bike,Shastri Nagar,IGI Airport,392.0,11.0
"""CNR2339651""",Completed,2024-06-29 20:30:41,Bike,Okhla,Khan Market,786.0,13.3
"""CNR1411567""",Completed,2024-08-01 18:38:34,Premier Sedan,Seelampur,Chanakyapuri,342.0,13.2
"""CNR4890380""",Completed,2024-06-01 21:00:05,Go Sedan,Raj Nagar Extension,Mayur Vihar,2589.0,10.4
"""CNR2262960""",Completed,2024-03-26 19:12:28,Auto,Kaushambi,Khandsa,687.0,11.1
"""CNR5153773""",Completed,2024-05-13 19:40:23,Auto,Karkarduma,Ghaziabad,772.0,5.3
"""CNR8424859""",Completed,2024-09-13 22:43:30,Go Mini,Kadarpur,Connaught Place,865.0,7.2
"""CNR4902612""",Completed,2024-12-08 16:32:58,Go Sedan,Lajpat Nagar,Gurgaon Sector 56,556.0,3.3
"""CNR4026287""",Completed,2024-01-30 06:21:07,Go Mini,Punjabi Bagh,Shahdara,586.0,7.1
"""CNR7354807""",Completed,2024-02-12 14:46:20,Bike,Green Park,Mehrauli,322.0,6.6
"""CNR8932094""",Completed,2024-07-21 09:43:18,Auto,Peeragarhi,Lajpat Nagar,343.0,14.3
"""CNR4720230""",Completed,2024-06-08 07:46:33,Go Sedan,Uttam Nagar,Pulbangash,554.0,13.1
"""CNR1943674""",Completed,2024-10-18 11:54:41,Auto,Jama Masjid,Vaishali,322.0,3.6
"""CNR8968277""",Completed,2024-04-17 06:26:57,Auto,Jahangirpuri,Sadar Bazar Gurgaon,688.0,5.7
"""CNR4905897""",Completed,2024-06-30 20:13:24,Bike,Mansarovar Park,Narsinghpur,202.0,4.2
"""CNR7638994""",Completed,2024-04-19 11:27:15,Bike,Arjangarh,Lok Kalyan Marg,380.0,3.9
"""CNR5958577""",Completed,2024-11-06 13:31:32,Auto,Bahadurgarh,Rohini,311.0,3.2
"""CNR3098223""",Completed,2024-08-04 06:43:47,Bike,Tilak Nagar,Karkarduma,476.0,10.4
"""CNR2534453""",Completed,2024-12-21 19:23:08,Auto,Anand Vihar ISBT,Jhilmil,1216.0,6.2
"""CNR1344099""",Completed,2024-12-29 21:34:27,Bike,Panchsheel Park,Inderlok,251.0,3.7
"""CNR1384796""",Incomplete,2024-08-01 21:56:21,Premier Sedan,Vatika Chowk,Ramesh Nagar,402.0,3.0
"""CNR6835107""",Completed,2024-09-04 07:09:24,Auto,Uttam Nagar,Punjabi Bagh,534.0,7.6
"""CNR6458326""",Completed,2024-08-10 06:04:47,Premier Sedan,Vaishali,Peeragarhi,312.0,5.2
"""CNR4649800""",Completed,2024-08-05 14:10:41,Auto,Netaji Subhash Place,Greater Kailash,447.0,6.3
"""CNR1501091""",Completed,2024-05-30 17:54:56,Bike,New Colony,Golf Course Road,952.0,9.4
"""CNR6784201""",Completed,2024-12-08 07:42:26,Go Sedan,Rohini,Kanhaiya Nagar,301.0,5.1
"""CNR3447789""",Completed,2024-05-08 04:01:50,Premier Sedan,Greater Noida,Qutub Minar,143.0,8.3
"""CNR2554554""",Completed,2024-11-06 11:26:33,Bike,Inderlok,South Extension,609.0,2.5
"""CNR7049951""",Completed,2024-05-21 15:14:41,eBike,Kashmere Gate ISBT,Arjangarh,241.0,4.7
"""CNR4365484""",Completed,2024-02-19 09:47:09,Bike,Kanhaiya Nagar,Sadar Bazar Gurgaon,427.0,9.7
"""CNR6966213""",Completed,2024-01-13 04:57:06,Go Mini,Subhash Chowk,Khandsa,750.0,11.4
"""CNR1715771""",Completed,2024-08-12 12:16:22,Bike,Rajiv Chowk,Anand Vihar ISBT,165.0,9.8
"""CNR6848827""",Incomplete,2024-02-08 17:25:36,Bike,IGNOU Road,ITO,600.0,3.1
"""CNR2628359""",Completed,2024-08-26 03:05:46,Go Mini,Vatika Chowk,Hauz Rani,57.0,5.4
"""CNR9723134""",Completed,2024-11-05 11:00:25,Uber XL,India Gate,Noida Extension,289.0,14.9
"""CNR7180382""",Completed,2024-05-01 07:52:03,Bike,Vidhan Sabha,Ashok Park Main,59.0,12.6
"""CNR9188545""",Completed,2024-03-15 17:17:55,Go Mini,Kherki Daula Toll,Huda City Centre,91.0,9.0
"""CNR6007664""",Completed,2024-07-22 23:59:10,Premier Sedan,Indirapuram,Sarojini Nagar,354.0,5.7
"""CNR1813316""",Completed,2024-06-02 19:59:35,Auto,Jahangirpuri,Botanical Garden,175.0,6.7
"""CNR2889898""",Completed,2024-11-29 23:53:48,Auto,DLF City Court,Noida Film City,413.0,13.6
"""CNR3178148""",Completed,2024-05-31 04:48:05,Go Sedan,Sohna Road,Bhiwadi,418.0,12.6
"""CNR8978766""",Completed,2024-06-24 14:04:33,Auto,Subhash Chowk,Gwal Pahari,201.0,7.4
"""CNR8860252""",Completed,2024-04-20 08:02:32,Bike,Jama Masjid,Mansarovar Park,864.0,13.9
"""CNR4682387""",Completed,2024-08-14 23:05:04,Premier Sedan,Kirti Nagar,Tughlakabad,173.0,10.0
"""CNR8036682""",Completed,2024-03-19 10:33:08,Auto,Saket,Civil Lines Gurgaon,945.0,10.8
"""CNR4047285""",Completed,2024-06-18 19:20:03,Go Mini,Tilak Nagar,Akshardham,463.0,11.9
"""CNR1272367""",Completed,2024-07-05 15:35:49,Bike,Ambience Mall,Lok Kalyan Marg,103.0,4.8
"""CNR3652674""",Completed,2024-02-04 15:28:02,eBike,New Delhi Railway Station,Janakpuri,356.0,10.2
"""CNR4208694""",Completed,2024-11-18 20:37:48,Go Mini,Rajiv Nagar,Patel Chowk,224.0,13.5
"""CNR3095427""",Completed,2024-03-05 19:19:05,Premier Sedan,Malviya Nagar,Shastri Park,60.0,10.4
"""CNR5427687""",Completed,2024-09-20 17:28:07,Auto,Karkarduma,Kherki Daula Toll,149.0,3.2
"""CNR4784068""",Incomplete,2024-06-15 07:40:27,Auto,Satguru Ram Singh Marg,Pragati Maidan,389.0,3.0
"""CNR9573931""",Completed,2024-07-01 00:10:53,Go Mini,Model Town,Ardee City,53.0,3.1
"""CNR3770057""",Completed,2024-02-28 15:01:50,Go Sedan,Kalkaji,Basai Dhankot,498.0,14.3
"""CNR1738537""",Completed,2024-01-26 09:44:51,Auto,Uttam Nagar,Sushant Lok,1548.0,7.1
"""CNR6412353""",Completed,2024-08-26 22:11:16,Bike,Jahangirpuri,Saket A Block,422.0,11.0
"""CNR4352839""",Completed,2024-11-10 10:26:58,Go Sedan,Peeragarhi,Yamuna Bank,253.0,9.3
