Date,Volume
2010-07-16,39319500
2011-02-08,52573500
2019-09-03,80311500
2017-10-27,104695500
2016-01-19,60580500
2020-10-21,97111500
2021-07-16,49113000
2014-07-21,57333000
2018-11-30,84436500
2010-12-10,6441000
2013-11-13,189874500
2017-08-10,106393500
2019-05-13,162522000
2018-12-03,124597500
2013-04-30,82839000
2013-06-25,87730500
2018-12-27,128626500
2013-08-07,273183000
2011-08-23,13035000
2013-11-11,209964000
2018-12-13,110488500
2015-03-10,83695500
2015-11-10,69255000
2013-07-15,148836000
2014-03-17,88689000
2017-05-30,116743500
2010-12-29,49788000
2012-08-21,11424000
2011-10-05,18442500
2019-05-09,100671000
2022-07-26,66820800
2020-08-03,132139500
2013-03-11,23692500
2016-11-25,35491500
2019-07-29,139099500
2014-03-19,76069500
2011-02-04,8160000
2021-02-02,73038600
2012-08-28,21040500
2019-06-28,102771000
2021-05-04,89217900
2018-04-06,202804500
2015-02-27,58231500
2015-01-29,53221500
2018-05-31,88795500
2018-08-21,197583000
2019-06-04,207112500
2020-07-01,199903500
2017-02-14,110178000
2019-07-17,146470500
2017-02-09,117303000
2013-11-18,347073000
2016-11-28,67938000
2012-08-07,35808000
2012-07-02,19734000
2012-03-29,11946000
2017-03-07,51892500
2015-06-25,42738000
2012-06-26,39208500
2021-08-25,37936800
2021-03-03,90624000
