Name,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,coded
Call of Duty: Ghosts,2013.0,Shooter,Activision,10.25,73.0,2.6,False
Just Dance 3,2011.0,Misc,Ubisoft,10.12,74.0,7.8,False
New Super Mario Bros. 2,2012.0,Platform,Nintendo,9.9,78.0,7.2,False
Halo: Reach,2010.0,Shooter,Microsoft Game Studios,9.86,91.0,7.9,False
Final Fantasy VII,1997.0,Role-Playing,Sony Computer Entertainment,9.72,92.0,9.2,False
Halo 4,2012.0,Shooter,Microsoft Game Studios,9.71,87.0,7.0,False
Gran Turismo 2,1999.0,Racing,Sony Computer Entertainment,9.49,93.0,9.0,False
Just Dance 2,2010.0,Misc,Ubisoft,9.44,74.0,7.3,False
Call of Duty: Ghosts,2013.0,Shooter,Activision,9.36,71.0,2.6,False
Call of Duty 4: Modern Warfare,2007.0,Shooter,Activision,9.31,94.0,8.4,False
Animal Crossing: New Leaf,2012.0,Simulation,Nintendo,9.16,88.0,8.7,False
Mario Party DS,2007.0,Misc,Nintendo,8.91,72.0,7.8,False
The Elder Scrolls V: Skyrim,2011.0,Role-Playing,Bethesda Softworks,8.79,96.0,8.4,False
FIFA 16,2015.0,Sports,Electronic Arts,8.57,82.0,4.3,False
Halo 2,2004.0,Shooter,Microsoft Game Studios,8.49,95.0,8.2,False
Wii Party,2010.0,Misc,Nintendo,8.38,68.0,7.4,False
Mario Party 8,2007.0,Misc,Nintendo,8.27,62.0,6.3,False
FIFA Soccer 13,2012.0,Action,Electronic Arts,8.16,88.0,6.6,False
Final Fantasy X,2001.0,Role-Playing,Sony Computer Entertainment,8.05,92.0,8.7,False
The Sims 3,2009.0,Simulation,Electronic Arts,8.01,86.0,7.6,False
Final Fantasy VIII,1999.0,Role-Playing,SquareSoft,7.86,90.0,8.6,False
Pokémon Platinum Version,2008.0,Role-Playing,Nintendo,7.72,83.0,8.5,False
Grand Theft Auto: Liberty City Stories,2005.0,Action,Take-Two Interactive,7.69,88.0,7.6,False
Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,7.66,83.0,5.7,False
FIFA 17,2016.0,Sports,Electronic Arts,7.59,85.0,5.0,False
Super Mario Galaxy 2,2010.0,Platform,Nintendo,7.51,97.0,9.1,False
Call of Duty: World at War,2008.0,Shooter,Activision,7.38,84.0,7.6,False
Battlefield 3,2011.0,Shooter,Electronic Arts,7.32,84.0,7.4,False
Need for Speed Underground,2003.0,Racing,Electronic Arts,7.2,85.0,8.6,False
Just Dance,2009.0,Misc,Ubisoft,7.2,49.0,8.0,False
Battlefield 3,2011.0,Shooter,Electronic Arts,7.17,85.0,7.5,False
Fallout 4,2015.0,Role-Playing,Bethesda Softworks,7.16,87.0,6.5,False
Tekken 3,1998.0,Fighting,Sony Computer Entertainment,7.16,96.0,9.1,False
The Legend of Zelda: Twilight Princess,2006.0,Action,Nintendo,7.15,95.0,9.0,False
Crash Bandicoot 3: Warped,1998.0,Platform,Sony Computer Entertainment,7.13,91.0,8.9,False
Mario Kart 8,2014.0,Racing,Nintendo,7.09,88.0,9.1,False
Super Smash Bros. Melee,2001.0,Fighting,Nintendo,7.07,92.0,9.1,False
Need for Speed Underground 2,2004.0,Racing,Electronic Arts,6.9,82.0,8.6,False
Medal of Honor: Frontline,2002.0,Shooter,Electronic Arts,6.83,88.0,8.5,False
Just Dance 4,2012.0,Misc,Ubisoft,6.76,74.0,7.3,False
Gears of War 2,2008.0,Shooter,Microsoft Game Studios,6.75,93.0,7.7,False
Uncharted 3: Drake's Deception,2011.0,Action,Sony Computer Entertainment,6.74,92.0,8.3,False
Call of Duty 4: Modern Warfare,2007.0,Shooter,Activision,6.68,94.0,8.4,False
Uncharted 2: Among Thieves,2009.0,Action,Sony Computer Entertainment,6.66,96.0,8.8,False
Big Brain Academy,2005.0,Misc,Nintendo,6.62,74.0,7.4,False
Red Dead Redemption,2010.0,Action,Take-Two Interactive,6.49,95.0,8.8,True
FIFA 14,2013.0,Sports,Electronic Arts,6.47,86.0,4.3,False
Assassin's Creed III,2012.0,Action,Ubisoft,6.45,85.0,6.9,False
Donkey Kong Country Returns,2010.0,Platform,Nintendo,6.44,87.0,8.6,False
Halo: Combat Evolved,2001.0,Shooter,Microsoft Game Studios,6.43,97.0,8.6,False
The Elder Scrolls V: Skyrim,2011.0,Role-Playing,Bethesda Softworks,6.41,92.0,6.4,False
Pokémon Emerald Version,2004.0,Role-Playing,Nintendo,6.41,76.0,9.0,False
Kingdom Hearts,2002.0,Role-Playing,Sony Computer Entertainment,6.4,85.0,8.8,False
Halo 3: ODST,2009.0,Shooter,Microsoft Game Studios,6.34,83.0,7.1,False
Red Dead Redemption,2010.0,Action,Take-Two Interactive,6.32,95.0,9.0,True
Super Mario Sunshine,2002.0,Platform,Nintendo,6.31,92.0,8.6,False
World of Warcraft,2004.0,Role-Playing,Activision,6.29,93.0,7.3,False
Driver,1999.0,Action,GT Interactive,6.27,87.0,8.1,False
Gears of War 3,2011.0,Shooter,Microsoft Game Studios,6.21,91.0,7.8,False
Kinect Sports,2010.0,Sports,Microsoft Game Studios,6.19,73.0,7.4,False
Gears of War,2006.0,Shooter,Microsoft Game Studios,6.09,94.0,8.3,False
FIFA 15,2014.0,Sports,Electronic Arts,6.08,82.0,5.7,False
Metal Gear Solid 2: Sons of Liberty,2001.0,Action,Konami Digital Entertainment,6.05,96.0,8.7,False
Metal Gear Solid,1998.0,Action,Konami Digital Entertainment,6.03,94.0,9.4,False
Metal Gear Solid 4: Guns of the Patriots,2008.0,Action,Konami Digital Entertainment,5.99,94.0,8.7,False
Final Fantasy XII,2006.0,Role-Playing,Square Enix,5.95,92.0,7.6,False
The Last of Us,2013.0,Action,Sony Computer Entertainment Europe,5.87,95.0,9.1,False
LittleBigPlanet,2008.0,Platform,Sony Computer Entertainment,5.82,95.0,6.8,False
Resident Evil 2,1998.0,Action,Virgin Interactive,5.82,89.0,9.2,False
Dragon Quest IX: Sentinels of the Starry Skies,2009.0,Role-Playing,Nintendo,5.78,87.0,8.8,False
Tekken 2,1996.0,Fighting,Sony Computer Entertainment,5.74,89.0,8.9,False
Destiny,2014.0,Shooter,Activision,5.64,76.0,6.1,False
LEGO Star Wars: The Complete Saga,2007.0,Action,LucasArts,5.64,80.0,8.9,False
Cooking Mama,2006.0,Simulation,505 Games,5.63,67.0,7.2,False
Assassin's Creed II,2009.0,Action,Ubisoft,5.55,91.0,8.6,False
Assassin's Creed,2007.0,Adventure,Ubisoft,5.54,81.0,7.7,False
Forza Motorsport 3,2009.0,Racing,Microsoft Game Studios,5.49,92.0,8.0,False
Super Mario Advance,2001.0,Platform,Nintendo,5.49,84.0,7.8,False
Monster Hunter Freedom Unite,2008.0,Role-Playing,Capcom,5.48,81.0,8.7,False
Batman: Arkham City,2011.0,Action,Warner Bros. Interactive Entertainment,5.48,96.0,8.6,False
Grand Theft Auto V,2014.0,Action,Take-Two Interactive,5.48,97.0,7.9,False
Mario Kart: Super Circuit,2001.0,Racing,Nintendo,5.47,93.0,8.3,False
Crash Bandicoot: The Wrath of Cortex,2001.0,Platform,Universal Interactive,5.42,66.0,7.1,False
Call of Duty: World at War,2008.0,Shooter,Activision,5.39,85.0,7.6,False
Uncharted 4: A Thief's End,2016.0,Shooter,Sony Computer Entertainment,5.38,93.0,7.9,False
Final Fantasy XIII,2009.0,Role-Playing,Square Enix,5.33,83.0,7.3,False
Final Fantasy IX,2000.0,Role-Playing,SquareSoft,5.3,94.0,8.9,False
Assassin's Creed III,2012.0,Action,Ubisoft,5.29,84.0,6.7,False
Final Fantasy X-2,2003.0,Role-Playing,Electronic Arts,5.29,85.0,6.6,False
Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,5.27,81.0,5.4,False
Assassin's Creed II,2009.0,Action,Ubisoft,5.26,90.0,8.8,False
New Super Mario Bros. U,2012.0,Platform,Nintendo,5.22,84.0,8.1,False
Dragon Quest VIII: Journey of the Cursed King,2004.0,Role-Playing,Square Enix,5.21,89.0,8.8,False
Professor Layton and the Curious Village,2007.0,Puzzle,Nintendo,5.19,85.0,8.6,False
FIFA Soccer 13,2012.0,Action,Electronic Arts,5.16,90.0,6.1,False
Diablo III,2012.0,Role-Playing,Activision,5.14,88.0,4.0,False
Medal of Honor: Rising Sun,2003.0,Shooter,Electronic Arts,5.13,68.0,7.6,False
Guitar Hero II,2006.0,Misc,RedOctane,5.12,92.0,8.5,False
Fable III,2010.0,Role-Playing,Microsoft Game Studios,5.1,80.0,6.5,False
Resident Evil 5,2009.0,Action,Capcom,5.09,84.0,7.5,False
The Legend of Zelda: Phantom Hourglass,2007.0,Action,Nintendo,5.08,90.0,8.0,False
FIFA Soccer 11,2010.0,Sports,Electronic Arts,5.07,89.0,8.0,False
Resident Evil,1996.0,Action,Virgin Interactive,5.05,91.0,9.0,False
Grand Theft Auto: Vice City Stories,2006.0,Action,Take-Two Interactive,5.03,86.0,8.0,False
Tony Hawk's Pro Skater,1999.0,Sports,Activision,5.02,92.0,9.2,False
Guitar Hero III: Legends of Rock,2007.0,Misc,Activision,4.98,82.0,8.2,False
Link's Crossbow Training,2007.0,Shooter,Nintendo,4.98,68.0,7.1,False
Fallout 3,2008.0,Role-Playing,Bethesda Softworks,4.93,93.0,8.5,False
Uncharted: Drake's Fortune,2007.0,Action,Sony Computer Entertainment,4.92,88.0,8.1,False
Madden NFL 06,2005.0,Sports,Electronic Arts,4.91,88.0,8.0,False
StarCraft II: Wings of Liberty,2010.0,Strategy,Activision,4.84,93.0,8.2,False
Assassin's Creed,2007.0,Adventure,Ubisoft,4.82,81.0,7.3,False
God of War III,2010.0,Action,Sony Computer Entertainment,4.8,92.0,8.7,False
Crash Team Racing,1999.0,Racing,Sony Computer Entertainment,4.79,88.0,9.0,False
LEGO Star Wars: The Complete Saga,2007.0,Action,LucasArts,4.76,80.0,5.4,False
Driver 2,2000.0,Action,Atari,4.73,62.0,7.7,False
Batman: Arkham City,2011.0,Action,Warner Bros. Interactive Entertainment,4.73,94.0,8.7,False
Tony Hawk's Pro Skater 2,2000.0,Sports,Activision,4.68,98.0,7.7,False
The Lord of the Rings: The Two Towers,2002.0,Action,Electronic Arts,4.67,82.0,8.2,False
Tomb Raider,1996.0,Action,Eidos Interactive,4.63,91.0,8.6,False
Animal Crossing: City Folk,2008.0,Simulation,Nintendo,4.62,73.0,7.6,False
Uncharted: The Nathan Drake Collection,2015.0,Action,Sony Computer Entertainment,4.62,86.0,8.1,False
The Legend of Zelda: The Wind Waker,2002.0,Action,Nintendo,4.6,96.0,8.9,False
Guitar Hero III: Legends of Rock,2007.0,Misc,Activision,4.6,86.0,8.4,False
Luigi's Mansion: Dark Moon,2013.0,Action,Nintendo,4.59,86.0,8.4,False
Forza Motorsport 4,2011.0,Racing,Microsoft Game Studios,4.57,91.0,8.2,False
Madden NFL 2005,2004.0,Sports,Electronic Arts,4.53,91.0,7.9,False
Guitar Hero III: Legends of Rock,2007.0,Misc,Activision,4.53,85.0,7.9,False
Madden NFL 07,2006.0,Sports,Electronic Arts,4.49,84.0,8.2,False
Halo 5: Guardians,2015.0,Shooter,Microsoft Game Studios,4.48,84.0,6.4,False
Spider-Man: The Movie,2002.0,Action,Activision,4.48,76.0,7.9,False
Call of Duty: Infinite Warfare,2016.0,Shooter,Activision,4.46,77.0,3.4,False
God of War,2005.0,Action,Sony Computer Entertainment,4.45,94.0,8.9,False
Splatoon,2015.0,Shooter,Nintendo,4.43,81.0,8.5,False
Nintendo Land,2012.0,Misc,Nintendo,4.42,77.0,7.9,False
Tony Hawk's Pro Skater 3,2001.0,Sports,Activision,4.41,97.0,7.5,False
Winning Eleven: Pro Evolution Soccer 2007,2006.0,Sports,Konami Digital Entertainment,4.39,86.0,8.9,False
The Elder Scrolls IV: Oblivion,2006.0,Role-Playing,Take-Two Interactive,4.38,94.0,8.7,False
Need for Speed: Most Wanted,2005.0,Racing,Electronic Arts,4.37,82.0,9.1,False
Michael Jackson: The Experience,2010.0,Misc,Ubisoft,4.36,56.0,8.3,False
Resistance: Fall of Man,2006.0,Shooter,Sony Computer Entertainment,4.34,86.0,8.1,False
Kingdom Hearts II,2005.0,Role-Playing,Square Enix,4.33,87.0,9.0,False
Super Mario 3D World,2013.0,Platform,Nintendo,4.32,93.0,9.0,False
Fable II,2008.0,Role-Playing,Microsoft Game Studios,4.27,89.0,6.5,False
Namco Museum,2001.0,Misc,Namco Bandai Games,4.24,79.0,7.3,False
Batman: Arkham Asylum,2009.0,Action,Eidos Interactive,4.23,91.0,8.9,False
Metal Gear Solid 3: Snake Eater,2004.0,Action,Konami Digital Entertainment,4.23,91.0,9.3,False
Assassin's Creed: Revelations,2011.0,Action,Ubisoft,4.22,80.0,7.5,False
Fallout 4,2015.0,Role-Playing,Bethesda Softworks,4.22,88.0,6.2,False
FIFA 14,2013.0,Sports,Electronic Arts,4.22,84.0,4.2,False
Daxter,2006.0,Platform,Sony Computer Entertainment,4.21,85.0,8.7,False
FIFA Soccer 06,2005.0,Sports,Electronic Arts,4.21,80.0,7.8,False
EyeToy Play,2003.0,Misc,Sony Computer Entertainment,4.2,80.0,7.5,False
Gran Turismo 5 Prologue,2007.0,Racing,Sony Computer Entertainment,4.19,80.0,7.1,False
Assassin's Creed: Revelations,2011.0,Action,Ubisoft,4.19,80.0,7.2,False
Street Fighter IV,2009.0,Fighting,Capcom,4.16,94.0,7.3,False
Madden NFL 2003,2002.0,Sports,Electronic Arts,4.14,95.0,7.7,False
Half-Life,1997.0,Shooter,Vivendi Games,4.12,96.0,9.1,False
World of Warcraft: The Burning Crusade,2007.0,Role-Playing,Activision,4.09,91.0,7.9,False
Battlefield 1,2016.0,Shooter,Electronic Arts,4.08,88.0,8.4,False
God of War II,2007.0,Action,Sony Computer Entertainment,4.07,93.0,8.9,False
Fallout: New Vegas,2010.0,Role-Playing,Bethesda Softworks,4.05,84.0,8.1,False
Forza Motorsport 2,2007.0,Racing,Microsoft Game Studios,4.05,90.0,8.3,False
Carnival Games,2007.0,Misc,Take-Two Interactive,4.05,56.0,6.0,False
Watch Dogs,2014.0,Action,Ubisoft,4.05,80.0,6.3,False
Tekken Tag Tournament,2000.0,Fighting,Namco Bandai Games,4.05,85.0,8.5,False
Far Cry 4,2014.0,Shooter,Ubisoft,4.04,85.0,7.7,False
Left 4 Dead 2,2009.0,Shooter,Electronic Arts,3.97,89.0,8.6,False
The Witcher 3: Wild Hunt,2015.0,Role-Playing,Namco Bandai Games,3.97,92.0,9.2,False
Assassin's Creed: Unity,2014.0,Action,Ubisoft,3.96,70.0,4.9,False
Batman: Arkham Knight,2015.0,Action,Warner Bros. Interactive Entertainment,3.95,87.0,7.6,False
The Legend of Zelda: Skyward Sword,2011.0,Action,Nintendo,3.95,93.0,8.0,False
Fallout 3,2008.0,Role-Playing,Bethesda Softworks,3.94,90.0,8.0,False
Professor Layton and the Diabolical Box,2007.0,Puzzle,Nintendo,3.94,84.0,8.8,False
EA Sports Active,2009.0,Sports,Electronic Arts,3.9,81.0,8.7,False
Tony Hawk's Underground,2003.0,Sports,Activision,3.9,90.0,8.7,False
Monster Hunter 4 Ultimate,2014.0,Role-Playing,Nintendo,3.89,86.0,8.7,False
The Elder Scrolls V: Skyrim,2011.0,Role-Playing,Bethesda Softworks,3.88,94.0,8.1,False
NBA 2K16,2015.0,Sports,Take-Two Interactive,3.88,87.0,6.7,False
Tekken 5,2005.0,Fighting,Namco Bandai Games,3.87,88.0,8.6,False
MotorStorm,2006.0,Racing,Sony Computer Entertainment,3.87,84.0,7.4,False
World Soccer Winning Eleven 8 International,2004.0,Sports,Konami Digital Entertainment,3.85,91.0,9.1,False
Sports Champions,2010.0,Sports,Sony Computer Entertainment,3.84,76.0,7.9,False
Call of Duty: Ghosts,2013.0,Shooter,Activision,3.83,78.0,3.7,False
Flash Focus: Vision Training in Minutes a Day,2007.0,Misc,Nintendo,3.83,59.0,4.0,False
Tom Clancy's The Division,2016.0,Shooter,Ubisoft,3.8,80.0,7.0,False
Big Brain Academy: Wii Degree,2007.0,Misc,Nintendo,3.79,68.0,6.9,False
LEGO Indiana Jones: The Original Adventures,2008.0,Action,Activision,3.76,77.0,7.5,False
The Sims: Unleashed,2002.0,Simulation,Electronic Arts,3.76,79.0,8.0,False
Harry Potter and the Sorcerer's Stone,2001.0,Action,Electronic Arts,3.73,64.0,7.5,False
Super Paper Mario,2007.0,Platform,Nintendo,3.71,85.0,7.9,False
Spyro: Year of the Dragon,2000.0,Platform,Sony Computer Entertainment,3.71,91.0,8.8,False
Assassin's Creed IV: Black Flag,2013.0,Action,Ubisoft,3.71,88.0,8.1,False
FIFA Soccer 2005,2004.0,Sports,Electronic Arts,3.7,81.0,7.6,False
Tony Hawk's Pro Skater 4,2002.0,Sports,Activision,3.67,94.0,8.5,False
MySims,2007.0,Simulation,Electronic Arts,3.66,67.0,7.3,False
Midnight Club 3: DUB Edition,2005.0,Racing,Take-Two Interactive,3.65,74.0,8.4,False
SOCOM: U.S. Navy SEALs,2002.0,Shooter,Sony Computer Entertainment,3.65,82.0,7.9,False
Jak and Daxter: The Precursor Legacy,2001.0,Platform,Sony Computer Entertainment,3.64,90.0,8.7,False
Pro Evolution Soccer 2008,2007.0,Sports,Konami Digital Entertainment,3.63,82.0,7.9,False
Resident Evil 4,2005.0,Action,Capcom,3.62,96.0,8.9,False
Guitar Hero: World Tour,2008.0,Misc,Activision,3.62,86.0,7.6,False
FIFA Soccer 10,2009.0,Sports,Electronic Arts,3.62,91.0,7.6,False
Star Wars: Battlefront,2004.0,Shooter,LucasArts,3.61,82.0,8.7,False
The Simpsons: Road Rage,2001.0,Racing,Electronic Arts,3.61,64.0,7.7,False
Luigi's Mansion,2001.0,Action,Nintendo,3.6,78.0,8.5,False
Battlefield 4,2013.0,Shooter,Electronic Arts,3.59,85.0,6.9,False
Star Wars: Battlefront II,2005.0,Shooter,LucasArts,3.59,84.0,9.0,False
Cooking Mama 2: Dinner With Friends,2007.0,Simulation,505 Games,3.58,70.0,8.0,False
Grand Theft Auto: Liberty City Stories,2006.0,Action,Take-Two Interactive,3.54,78.0,7.8,False
The Getaway,2002.0,Action,Sony Computer Entertainment,3.54,72.0,6.8,False
James Bond 007: Agent Under Fire,2001.0,Shooter,Electronic Arts,3.53,72.0,7.9,False
FIFA Soccer 11,2010.0,Sports,Electronic Arts,3.52,88.0,7.5,False
Left 4 Dead,2008.0,Shooter,Electronic Arts,3.51,89.0,7.9,False
Assassin's Creed: Unity,2014.0,Action,Ubisoft,3.5,72.0,4.1,False
Resident Evil 5,2009.0,Action,Capcom,3.5,83.0,7.5,False
Assassin's Creed: Brotherhood,2010.0,Action,Ubisoft,3.49,89.0,8.3,False
Battlefield 4,2013.0,Shooter,Electronic Arts,3.49,80.0,5.8,False
Batman: Arkham Asylum,2009.0,Action,Eidos Interactive,3.48,92.0,8.7,False
Battlefield 4,2013.0,Shooter,Electronic Arts,3.48,79.0,5.6,False
Battlefield: Bad Company 2,2010.0,Shooter,Electronic Arts,3.47,88.0,8.6,False
Guitar Hero: On Tour,2008.0,Misc,Activision,3.46,71.0,8.8,False
Clubhouse Games,2006.0,Misc,Nintendo,3.45,83.0,8.4,False
Borderlands,2009.0,Shooter,Take-Two Interactive,3.44,84.0,8.2,False
Tekken 4,2002.0,Fighting,Namco Bandai Games,3.44,79.0,8.3,False
Grand Theft Auto 2,1998.0,Action,Take-Two Interactive,3.42,70.0,8.0,False
Metal Gear Solid V: The Phantom Pain,2015.0,Action,Konami Digital Entertainment,3.41,93.0,8.2,False
Spider-Man 2,2004.0,Action,Activision,3.41,80.0,8.9,False
FIFA Soccer 2003,2002.0,Sports,Electronic Arts,3.4,88.0,6.7,False
LittleBigPlanet 2,2011.0,Platform,Sony Computer Entertainment,3.39,91.0,8.4,False
Crash Bash,2000.0,Misc,Sony Computer Entertainment,3.39,68.0,8.2,False
Assassin's Creed Syndicate,2015.0,Action,Ubisoft,3.39,76.0,6.8,False
LEGO Batman: The Videogame,2008.0,Action,Warner Bros. Interactive Entertainment,3.38,76.0,7.9,False
Destiny,2014.0,Shooter,Activision,3.37,75.0,5.5,False
Far Cry 3,2012.0,Shooter,Ubisoft,3.35,90.0,8.5,False
James Bond 007: Nightfire,2002.0,Shooter,Electronic Arts,3.33,77.0,8.5,False
Star Wars Episode III: Revenge of the Sith,2005.0,Action,LucasArts,3.32,60.0,7.2,False
The Legend of Zelda: Spirit Tracks,2009.0,Action,Nintendo,3.31,87.0,7.8,False
Max Payne,2001.0,Shooter,Take-Two Interactive,3.31,80.0,8.5,False
Assassin's Creed IV: Black Flag,2013.0,Action,Ubisoft,3.3,86.0,7.9,False
The Lord of the Rings: The Return of the King,2003.0,Action,Electronic Arts,3.28,85.0,8.7,False
Gears of War: Ultimate Edition,2015.0,Shooter,Microsoft Game Studios,3.28,82.0,7.5,False
True Crime: Streets of LA,2003.0,Action,Activision,3.27,77.0,8.0,False
Professor Layton and the Unwound Future,2008.0,Puzzle,Nintendo,3.26,86.0,9.2,False
FIFA 16,2015.0,Sports,Electronic Arts,3.25,84.0,4.4,False
Wii Music,2008.0,Misc,Nintendo,3.25,63.0,4.6,False
Madden NFL 16,2015.0,Sports,Electronic Arts,3.24,83.0,5.9,False
Gran Turismo 6,2013.0,Racing,Sony Computer Entertainment,3.23,81.0,7.7,False
Halo: The Master Chief Collection,2014.0,Shooter,Microsoft Game Studios,3.23,85.0,7.2,False
Super Mario Maker,2015.0,Platform,Nintendo,3.21,88.0,8.7,False
God of War: Chains of Olympus,2008.0,Action,Sony Computer Entertainment,3.18,91.0,8.6,False
Enter the Matrix,2003.0,Action,Atari,3.18,62.0,8.1,False
Crisis Core: Final Fantasy VII,2007.0,Role-Playing,Square Enix,3.18,83.0,8.0,False
Dance Central,2010.0,Misc,MTV Games,3.17,82.0,7.6,False
L.A. Noire,2011.0,Adventure,Take-Two Interactive,3.17,89.0,7.7,False
Ace Combat 04: Shattered Skies,2001.0,Simulation,Sony Computer Entertainment Europe,3.17,89.0,9.1,False
Animal Crossing,2001.0,Simulation,Nintendo,3.15,87.0,8.9,False
FIFA Soccer 08,2007.0,Sports,Electronic Arts,3.14,83.0,6.5,False
Spider-Man,2000.0,Action,Activision,3.13,87.0,9.0,False
Mario Party 9,2012.0,Misc,Nintendo,3.13,73.0,6.8,False
Sonic Rush,2005.0,Platform,Sega,3.12,82.0,8.5,False
Rhythm Heaven,2008.0,Misc,Nintendo,3.11,83.0,9.0,False
Fallout: New Vegas,2010.0,Role-Playing,Bethesda Softworks,3.11,82.0,7.8,False
Personal Trainer: Cooking,2006.0,Misc,Nintendo,3.11,81.0,7.8,False
The Elder Scrolls IV: Oblivion,2007.0,Role-Playing,Ubisoft,3.1,93.0,8.0,False
The Legend of Zelda: A Link Between Worlds,2013.0,Action,Nintendo,3.1,91.0,8.9,False
Resident Evil 6,2012.0,Shooter,Capcom,3.1,74.0,5.4,False
Mass Effect 2,2010.0,Role-Playing,Electronic Arts,3.1,96.0,8.9,False
Dragon Ball Z: Budokai,2002.0,Fighting,Atari,3.09,67.0,7.9,False
Madden NFL 2002,2001.0,Sports,Electronic Arts,3.08,94.0,7.9,False
The Sims: Vacation,2002.0,Simulation,Electronic Arts,3.07,75.0,7.8,False
Animal Crossing: Happy Home Designer,2015.0,Simulation,Nintendo,3.05,66.0,6.9,False
The Sims 4,2014.0,Simulation,Electronic Arts,3.05,70.0,3.9,False
Borderlands 2,2012.0,Shooter,Take-Two Interactive,3.05,89.0,8.2,False
LEGO Batman: The Videogame,2008.0,Action,Warner Bros. Interactive Entertainment,3.05,72.0,8.0,False
Kung Fu Panda,2008.0,Action,Activision,3.04,75.0,7.4,False
Mass Effect 3,2012.0,Role-Playing,Electronic Arts,3.04,93.0,5.8,False
Heavy Rain,2010.0,Adventure,Sony Computer Entertainment,3.03,87.0,7.7,False
Saints Row 2,2008.0,Action,THQ,3.03,81.0,8.1,False
Tom Clancy's Splinter Cell,2002.0,Action,Ubisoft,3.02,93.0,8.5,False
FIFA 14,2013.0,Sports,Electronic Arts,3.01,87.0,6.3,False
Killzone 2,2009.0,Shooter,Sony Computer Entertainment,3.01,91.0,8.1,False
Far Cry 3,2012.0,Shooter,Ubisoft,3.0,91.0,8.6,False
Epic Mickey,2010.0,Platform,Disney Interactive Studios,3.0,73.0,7.0,False
NBA 2K13,2012.0,Sports,Take-Two Interactive,3.0,88.0,7.2,False
