Manufacturer,Model,Sales_in_thousands,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor
Ford,Taurus,245.815,Passenger,17.885,3.0,155.0,108.5,73.0,197.6,3.368,16.0,24.0,62.5037395
Ford,Focus,175.67,Passenger,12.315,2.0,107.0,103.0,66.9,174.8,2.564,13.2,30.0,43.11713201
Ford,Crown Victoria,63.403,Passenger,22.195,4.6,200.0,114.7,78.2,212.0,3.908,19.0,21.0,80.49953671
Ford,Explorer,276.747,Car,31.93,4.0,210.0,111.6,70.2,190.7,3.876,21.0,19.0,87.63549578
Ford,Windstar,155.787,Car,21.41,3.0,150.0,120.7,76.6,200.9,3.761,26.0,21.0,62.09504839
Ford,Expedition,125.338,Car,36.135,4.6,240.0,119.0,78.7,204.6,4.808,26.0,16.0,100.0248023
Ford,Ranger,220.65,Car,12.05,2.5,119.0,117.5,69.4,200.7,3.086,20.0,23.0,47.38953131
Ford,F-Series,540.561,Car,26.935,4.6,220.0,138.5,79.1,224.5,4.241,25.1,18.0,89.40193473
Honda,Civic,199.685,Passenger,12.885,1.6,106.0,103.2,67.1,175.1,2.339,11.9,32.0,42.87909734
Honda,Accord,230.902,Passenger,15.35,2.3,135.0,106.9,70.3,188.8,2.932,17.1,27.0,54.26954829
Honda,CR-V,73.203,Car,20.55,2.0,146.0,103.2,68.9,177.6,3.219,15.3,24.0,60.08796662
Honda,Passport,12.855,Car,26.6,3.2,205.0,106.4,70.4,178.2,3.857,21.1,19.0,83.6025008
Honda,Odyssey,76.029,Car,26.0,3.5,210.0,118.1,75.6,201.2,4.288,20.0,23.0,85.21769134
Hyundai,Accent,41.184,Passenger,9.699,1.5,92.0,96.1,65.7,166.7,2.24,11.9,31.0,36.67228358
Hyundai,Elantra,66.692,Passenger,11.799,2.0,140.0,100.4,66.9,174.0,2.626,14.5,27.0,54.59004516
Hyundai,Sonata,29.45,Passenger,14.999,2.4,148.0,106.3,71.6,185.4,3.072,17.2,25.0,58.758249
Infiniti,I30,23.713,Passenger,29.465,3.0,227.0,108.3,70.2,193.7,3.342,18.5,25.0,92.43688923
Jaguar,S-Type,15.467,Passenger,42.8,3.0,240.0,114.5,71.6,191.3,3.65,18.4,21.0,102.1789848
Jeep,Wrangler,55.557,Car,14.46,2.5,120.0,93.4,66.7,152.0,3.045,19.0,17.0,48.67289791
Jeep,Cherokee,80.556,Car,21.62,4.0,190.0,101.4,69.4,167.5,3.194,20.0,20.0,76.58443962
Jeep,Grand Cherokee,157.04,Car,26.895,4.0,195.0,105.9,72.3,181.5,3.88,20.5,19.0,80.38777912
Lexus,ES300,24.072,Passenger,31.505,3.0,210.0,105.1,70.5,190.2,3.373,18.5,23.0,87.21100104
Lexus,GS300,12.698,Passenger,37.805,3.0,225.0,110.2,70.9,189.2,3.638,19.8,23.0,94.9466984
Lexus,GS400,3.334,Passenger,46.305,4.0,300.0,110.2,70.9,189.2,3.693,19.8,21.0,125.0133574
Lexus,LS400,6.375,Passenger,54.005,4.0,290.0,112.2,72.0,196.7,3.89,22.5,22.0,124.4467163
Lexus,LX470,9.126,Car,60.105,4.7,230.0,112.2,76.4,192.5,5.401,25.4,15.0,105.760458
Lexus,RX300,51.238,Car,34.605,3.0,220.0,103.0,71.5,180.1,3.9,17.2,21.0,91.94380156
Lincoln,Continental,13.798,Passenger,39.08,4.6,275.0,109.0,73.6,208.5,3.868,20.0,22.0,113.5402069
Lincoln,Town car,48.911,Passenger,43.33,4.6,215.0,117.7,78.2,215.3,4.121,19.0,21.0,93.9579169
Lincoln,Navigator,22.925,Car,42.66,5.4,300.0,119.0,79.9,204.8,5.393,30.0,15.0,123.9720467
Mitsubishi,Mirage,26.232,Passenger,13.987,1.8,113.0,98.4,66.5,173.6,2.25,13.2,30.0,45.83218056
Mitsubishi,Eclipse,42.541,Passenger,19.047,2.4,154.0,100.8,68.9,175.4,2.91,15.9,24.0,62.44196235
Mitsubishi,Galant,55.616,Passenger,17.357,2.4,145.0,103.7,68.5,187.8,2.945,16.3,25.0,58.60677292
Mitsubishi,Diamante,5.711,Passenger,24.997,3.5,210.0,107.1,70.3,194.1,3.443,19.0,22.0,84.83077858
Mitsubishi,3000GT,0.11,Passenger,25.45,3.0,161.0,97.2,72.4,180.3,3.131,19.8,21.0,67.54415494
Mitsubishi,Montero,11.337,Car,31.807,3.5,200.0,107.3,69.9,186.6,4.52,24.3,18.0,83.92081504
Mitsubishi,Montero Sport,39.348,Car,22.527,3.0,173.0,107.3,66.7,178.3,3.51,19.5,20.0,70.66094179
Mercury,Mystique,14.351,Passenger,16.24,2.0,125.0,106.5,69.1,184.8,2.769,15.0,28.0,50.99774761
Mercury,Cougar,26.529,Passenger,16.54,2.0,125.0,106.4,69.6,185.0,2.892,16.0,30.0,51.11347426
Mercury,Sable,67.956,Passenger,19.035,3.0,153.0,108.5,73.0,199.7,3.379,16.0,24.0,62.23996663
Mercury,Grand Marquis,81.174,Passenger,22.605,4.6,200.0,114.7,78.2,212.0,3.958,19.0,21.0,80.65769646
Mercury,Mountaineer,27.609,Car,27.56,4.0,210.0,111.6,70.2,190.1,3.876,21.0,18.0,85.94974425
Mercury,Villager,20.38,Car,22.51,3.3,170.0,112.2,74.9,194.7,3.944,20.0,21.0,69.671461
Mercedes-B,C-Class,18.392,Passenger,31.75,2.3,185.0,105.9,67.7,177.4,3.25,16.4,26.0,78.28073088
Mercedes-B,E-Class,27.602,Passenger,49.9,3.2,221.0,111.5,70.8,189.4,3.823,21.1,25.0,98.2497375
Mercedes-B,S-Class,16.774,Passenger,69.7,4.3,275.0,121.5,73.1,203.1,4.133,23.2,21.0,125.2738757
Mercedes-B,SL-Class,3.311,Passenger,82.6,5.0,302.0,99.0,71.3,177.1,4.125,21.1,20.0,139.9822936
Mercedes-B,SLK,7.998,Passenger,38.9,2.3,190.0,94.5,67.5,157.9,3.055,15.9,26.0,82.80736193
Mercedes-B,SLK230,1.526,Passenger,41.0,2.3,185.0,94.5,67.5,157.3,2.975,14.0,27.0,81.84896924
Mercedes-B,CLK Coupe,11.592,Passenger,41.6,3.2,215.0,105.9,67.8,180.3,3.213,16.4,26.0,92.92579177
Mercedes-B,CL500,0.954,Passenger,85.5,5.0,302.0,113.6,73.1,196.6,4.115,23.2,20.0,141.1009845
Mercedes-B,M-Class,28.976,Car,35.3,3.2,215.0,111.0,72.2,180.6,4.387,19.0,20.0,90.49553213
Nissan,Sentra,42.643,Passenger,13.499,1.8,126.0,99.8,67.3,177.5,2.593,13.2,30.0,50.24197791
Nissan,Altima,88.094,Passenger,20.39,2.4,155.0,103.1,69.1,183.5,3.012,15.9,25.0,63.31372783
Nissan,Maxima,79.853,Passenger,26.249,3.0,222.0,108.3,70.3,190.5,3.294,18.5,25.0,89.42782031
Nissan,Quest,27.308,Car,26.399,3.3,170.0,112.2,74.9,194.8,3.991,20.0,21.0,71.17166413
Nissan,Pathfinder,42.574,Car,29.299,3.3,170.0,106.3,71.7,182.6,3.947,21.0,19.0,72.29035508
Nissan,Xterra,54.158,Car,22.799,3.3,170.0,104.3,70.4,178.0,3.821,19.4,18.0,69.78294434
Nissan,Frontier,65.005,Car,17.89,3.3,170.0,116.1,66.5,196.1,3.217,19.4,18.0,67.88927059
Oldsmobile,Cutlass,1.112,Passenger,18.145,3.1,150.0,107.0,69.4,192.0,3.102,15.2,25.0,60.86161155
Oldsmobile,Intrigue,38.554,Passenger,24.15,3.5,215.0,109.0,73.6,195.9,3.455,18.0,24.0,86.27252291
Oldsmobile,Alero,80.255,Passenger,18.27,2.4,150.0,107.0,70.1,186.7,2.958,15.0,27.0,60.72744693
Oldsmobile,Aurora,14.69,Passenger,36.229,4.0,250.0,113.8,74.4,205.4,3.967,18.5,22.0,103.4416926
Oldsmobile,Bravada,20.017,Car,31.598,4.3,190.0,107.0,67.8,181.2,4.068,17.5,19.0,80.51167259
Oldsmobile,Silhouette,24.361,Car,25.345,3.4,185.0,120.0,72.2,201.4,3.948,25.0,22.0,76.09657042
Plymouth,Neon,32.734,Passenger,12.64,2.0,132.0,105.0,74.4,174.4,2.559,12.5,29.0,52.08489875
Plymouth,Breeze,5.24,Passenger,16.08,2.0,132.0,108.0,71.0,186.3,2.942,16.0,27.0,53.41189767
Plymouth,Voyager,24.155,Car,18.85,2.4,150.0,113.3,76.8,186.3,3.528,20.0,24.0,60.95118512
Plymouth,Prowler,1.872,Passenger,43.0,3.5,253.0,113.3,76.3,165.4,2.85,12.0,21.0,106.9844563
Pontiac,Sunfire,51.645,Passenger,21.61,2.4,150.0,104.1,68.4,181.9,2.906,15.0,27.0,62.0158703
Pontiac,Grand Am,131.097,Passenger,19.72,3.4,175.0,107.0,70.4,186.3,3.091,15.2,25.0,70.38973726
Pontiac,Firebird,19.911,Passenger,25.31,3.8,200.0,101.1,74.5,193.4,3.492,16.8,25.0,81.49272616
Pontiac,Grand Prix,92.364,Passenger,21.665,3.8,195.0,110.5,72.7,196.5,3.396,18.0,25.0,78.31816813
Pontiac,Bonneville,35.945,Passenger,23.755,3.8,205.0,112.2,72.6,202.5,3.59,17.5,24.0,82.6613556
Pontiac,Montana,39.572,Car,25.635,3.4,185.0,120.0,72.7,201.3,3.942,25.0,23.0,76.20843952
Porsche,Boxter,8.982,Passenger,41.43,2.7,217.0,95.2,70.1,171.0,2.778,17.0,22.0,93.4373307
Porsche,Carrera Coupe,1.28,Passenger,71.02,3.4,300.0,92.6,69.5,174.5,3.032,17.0,21.0,134.3909754
Porsche,Carrera Cabrio,1.866,Passenger,74.97,3.4,300.0,92.6,69.5,174.5,3.075,17.0,23.0,135.9147096
Saab,5-Sep,9.191,Passenger,33.12,2.3,170.0,106.4,70.6,189.2,3.28,18.5,23.0,73.50377819
Saab,3-Sep,12.115,Passenger,26.1,2.0,185.0,102.6,67.4,182.2,2.99,16.9,23.0,76.02304771
Saturn,SL,80.62,Passenger,10.685,1.9,100.0,102.4,66.4,176.9,2.332,12.1,33.0,39.98642475
Saturn,SC,24.546,Passenger,12.535,1.9,100.0,102.4,66.4,180.0,2.367,12.1,33.0,40.70007242
Saturn,SW,5.223,Passenger,14.29,1.9,124.0,102.4,66.4,176.9,2.452,12.1,31.0,49.86577367
Saturn,LW,8.472,Passenger,18.835,2.2,137.0,106.5,69.0,190.4,3.075,13.1,27.0,56.29524304
Saturn,LS,49.989,Passenger,15.01,2.2,137.0,106.5,69.0,190.4,2.91,13.1,28.0,54.81972825
Subaru,Outback,47.107,Passenger,22.695,2.5,165.0,103.5,67.5,185.8,3.415,16.9,25.0,67.7659076
Subaru,Forester,33.028,Car,20.095,2.5,165.0,99.4,68.3,175.2,3.125,15.9,24.0,66.76294331
Toyota,Corolla,142.535,Passenger,13.108,1.8,120.0,97.0,66.7,174.0,2.42,13.2,33.0,47.96897242
Toyota,Camry,247.994,Passenger,17.518,2.2,133.0,105.2,70.1,188.5,2.998,18.5,27.0,54.37241965
Toyota,Avalon,63.849,Passenger,25.545,3.0,210.0,107.1,71.7,191.9,3.417,18.5,26.0,84.91189826
Toyota,Celica,33.269,Passenger,16.875,1.8,140.0,102.4,68.3,170.5,2.425,14.5,31.0,56.49603034
Toyota,Tacoma,84.087,Car,11.528,2.4,142.0,103.3,66.5,178.7,2.58,15.1,23.0,55.29711658
Toyota,Sienna,65.119,Car,22.368,3.0,194.0,114.2,73.4,193.5,3.759,20.9,22.0,78.02721947
Toyota,RAV4,25.106,Car,16.888,2.0,127.0,94.9,66.7,163.8,2.668,15.3,27.0,51.95510887
Toyota,4Runner,68.411,Car,22.288,2.7,150.0,105.3,66.5,183.3,3.44,18.5,23.0,62.35557713
Toyota,Land Cruiser,9.835,Car,51.728,4.7,230.0,112.2,76.4,192.5,5.115,25.4,15.0,102.5289842
Volkswagen,Golf,9.761,Passenger,14.9,2.0,115.0,98.9,68.3,163.3,2.767,14.5,26.0,46.94387676
Volkswagen,Jetta,83.721,Passenger,16.7,2.0,115.0,98.9,68.3,172.3,2.853,14.5,26.0,47.63823666
Volkswagen,Passat,51.102,Passenger,21.2,1.8,150.0,106.4,68.5,184.1,3.043,16.4,27.0,61.70138136
Volkswagen,Cabrio,9.569,Passenger,19.99,2.0,115.0,97.4,66.7,160.4,3.079,13.7,26.0,48.90737225
Volkswagen,GTI,5.596,Passenger,17.5,2.0,115.0,98.9,68.3,163.3,2.762,14.6,26.0,47.94684106
Volkswagen,Beetle,49.463,Passenger,15.9,2.0,115.0,98.9,67.9,161.1,2.769,14.5,26.0,47.32963226
Volvo,S40,16.957,Passenger,23.4,1.9,160.0,100.5,67.6,176.6,2.998,15.8,25.0,66.1130568
Volvo,V40,3.545,Passenger,24.4,1.9,160.0,100.5,67.6,176.6,3.042,15.8,25.0,66.4988123
Volvo,S70,15.245,Passenger,27.5,2.4,168.0,104.9,69.3,185.9,3.208,17.9,25.0,70.65449545
Volvo,V70,17.531,Passenger,28.8,2.4,168.0,104.9,69.3,186.2,3.259,17.9,25.0,71.1559776
Volvo,C70,3.493,Passenger,45.5,2.3,236.0,104.9,71.5,185.7,3.601,18.5,23.0,101.6233572
Volvo,S80,18.969,Passenger,36.0,2.9,201.0,109.9,72.1,189.8,3.6,21.1,24.0,85.73565451
