id,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,coded
29693,I,0.465,0.36,0.13,0.5795,0.233,0.123,0.1855,8,1
37731,I,0.425,0.31,0.09,0.314,0.1355,0.032,0.083,6,1
18657,I,0.425,0.335,0.11,0.3325,0.1405,0.063,0.1,8,1
36766,I,0.53,0.43,0.135,0.8515,0.4205,0.1695,0.236,9,1
72900,I,0.415,0.29,0.135,0.564,0.3035,0.0955,0.143,6,1
47583,M,0.57,0.45,0.16,1.0575,0.4715,0.244,0.3,10,3
67127,M,0.475,0.35,0.13,0.5445,0.2405,0.124,0.16,8,3
81658,M,0.585,0.445,0.15,0.998,0.4035,0.196,0.32,13,3
85288,F,0.665,0.535,0.215,1.6195,0.6675,0.2925,0.4675,10,2
8665,I,0.375,0.285,0.095,0.26,0.1125,0.0575,0.07,7,1
11834,M,0.6,0.485,0.155,1.049,0.4755,0.252,0.2865,10,3
90266,M,0.565,0.43,0.135,0.813,0.4095,0.156,0.219,8,3
26276,F,0.57,0.445,0.165,0.844,0.3035,0.2125,0.32,16,2
84833,M,0.535,0.44,0.18,0.97,0.326,0.1845,0.325,17,3
77482,F,0.575,0.45,0.155,0.97,0.353,0.2285,0.3,13,2
61334,F,0.65,0.545,0.195,1.3825,0.6065,0.2995,0.383,11,2
67108,M,0.64,0.515,0.155,1.1655,0.554,0.2325,0.3115,10,3
29037,F,0.63,0.485,0.155,1.4045,0.547,0.3575,0.425,13,2
63754,F,0.605,0.48,0.16,1.1845,0.4415,0.2205,0.315,16,2
65456,I,0.415,0.315,0.095,0.3625,0.1585,0.0785,0.0965,7,1
42096,F,0.45,0.355,0.11,0.4155,0.21,0.0835,0.13,9,2
48816,I,0.33,0.24,0.08,0.17,0.076,0.0365,0.055,6,1
80410,M,0.545,0.435,0.125,0.844,0.4315,0.1815,0.202,10,3
40948,I,0.21,0.15,0.055,0.041,0.015,0.0065,0.0125,5,1
61405,I,0.475,0.37,0.12,0.4975,0.221,0.1015,0.123,8,1
82659,M,0.53,0.42,0.14,0.686,0.302,0.1565,0.2235,8,3
17805,M,0.58,0.45,0.16,0.955,0.3425,0.204,0.335,19,3
38900,M,0.675,0.53,0.185,1.3935,0.6275,0.3555,0.354,10,3
84257,F,0.53,0.41,0.13,0.699,0.3245,0.1365,0.1945,9,2
72988,I,0.455,0.35,0.1,0.4625,0.2385,0.111,0.11,7,1
80325,M,0.585,0.465,0.185,0.99,0.3845,0.2175,0.295,18,3
56694,I,0.27,0.215,0.07,0.1065,0.0475,0.018,0.036,5,1
5998,M,0.655,0.52,0.19,1.4545,0.6615,0.3865,0.383,11,3
3016,M,0.515,0.405,0.165,0.955,0.341,0.1715,0.33,20,3
62692,F,0.685,0.53,0.165,1.685,0.797,0.392,0.475,13,2
66721,I,0.47,0.355,0.12,0.4755,0.2045,0.094,0.126,8,1
63135,F,0.67,0.51,0.19,1.3485,0.6645,0.2655,0.46,13,2
86033,F,0.67,0.515,0.155,1.35,0.594,0.3125,0.3855,11,2
78221,M,0.31,0.255,0.065,0.152,0.077,0.0355,0.045,8,3
36711,F,0.54,0.42,0.135,0.7945,0.3475,0.152,0.2095,8,2
82222,M,0.605,0.475,0.175,1.0605,0.3905,0.239,0.36,18,3
32587,I,0.325,0.21,0.075,0.1285,0.0575,0.031,0.034,6,1
64346,F,0.475,0.355,0.12,0.4965,0.246,0.1125,0.1325,8,2
37277,M,0.58,0.475,0.145,0.9605,0.4315,0.2135,0.26,9,3
4731,M,0.56,0.455,0.135,0.8205,0.2635,0.1815,0.2315,9,3
45324,I,0.415,0.315,0.105,0.3625,0.175,0.0865,0.103,8,1
70416,I,0.56,0.44,0.16,1.012,0.3815,0.2095,0.2775,10,1
60319,F,0.5,0.4,0.125,0.6615,0.2565,0.1565,0.22,12,2
44426,I,0.52,0.4,0.13,0.6615,0.2945,0.1315,0.1835,10,1
30338,I,0.315,0.225,0.065,0.117,0.056,0.025,0.03,5,1
86091,I,0.45,0.33,0.1,0.3855,0.147,0.073,0.12,11,1
65676,F,0.525,0.4,0.14,0.7365,0.2955,0.1625,0.18,11,2
43793,M,0.685,0.5,0.145,1.2795,0.5335,0.306,0.339,10,3
9631,M,0.615,0.475,0.17,1.1835,0.5105,0.2725,0.345,11,3
34177,I,0.35,0.27,0.115,0.2145,0.0915,0.0475,0.063,5,1
423,I,0.295,0.22,0.08,0.1235,0.0565,0.0275,0.0335,7,1
75210,I,0.435,0.34,0.09,0.407,0.2085,0.0615,0.113,6,1
64855,F,0.54,0.42,0.15,0.8115,0.392,0.1535,0.2035,8,2
85244,F,0.65,0.51,0.18,1.7365,0.5605,0.3115,0.58,20,2
74512,I,0.465,0.37,0.125,0.5805,0.221,0.1065,0.1465,14,1
20512,I,0.28,0.2,0.08,0.1285,0.053,0.038,0.03,5,1
37571,F,0.575,0.475,0.165,0.9685,0.4375,0.2355,0.275,8,2
23865,I,0.425,0.335,0.11,0.405,0.185,0.082,0.1,7,1
67036,F,0.55,0.45,0.14,0.795,0.3375,0.1725,0.225,10,2
29125,I,0.375,0.27,0.085,0.2215,0.1185,0.037,0.06,7,1
5847,M,0.58,0.5,0.155,1.035,0.4015,0.221,0.34,17,3
28121,M,0.545,0.43,0.145,0.98,0.3995,0.182,0.27,12,3
21212,M,0.64,0.505,0.18,1.4395,0.6715,0.2655,0.4,13,3
90543,M,0.56,0.44,0.14,0.8665,0.3345,0.1715,0.275,11,3
9666,M,0.585,0.455,0.135,0.9765,0.4455,0.2245,0.295,10,3
77012,M,0.595,0.475,0.145,1.0765,0.3945,0.232,0.35,12,3
45868,I,0.49,0.39,0.155,0.751,0.282,0.1905,0.2405,11,1
59981,M,0.735,0.57,0.205,1.7885,0.7105,0.29,0.585,15,3
55062,I,0.495,0.375,0.12,0.5185,0.2565,0.1155,0.15,7,1
24266,M,0.525,0.405,0.145,0.6995,0.2575,0.153,0.24,12,3
54181,F,0.65,0.51,0.18,1.527,0.7245,0.349,0.341,12,2
4881,I,0.465,0.35,0.125,0.543,0.2445,0.113,0.136,8,1
49046,M,0.32,0.225,0.08,0.1285,0.0335,0.0265,0.044,7,3
60296,F,0.655,0.515,0.165,1.566,0.5395,0.3135,0.445,15,2
48746,M,0.56,0.45,0.155,0.9125,0.4095,0.271,0.275,9,3
57080,M,0.7,0.575,0.175,1.764,0.8505,0.3615,0.47,11,3
68022,I,0.505,0.39,0.14,0.6355,0.2705,0.1245,0.215,10,1
23017,I,0.46,0.355,0.1,0.4525,0.2315,0.0905,0.1315,7,1
32709,I,0.25,0.195,0.07,0.106,0.0415,0.013,0.04,5,1
25155,I,0.4,0.29,0.09,0.2255,0.097,0.04,0.07,6,1
39858,I,0.435,0.335,0.11,0.3715,0.15,0.076,0.1035,7,1
89500,M,0.245,0.195,0.065,0.086,0.034,0.014,0.025,4,3
50483,M,0.52,0.405,0.12,0.6115,0.2985,0.137,0.1875,9,3
7756,M,0.655,0.51,0.195,1.494,0.694,0.3315,0.378,10,3
7333,M,0.545,0.43,0.125,0.8395,0.3445,0.1805,0.241,10,3
83047,I,0.415,0.31,0.1,0.3445,0.1685,0.057,0.094,7,1
41073,M,0.585,0.475,0.165,1.0595,0.4335,0.262,0.335,12,3
72808,F,0.58,0.42,0.145,0.9035,0.5745,0.1985,0.202,9,2
77895,F,0.53,0.42,0.135,0.853,0.3485,0.1725,0.195,8,2
34891,M,0.555,0.44,0.12,0.74,0.3395,0.1715,0.1965,8,3
89974,I,0.385,0.28,0.095,0.252,0.097,0.051,0.08,6,1
63213,M,0.55,0.42,0.145,0.9065,0.436,0.2145,0.255,11,3
71108,I,0.36,0.27,0.095,0.217,0.0885,0.0495,0.075,7,1
71280,I,0.33,0.255,0.075,0.1745,0.073,0.0435,0.055,6,1
86899,M,0.535,0.43,0.14,0.717,0.3415,0.1495,0.2,10,3
36569,F,0.42,0.32,0.105,0.3525,0.1425,0.0835,0.1,9,2
31744,I,0.51,0.395,0.115,0.612,0.2725,0.1225,0.159,7,1
69010,M,0.515,0.395,0.14,0.6355,0.3595,0.1275,0.15,9,3
51159,F,0.71,0.55,0.205,1.914,0.9155,0.422,0.54,13,2
33421,F,0.71,0.575,0.22,2.124,0.8175,0.4205,0.885,21,2
12757,F,0.45,0.335,0.115,0.4665,0.21,0.0975,0.1185,8,2
31563,I,0.51,0.395,0.125,0.5545,0.2895,0.1065,0.167,8,1
89393,F,0.58,0.465,0.14,0.966,0.4615,0.2115,0.2325,9,2
76061,F,0.73,0.575,0.18,1.8795,0.931,0.38,0.4825,11,2
34088,M,0.615,0.47,0.16,1.1635,0.5305,0.246,0.3315,9,3
30864,I,0.465,0.355,0.11,0.5135,0.27,0.1045,0.132,9,1
39179,F,0.585,0.455,0.145,0.9915,0.3865,0.224,0.265,10,2
28124,I,0.39,0.295,0.095,0.2665,0.1125,0.0585,0.0885,7,1
58107,F,0.59,0.455,0.16,0.9,0.358,0.2175,0.315,24,2
45840,M,0.37,0.285,0.09,0.2305,0.096,0.05,0.075,7,3
56499,I,0.505,0.4,0.105,0.6355,0.3175,0.1395,0.14,8,1
7720,M,0.595,0.465,0.155,1.1435,0.5265,0.2575,0.2615,10,3
60675,F,0.525,0.4,0.13,0.686,0.3035,0.1495,0.18,10,2
22914,F,0.515,0.405,0.14,0.7485,0.279,0.16,0.215,13,2
53716,I,0.545,0.43,0.125,0.742,0.3525,0.1415,0.2045,9,1
74580,M,0.585,0.475,0.14,0.9605,0.4635,0.17,0.245,10,3
82808,M,0.45,0.35,0.125,0.4565,0.19,0.0885,0.15,10,3
1070,F,0.575,0.47,0.145,0.9355,0.3445,0.1905,0.3,10,2
12950,M,0.45,0.335,0.105,0.41,0.18,0.089,0.1,7,3
20196,I,0.405,0.3,0.105,0.2875,0.1235,0.063,0.0805,7,1
47441,M,0.515,0.4,0.12,0.7005,0.3395,0.1605,0.15,8,3
20458,I,0.435,0.335,0.1,0.321,0.1315,0.083,0.11,7,1
24775,M,0.625,0.485,0.155,1.058,0.4115,0.2185,0.355,13,3
79174,F,0.57,0.435,0.14,0.8295,0.38,0.1715,0.22,9,2
50213,M,0.575,0.435,0.145,0.923,0.3895,0.1955,0.265,14,3
68554,I,0.475,0.365,0.115,0.4725,0.2025,0.0825,0.1135,9,1
70277,F,0.73,0.6,0.19,1.974,0.598,0.4085,0.71,18,2
34453,M,0.62,0.485,0.19,1.5785,0.4615,0.2725,0.495,16,3
28533,I,0.46,0.335,0.115,0.4585,0.174,0.1125,0.1365,7,1
17799,I,0.37,0.285,0.085,0.2455,0.108,0.0435,0.0645,7,1
54673,F,0.555,0.44,0.115,0.8145,0.3375,0.1915,0.235,12,2
87836,I,0.375,0.3,0.11,0.2365,0.118,0.045,0.0695,7,1
58893,M,0.6,0.46,0.145,0.844,0.3525,0.1865,0.269,10,3
27288,I,0.295,0.23,0.075,0.129,0.063,0.042,0.0495,8,1
1246,M,0.58,0.435,0.15,0.8915,0.382,0.19,0.24,8,3
87668,M,0.65,0.51,0.175,1.623,0.7155,0.354,0.485,12,3
44521,I,0.18,0.125,0.04,0.0265,0.0095,0.0055,0.009,4,1
62810,M,0.45,0.36,0.115,0.5235,0.2505,0.124,0.15,8,3
17661,M,0.66,0.51,0.155,1.5945,0.7185,0.318,0.3725,10,3
42033,I,0.47,0.365,0.115,0.4525,0.2025,0.085,0.14,9,1
58074,M,0.545,0.44,0.135,0.7205,0.3085,0.1695,0.22,10,3
10213,F,0.63,0.5,0.175,1.234,0.6035,0.3195,0.29,9,2
12956,F,0.565,0.435,0.165,1.057,0.3765,0.244,0.355,15,2
77433,M,0.695,0.53,0.18,1.5115,0.7105,0.2835,0.3825,9,3
68337,I,0.435,0.335,0.1,0.4585,0.19,0.082,0.1145,7,1
70548,I,0.19,0.14,0.035,0.0325,0.0125,0.005,0.01,7,1
50868,F,0.61,0.485,0.165,1.133,0.566,0.256,0.305,9,2
37513,M,0.44,0.345,0.11,0.4215,0.1655,0.082,0.106,7,3
87265,I,0.32,0.235,0.08,0.1785,0.0785,0.028,0.0425,7,1
38651,I,0.425,0.315,0.105,0.3515,0.1625,0.0875,0.0975,6,1
65070,F,0.68,0.545,0.195,1.5945,0.7285,0.3095,0.4275,9,2
88475,M,0.58,0.425,0.155,0.8785,0.425,0.1685,0.2475,9,3
53523,I,0.32,0.23,0.085,0.1345,0.0515,0.0265,0.038,7,1
28613,F,0.475,0.36,0.1,0.4565,0.192,0.1125,0.13,10,2
26343,M,0.49,0.395,0.14,0.556,0.2285,0.105,0.165,10,3
75950,M,0.435,0.335,0.11,0.406,0.1625,0.0935,0.105,7,3
51810,M,0.64,0.505,0.18,1.3815,0.631,0.302,0.381,9,3
36694,I,0.575,0.45,0.12,0.7805,0.3595,0.1565,0.2185,8,1
10667,M,0.62,0.52,0.155,1.3315,0.566,0.379,0.354,10,3
48914,I,0.2,0.145,0.025,0.0345,0.011,0.005,0.01,5,1
34254,F,0.53,0.41,0.13,0.7125,0.3165,0.15,0.215,9,2
75666,M,0.64,0.5,0.18,1.3905,0.6605,0.3255,0.39,11,3
62584,M,0.57,0.45,0.155,0.903,0.3305,0.1865,0.295,9,3
67856,I,0.585,0.455,0.15,0.927,0.3935,0.2065,0.253,9,1
66014,I,0.515,0.39,0.12,0.5805,0.2165,0.1065,0.165,8,1
72488,M,0.555,0.43,0.14,0.813,0.3845,0.1715,0.2245,9,3
52529,I,0.52,0.415,0.13,0.6385,0.2945,0.153,0.185,8,1
26840,I,0.36,0.265,0.08,0.2165,0.096,0.037,0.0735,7,1
43181,F,0.605,0.475,0.19,1.1735,0.5195,0.2875,0.352,9,2
69882,M,0.6,0.45,0.15,0.837,0.3725,0.1815,0.227,9,3
2398,F,0.505,0.39,0.13,0.6765,0.2635,0.1495,0.215,10,2
41905,F,0.635,0.515,0.23,1.4445,0.5415,0.2025,0.485,18,2
49082,I,0.45,0.335,0.105,0.362,0.1575,0.0665,0.105,8,1
65610,M,0.59,0.465,0.175,1.08,0.4145,0.2235,0.295,12,3
56077,F,0.47,0.38,0.115,0.5955,0.2985,0.1315,0.1655,9,2
52734,I,0.59,0.465,0.125,0.928,0.3935,0.1835,0.22,8,1
2542,F,0.665,0.52,0.145,1.1635,0.5635,0.225,0.28,10,2
20347,I,0.28,0.2,0.065,0.1165,0.0545,0.0205,0.03,6,1
29613,I,0.375,0.275,0.1,0.2225,0.095,0.053,0.1,7,1
81913,I,0.52,0.395,0.19,0.6645,0.2455,0.146,0.215,12,1
82042,M,0.6,0.48,0.19,1.229,0.4125,0.2735,0.41,13,3
8638,F,0.515,0.4,0.125,0.742,0.282,0.1655,0.165,9,2
32373,I,0.59,0.47,0.14,0.852,0.3695,0.2035,0.24,8,1
78917,M,0.55,0.45,0.135,0.8155,0.3775,0.1815,0.23,10,3
32870,M,0.59,0.46,0.135,0.8295,0.4105,0.1775,0.1825,9,3
67605,I,0.315,0.23,0.08,0.155,0.0605,0.0335,0.045,6,1
49497,F,0.57,0.455,0.175,1.0605,0.5235,0.2105,0.275,14,2
41469,M,0.555,0.425,0.155,0.7565,0.369,0.1845,0.215,9,3
40199,I,0.35,0.27,0.1,0.226,0.0985,0.0505,0.0655,8,1
27860,I,0.385,0.29,0.08,0.232,0.1205,0.053,0.06,6,1
12913,F,0.72,0.575,0.195,1.959,0.959,0.48,0.595,12,2
70826,M,0.56,0.43,0.145,0.876,0.3595,0.1615,0.25,9,3
79600,F,0.64,0.51,0.19,1.403,0.4595,0.3305,0.38,14,2
52323,I,0.36,0.27,0.08,0.2105,0.0865,0.053,0.07,8,1
89562,M,0.685,0.55,0.225,1.5595,0.637,0.3865,0.48,13,3
89178,I,0.5,0.385,0.125,0.519,0.2395,0.1265,0.143,8,1
66781,I,0.615,0.475,0.16,1.1785,0.481,0.2045,0.315,11,1
87462,I,0.245,0.175,0.06,0.0615,0.031,0.0135,0.02,5,1
32672,M,0.57,0.44,0.145,0.879,0.3475,0.1825,0.24,10,3
53652,I,0.215,0.17,0.06,0.0545,0.0215,0.013,0.015,5,1
82150,M,0.535,0.38,0.13,0.627,0.2965,0.1325,0.1695,8,3
73488,M,0.455,0.365,0.105,0.4565,0.2215,0.1065,0.1135,8,3
