Name,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014.0,Role-Playing,Nintendo,11.68,,
Gran Turismo 4,2004.0,Racing,Sony Computer Entertainment,11.66,89.0,8.5
Super Mario Galaxy,2007.0,Platform,Nintendo,11.35,97.0,8.9
Super Mario Land 2: 6 Golden Coins,1992.0,Adventure,Nintendo,11.18,,
Grand Theft Auto IV,2008.0,Action,Take-Two Interactive,11.01,98.0,7.9
Gran Turismo,1997.0,Racing,Sony Computer Entertainment,10.95,96.0,8.7
Super Mario 3D Land,2011.0,Platform,Nintendo,10.81,90.0,8.4
Gran Turismo 5,2010.0,Racing,Sony Computer Entertainment,10.7,84.0,7.5
Call of Duty: Modern Warfare 2,2009.0,Shooter,Activision,10.6,94.0,6.3
Super Mario All-Stars,1993.0,Platform,Nintendo,10.55,,
Grand Theft Auto IV,2008.0,Action,Take-Two Interactive,10.5,98.0,7.5
Pokemon FireRed/Pokemon LeafGreen,2004.0,Role-Playing,Nintendo,10.49,,
Super Mario 64,2004.0,Platform,Nintendo,10.3,,
Call of Duty: Ghosts,2013.0,Shooter,Activision,10.25,73.0,2.6
Just Dance 3,2011.0,Misc,Ubisoft,10.12,74.0,7.8
New Super Mario Bros. 2,2012.0,Platform,Nintendo,9.9,78.0,7.2
Mario Kart 64,1996.0,Racing,Nintendo,9.87,,
Halo: Reach,2010.0,Shooter,Microsoft Game Studios,9.86,91.0,7.9
Final Fantasy VII,1997.0,Role-Playing,Sony Computer Entertainment,9.72,92.0,9.2
Halo 4,2012.0,Shooter,Microsoft Game Studios,9.71,87.0,7
Gran Turismo 2,1999.0,Racing,Sony Computer Entertainment,9.49,93.0,9
Just Dance 2,2010.0,Misc,Ubisoft,9.44,74.0,7.3
Call of Duty: Ghosts,2013.0,Shooter,Activision,9.36,71.0,2.6
Call of Duty 4: Modern Warfare,2007.0,Shooter,Activision,9.31,94.0,8.4
Donkey Kong Country,1994.0,Platform,Nintendo,9.3,,
Minecraft,2013.0,Misc,Microsoft Game Studios,9.18,,
Animal Crossing: New Leaf,2012.0,Simulation,Nintendo,9.16,88.0,8.7
Mario Party DS,2007.0,Misc,Nintendo,8.91,72.0,7.8
The Elder Scrolls V: Skyrim,2011.0,Role-Playing,Bethesda Softworks,8.79,96.0,8.4
Super Mario Kart,1992.0,Racing,Nintendo,8.76,,
FIFA 16,2015.0,Sports,Electronic Arts,8.57,82.0,4.3
Halo 2,2004.0,Shooter,Microsoft Game Studios,8.49,95.0,8.2
Wii Party,2010.0,Misc,Nintendo,8.38,68.0,7.4
Mario Party 8,2007.0,Misc,Nintendo,8.27,62.0,6.3
FIFA Soccer 13,2012.0,Action,Electronic Arts,8.16,88.0,6.6
GoldenEye 007,1997.0,Shooter,Nintendo,8.09,,
Pokemon Black 2/Pokemon White 2,2012.0,Role-Playing,Nintendo,8.07,,
Final Fantasy X,2001.0,Role-Playing,Sony Computer Entertainment,8.05,92.0,8.7
The Sims 3,2009.0,Simulation,Electronic Arts,8.01,86.0,7.6
Mario & Sonic at the Olympic Games,2007.0,Sports,Sega,7.99,,
Star Wars Battlefront (2015),2015.0,Shooter,Electronic Arts,7.98,,
Final Fantasy VIII,1999.0,Role-Playing,SquareSoft,7.86,90.0,8.6
Pac-Man,1982.0,Puzzle,Atari,7.81,,
Pokémon Platinum Version,2008.0,Role-Playing,Nintendo,7.72,83.0,8.5
Grand Theft Auto: Liberty City Stories,2005.0,Action,Take-Two Interactive,7.69,88.0,7.6
Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,7.66,83.0,5.7
The Legend of Zelda: Ocarina of Time,1998.0,Action,Nintendo,7.6,,
FIFA 17,2016.0,Sports,Electronic Arts,7.59,85.0,5
Crash Bandicoot 2: Cortex Strikes Back,1997.0,Platform,Sony Computer Entertainment,7.58,,
Super Smash Bros. for Wii U and 3DS,2014.0,Fighting,Nintendo,7.55,,
Super Mario Galaxy 2,2010.0,Platform,Nintendo,7.51,97.0,9.1
Super Mario Bros. 2,1988.0,Platform,Nintendo,7.46,,
Call of Duty: Black Ops 3,2015.0,Shooter,Activision,7.39,,
Call of Duty: World at War,2008.0,Shooter,Activision,7.38,84.0,7.6
Battlefield 3,2011.0,Shooter,Electronic Arts,7.32,84.0,7.4
Need for Speed Underground,2003.0,Racing,Electronic Arts,7.2,85.0,8.6
Just Dance,2009.0,Misc,Ubisoft,7.2,49.0,8
Battlefield 3,2011.0,Shooter,Electronic Arts,7.17,85.0,7.5
Fallout 4,2015.0,Role-Playing,Bethesda Softworks,7.16,87.0,6.5
Tekken 3,1998.0,Fighting,Sony Computer Entertainment,7.16,96.0,9.1
The Legend of Zelda: Twilight Princess,2006.0,Action,Nintendo,7.15,95.0,9
Pokemon Sun/Moon,2016.0,Role-Playing,Nintendo,7.14,,
Crash Bandicoot 3: Warped,1998.0,Platform,Sony Computer Entertainment,7.13,91.0,8.9
Mario Kart 8,2014.0,Racing,Nintendo,7.09,88.0,9.1
Super Smash Bros. Melee,2001.0,Fighting,Nintendo,7.07,92.0,9.1
Mario Kart: Double Dash!!,2003.0,Racing,Nintendo,6.95,,
Need for Speed Underground 2,2004.0,Racing,Electronic Arts,6.9,82.0,8.6
Medal of Honor: Frontline,2002.0,Shooter,Electronic Arts,6.83,88.0,8.5
Crash Bandicoot,1996.0,Platform,Sony Computer Entertainment,6.82,,
Just Dance 4,2012.0,Misc,Ubisoft,6.76,74.0,7.3
Gears of War 2,2008.0,Shooter,Microsoft Game Studios,6.75,93.0,7.7
Uncharted 3: Drake's Deception,2011.0,Action,Sony Computer Entertainment,6.74,92.0,8.3
Call of Duty 4: Modern Warfare,2007.0,Shooter,Activision,6.68,94.0,8.4
Uncharted 2: Among Thieves,2009.0,Action,Sony Computer Entertainment,6.66,96.0,8.8
FIFA 12,2011.0,Sports,Electronic Arts,6.65,,
Big Brain Academy,2005.0,Misc,Nintendo,6.62,74.0,7.4
The Legend of Zelda,1986.0,Action,Nintendo,6.51,,
Red Dead Redemption,2010.0,Action,Take-Two Interactive,6.49,95.0,8.8
FIFA 14,2013.0,Sports,Electronic Arts,6.47,86.0,4.3
Assassin's Creed III,2012.0,Action,Ubisoft,6.45,85.0,6.9
Donkey Kong Country Returns,2010.0,Platform,Nintendo,6.44,87.0,8.6
Halo: Combat Evolved,2001.0,Shooter,Microsoft Game Studios,6.43,97.0,8.6
The Elder Scrolls V: Skyrim,2011.0,Role-Playing,Bethesda Softworks,6.41,92.0,6.4
Pokémon Emerald Version,2004.0,Role-Playing,Nintendo,6.41,76.0,9
Kingdom Hearts,2002.0,Role-Playing,Sony Computer Entertainment,6.4,85.0,8.8
Pokémon Crystal Version,2000.0,Role-Playing,Nintendo,6.39,,
Halo 3: ODST,2009.0,Shooter,Microsoft Game Studios,6.34,83.0,7.1
Red Dead Redemption,2010.0,Action,Take-Two Interactive,6.32,95.0,9
Super Mario Sunshine,2002.0,Platform,Nintendo,6.31,92.0,8.6
Street Fighter II: The World Warrior,1992.0,Fighting,Capcom,6.3,,
World of Warcraft,2004.0,Role-Playing,Activision,6.29,93.0,7.3
Driver,1999.0,Action,GT Interactive,6.27,87.0,8.1
Gears of War 3,2011.0,Shooter,Microsoft Game Studios,6.21,91.0,7.8
Kinect Sports,2010.0,Sports,Microsoft Game Studios,6.19,73.0,7.4
Gears of War,2006.0,Shooter,Microsoft Game Studios,6.09,94.0,8.3
FIFA 15,2014.0,Sports,Electronic Arts,6.08,82.0,5.7
Metal Gear Solid 2: Sons of Liberty,2001.0,Action,Konami Digital Entertainment,6.05,96.0,8.7
Sonic the Hedgehog 2,1992.0,Platform,Sega,6.03,,
Metal Gear Solid,1998.0,Action,Konami Digital Entertainment,6.03,94.0,9.4
Metal Gear Solid 4: Guns of the Patriots,2008.0,Action,Konami Digital Entertainment,5.99,94.0,8.7
Final Fantasy XII,2006.0,Role-Playing,Square Enix,5.95,92.0,7.6
The Last of Us,2013.0,Action,Sony Computer Entertainment Europe,5.87,95.0,9.1
LittleBigPlanet,2008.0,Platform,Sony Computer Entertainment,5.82,95.0,6.8
Resident Evil 2,1998.0,Action,Virgin Interactive,5.82,89.0,9.2
Dragon Quest IX: Sentinels of the Starry Skies,2009.0,Role-Playing,Nintendo,5.78,87.0,8.8
Tekken 2,1996.0,Fighting,Sony Computer Entertainment,5.74,89.0,8.9
Destiny,2014.0,Shooter,Activision,5.64,76.0,6.1
LEGO Star Wars: The Complete Saga,2007.0,Action,LucasArts,5.64,80.0,8.9
Cooking Mama,2006.0,Simulation,505 Games,5.63,67.0,7.2
Tetris,1988.0,Puzzle,Nintendo,5.58,,
Super Smash Bros.,1999.0,Fighting,Nintendo,5.55,,
Assassin's Creed II,2009.0,Action,Ubisoft,5.55,91.0,8.6
Assassin's Creed,2007.0,Adventure,Ubisoft,5.54,81.0,7.7
Forza Motorsport 3,2009.0,Racing,Microsoft Game Studios,5.49,92.0,8
Super Mario Advance,2001.0,Platform,Nintendo,5.49,84.0,7.8
Monster Hunter Freedom Unite,2008.0,Role-Playing,Capcom,5.48,81.0,8.7
Batman: Arkham City,2011.0,Action,Warner Bros. Interactive Entertainment,5.48,96.0,8.6
Grand Theft Auto V,2014.0,Action,Take-Two Interactive,5.48,97.0,7.9
Mario Kart: Super Circuit,2001.0,Racing,Nintendo,5.47,93.0,8.3
Super Mario World,2001.0,Platform,Nintendo,5.46,,
Pokemon Stadium,1999.0,Strategy,Nintendo,5.45,,
Crash Bandicoot: The Wrath of Cortex,2001.0,Platform,Universal Interactive,5.42,66.0,7.1
Call of Duty: World at War,2008.0,Shooter,Activision,5.39,85.0,7.6
Uncharted 4: A Thief's End,2016.0,Shooter,Sony Computer Entertainment,5.38,93.0,7.9
Dr. Mario,1989.0,Puzzle,Nintendo,5.34,,
Final Fantasy XIII,2009.0,Role-Playing,Square Enix,5.33,83.0,7.3
Pokemon Pinball,1999.0,Misc,Nintendo,5.31,,
Final Fantasy IX,2000.0,Role-Playing,SquareSoft,5.3,94.0,8.9
Assassin's Creed III,2012.0,Action,Ubisoft,5.29,84.0,6.7
Final Fantasy X-2,2003.0,Role-Playing,Electronic Arts,5.29,85.0,6.6
Donkey Kong 64,1999.0,Platform,Nintendo,5.27,,
Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,5.27,81.0,5.4
Minecraft,2014.0,Misc,Sony Computer Entertainment,5.26,,
Assassin's Creed II,2009.0,Action,Ubisoft,5.26,90.0,8.8
Tomb Raider II,1997.0,Action,Eidos Interactive,5.24,85.0,
Madden NFL 2004,,Sports,Electronic Arts,5.23,94.0,8.5
Tomodachi Life,2013.0,Simulation,Nintendo,5.23,,
New Super Mario Bros. U,2012.0,Platform,Nintendo,5.22,84.0,8.1
Dragon Quest VIII: Journey of the Cursed King,2004.0,Role-Playing,Square Enix,5.21,89.0,8.8
Super Mario Bros. 3,2003.0,Platform,Nintendo,5.2,,
Professor Layton and the Curious Village,2007.0,Puzzle,Nintendo,5.19,85.0,8.6
Super Mario Land 3: Wario Land,1994.0,Platform,Nintendo,5.19,,
FIFA Soccer 13,2012.0,Action,Electronic Arts,5.16,90.0,6.1
Donkey Kong Country 2: Diddy's Kong Quest,1995.0,Platform,Nintendo,5.15,,
Diablo III,2012.0,Role-Playing,Activision,5.14,88.0,4
Medal of Honor: Rising Sun,2003.0,Shooter,Electronic Arts,5.13,68.0,7.6
Kirby's Dream Land,1992.0,Platform,Nintendo,5.13,,
Microsoft Flight Simulator,1996.0,Simulation,Microsoft Game Studios,5.12,,
Guitar Hero II,2006.0,Misc,RedOctane,5.12,92.0,8.5
Fable III,2010.0,Role-Playing,Microsoft Game Studios,5.1,80.0,6.5
Mario & Sonic at the Olympic Games,2008.0,Sports,Sega,5.09,,
Resident Evil 5,2009.0,Action,Capcom,5.09,84.0,7.5
The Legend of Zelda: Phantom Hourglass,2007.0,Action,Nintendo,5.08,90.0,8
Super Mario Bros.,1999.0,Platform,Nintendo,5.07,,
FIFA Soccer 11,2010.0,Sports,Electronic Arts,5.07,89.0,8
Resident Evil,1996.0,Action,Virgin Interactive,5.05,91.0,9
Grand Theft Auto: Vice City Stories,2006.0,Action,Take-Two Interactive,5.03,86.0,8
Tony Hawk's Pro Skater,1999.0,Sports,Activision,5.02,92.0,9.2
Warzone 2100,1999.0,Strategy,Eidos Interactive,5.01,,
Spyro the Dragon,1998.0,Platform,Sony Computer Entertainment,5.0,,
Guitar Hero III: Legends of Rock,2007.0,Misc,Activision,4.98,82.0,8.2
Link's Crossbow Training,2007.0,Shooter,Nintendo,4.98,68.0,7.1
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007.0,Role-Playing,Nintendo,4.93,,
Fallout 3,2008.0,Role-Playing,Bethesda Softworks,4.93,93.0,8.5
Uncharted: Drake's Fortune,2007.0,Action,Sony Computer Entertainment,4.92,88.0,8.1
Madden NFL 06,2005.0,Sports,Electronic Arts,4.91,88.0,8
Diddy Kong Racing,1997.0,Racing,Nintendo,4.88,,
Monster Hunter Freedom 3,2010.0,Role-Playing,Capcom,4.87,,
Super Smash Bros. for Wii U and 3DS,2014.0,Fighting,Nintendo,4.87,,
Dr. Mario,1990.0,Puzzle,Nintendo,4.85,,
StarCraft II: Wings of Liberty,2010.0,Strategy,Activision,4.84,93.0,8.2
Assassin's Creed,2007.0,Adventure,Ubisoft,4.82,81.0,7.3
God of War III,2010.0,Action,Sony Computer Entertainment,4.8,92.0,8.7
Crash Team Racing,1999.0,Racing,Sony Computer Entertainment,4.79,88.0,9
LEGO Star Wars: The Complete Saga,2007.0,Action,LucasArts,4.76,80.0,5.4
Driver 2,2000.0,Action,Atari,4.73,62.0,7.7
Batman: Arkham City,2011.0,Action,Warner Bros. Interactive Entertainment,4.73,94.0,8.7
The Last of Us,2014.0,Action,Sony Computer Entertainment,4.71,,
The Simpsons: Hit & Run,2003.0,Racing,Vivendi Games,4.7,,
Tony Hawk's Pro Skater 2,2000.0,Sports,Activision,4.68,98.0,7.7
The Lord of the Rings: The Two Towers,2002.0,Action,Electronic Arts,4.67,82.0,8.2
Tomb Raider,1996.0,Action,Eidos Interactive,4.63,91.0,8.6
Animal Crossing: City Folk,2008.0,Simulation,Nintendo,4.62,73.0,7.6
Uncharted: The Nathan Drake Collection,2015.0,Action,Sony Computer Entertainment,4.62,86.0,8.1
The Legend of Zelda: A Link to the Past,1991.0,Action,Nintendo,4.61,,
The Legend of Zelda: The Wind Waker,2002.0,Action,Nintendo,4.6,96.0,8.9
Guitar Hero III: Legends of Rock,2007.0,Misc,Activision,4.6,86.0,8.4
Luigi's Mansion: Dark Moon,2013.0,Action,Nintendo,4.59,86.0,8.4
Forza Motorsport 4,2011.0,Racing,Microsoft Game Studios,4.57,91.0,8.2
Mario & Sonic at the Olympic Winter Games,2009.0,Sports,Sega,4.53,,
Madden NFL 2005,2004.0,Sports,Electronic Arts,4.53,91.0,7.9
Guitar Hero III: Legends of Rock,2007.0,Misc,Activision,4.53,85.0,7.9
Pitfall!,1981.0,Platform,Activision,4.5,,
Madden NFL 07,2006.0,Sports,Electronic Arts,4.49,84.0,8.2
Halo 5: Guardians,2015.0,Shooter,Microsoft Game Studios,4.48,84.0,6.4
Spider-Man: The Movie,2002.0,Action,Activision,4.48,76.0,7.9
Dragon Quest VII: Warriors of Eden,2000.0,Role-Playing,Enix Corporation,4.47,,
Call of Duty: Infinite Warfare,2016.0,Shooter,Activision,4.46,77.0,3.4
God of War,2005.0,Action,Sony Computer Entertainment,4.45,94.0,8.9
Splatoon,2015.0,Shooter,Nintendo,4.43,81.0,8.5
Nintendo Land,2012.0,Misc,Nintendo,4.42,77.0,7.9
Tony Hawk's Pro Skater 3,2001.0,Sports,Activision,4.41,97.0,7.5
Winning Eleven: Pro Evolution Soccer 2007,2006.0,Sports,Konami Digital Entertainment,4.39,86.0,8.9
The Elder Scrolls IV: Oblivion,2006.0,Role-Playing,Take-Two Interactive,4.38,94.0,8.7
Zelda II: The Adventure of Link,1987.0,Adventure,Nintendo,4.38,,
Need for Speed: Most Wanted,2005.0,Racing,Electronic Arts,4.37,82.0,9.1
Michael Jackson: The Experience,2010.0,Misc,Ubisoft,4.36,56.0,8.3
Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,4.36,,4.8
Resistance: Fall of Man,2006.0,Shooter,Sony Computer Entertainment,4.34,86.0,8.1
Sonic the Hedgehog,1991.0,Platform,Sega,4.34,,
Kingdom Hearts II,2005.0,Role-Playing,Square Enix,4.33,87.0,9
The Legend of Zelda: Ocarina of Time,2011.0,Action,Nintendo,4.33,,
Super Mario 3D World,2013.0,Platform,Nintendo,4.32,93.0,9
Minecraft,2014.0,Misc,Sony Computer Entertainment Europe,4.32,,
Asteroids,1980.0,Shooter,Atari,4.31,,
Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,4.29,,4.9
FIFA 15,2014.0,Sports,Electronic Arts,4.28,,4.5
Fable II,2008.0,Role-Playing,Microsoft Game Studios,4.27,89.0,6.5
Namco Museum,2001.0,Misc,Namco Bandai Games,4.24,79.0,7.3
Batman: Arkham Asylum,2009.0,Action,Eidos Interactive,4.23,91.0,8.9
Metal Gear Solid 3: Snake Eater,2004.0,Action,Konami Digital Entertainment,4.23,91.0,9.3
Assassin's Creed: Revelations,2011.0,Action,Ubisoft,4.22,80.0,7.5
Fallout 4,2015.0,Role-Playing,Bethesda Softworks,4.22,88.0,6.2
FIFA 14,2013.0,Sports,Electronic Arts,4.22,84.0,4.2
Daxter,2006.0,Platform,Sony Computer Entertainment,4.21,85.0,8.7
Warcraft II: Tides of Darkness,1995.0,Strategy,Activision,4.21,,
FIFA Soccer 06,2005.0,Sports,Electronic Arts,4.21,80.0,7.8
EyeToy Play,2003.0,Misc,Sony Computer Entertainment,4.2,80.0,7.5
Gran Turismo 5 Prologue,2007.0,Racing,Sony Computer Entertainment,4.19,80.0,7.1
Assassin's Creed: Revelations,2011.0,Action,Ubisoft,4.19,80.0,7.2
FIFA 12,2011.0,Sports,Electronic Arts,4.18,,
Teenage Mutant Ninja Turtles,1989.0,Action,Palcom,4.17,,
Street Fighter IV,2009.0,Fighting,Capcom,4.16,94.0,7.3
Excitebike,1984.0,Racing,Nintendo,4.16,,
Frogger,1997.0,Action,Hasbro Interactive,4.16,,
Madden NFL 2003,2002.0,Sports,Electronic Arts,4.14,95.0,7.7
Half-Life,1997.0,Shooter,Vivendi Games,4.12,96.0,9.1
Super Mario World 2: Yoshi's Island,1995.0,Platform,Nintendo,4.12,,
FIFA Soccer 07,2006.0,Sports,Electronic Arts,4.11,,
Street Fighter II Turbo,1992.0,Fighting,Capcom,4.1,,
World of Warcraft: The Burning Crusade,2007.0,Role-Playing,Activision,4.09,91.0,7.9
Battlefield 1,2016.0,Shooter,Electronic Arts,4.08,88.0,8.4
God of War II,2007.0,Action,Sony Computer Entertainment,4.07,93.0,8.9
World Soccer Winning Eleven 9,2005.0,Sports,Konami Digital Entertainment,4.06,,8.2
Fallout: New Vegas,2010.0,Role-Playing,Bethesda Softworks,4.05,84.0,8.1
Forza Motorsport 2,2007.0,Racing,Microsoft Game Studios,4.05,90.0,8.3
Carnival Games,2007.0,Misc,Take-Two Interactive,4.05,56.0,6
Watch Dogs,2014.0,Action,Ubisoft,4.05,80.0,6.3
Namco Museum Vol.3,1996.0,Misc,Sony Computer Entertainment,4.05,,
Tekken Tag Tournament,2000.0,Fighting,Namco Bandai Games,4.05,85.0,8.5
Far Cry 4,2014.0,Shooter,Ubisoft,4.04,85.0,7.7
Star Fox 64,1997.0,Shooter,Nintendo,4.03,,
Golf,1984.0,Sports,Nintendo,4.01,,
Left 4 Dead 2,2009.0,Shooter,Electronic Arts,3.97,89.0,8.6
The Witcher 3: Wild Hunt,2015.0,Role-Playing,Namco Bandai Games,3.97,92.0,9.2
Assassin's Creed: Unity,2014.0,Action,Ubisoft,3.96,70.0,4.9
Batman: Arkham Knight,2015.0,Action,Warner Bros. Interactive Entertainment,3.95,87.0,7.6
The Legend of Zelda: Skyward Sword,2011.0,Action,Nintendo,3.95,93.0,8
Fallout 3,2008.0,Role-Playing,Bethesda Softworks,3.94,90.0,8
Professor Layton and the Diabolical Box,2007.0,Puzzle,Nintendo,3.94,84.0,8.8
Donkey Kong Land,1994.0,Platform,Nintendo,3.91,,
EA Sports Active,2009.0,Sports,Electronic Arts,3.9,81.0,8.7
Tony Hawk's Underground,2003.0,Sports,Activision,3.9,90.0,8.7
Monster Hunter 4 Ultimate,2014.0,Role-Playing,Nintendo,3.89,86.0,8.7
The Elder Scrolls V: Skyrim,2011.0,Role-Playing,Bethesda Softworks,3.88,94.0,8.1
NBA 2K16,2015.0,Sports,Take-Two Interactive,3.88,87.0,6.7
Tekken 5,2005.0,Fighting,Namco Bandai Games,3.87,88.0,8.6
Dragon Warrior III,1988.0,Role-Playing,Enix Corporation,3.87,,
MotorStorm,2006.0,Racing,Sony Computer Entertainment,3.87,84.0,7.4
Nintendogs + cats,2011.0,Simulation,Nintendo,3.85,,
World Soccer Winning Eleven 8 International,2004.0,Sports,Konami Digital Entertainment,3.85,91.0,9.1
Sports Champions,2010.0,Sports,Sony Computer Entertainment,3.84,76.0,7.9
Namco Museum Vol.1,1995.0,Misc,Sony Computer Entertainment,3.84,,
The Legend of Zelda: Link's Awakening,1992.0,Action,Nintendo,3.83,,
Call of Duty: Ghosts,2013.0,Shooter,Activision,3.83,78.0,3.7
Flash Focus: Vision Training in Minutes a Day,2007.0,Misc,Nintendo,3.83,59.0,4
Tom Clancy's The Division,2016.0,Shooter,Ubisoft,3.8,80.0,7
Big Brain Academy: Wii Degree,2007.0,Misc,Nintendo,3.79,68.0,6.9
Resident Evil Director's Cut,1996.0,Action,Virgin Interactive,3.77,,
Mario & Luigi: Bowser's Inside Story,2009.0,Role-Playing,Nintendo,3.77,,
LEGO Indiana Jones: The Original Adventures,2008.0,Action,Activision,3.76,77.0,7.5
The Sims: Unleashed,2002.0,Simulation,Electronic Arts,3.76,79.0,8
Ratchet & Clank: Size Matters,2007.0,Platform,Sony Computer Entertainment,3.74,,
Harry Potter and the Sorcerer's Stone,2001.0,Action,Electronic Arts,3.73,64.0,7.5
Mario & Sonic at the London 2012 Olympic Games,2011.0,Sports,Sega,3.72,,
Resident Evil 3: Nemesis,1999.0,Action,Eidos Interactive,3.72,,
Super Paper Mario,2007.0,Platform,Nintendo,3.71,85.0,7.9
Spyro: Year of the Dragon,2000.0,Platform,Sony Computer Entertainment,3.71,91.0,8.8
Assassin's Creed IV: Black Flag,2013.0,Action,Ubisoft,3.71,88.0,8.1
FIFA Soccer 2005,2004.0,Sports,Electronic Arts,3.7,81.0,7.6
Pokémon Trading Card Game,1998.0,Strategy,Nintendo,3.7,,
Friend Collection,2009.0,Misc,Nintendo,3.67,,
Tony Hawk's Pro Skater 4,2002.0,Sports,Activision,3.67,94.0,8.5
Star Wars Battlefront (2015),2015.0,Shooter,Electronic Arts,3.66,,
MySims,2007.0,Simulation,Electronic Arts,3.66,67.0,7.3
Midnight Club 3: DUB Edition,2005.0,Racing,Take-Two Interactive,3.65,74.0,8.4
Banjo-Kazooie,1998.0,Platform,Nintendo,3.65,,
SOCOM: U.S. Navy SEALs,2002.0,Shooter,Sony Computer Entertainment,3.65,82.0,7.9
Jak and Daxter: The Precursor Legacy,2001.0,Platform,Sony Computer Entertainment,3.64,90.0,8.7
Pokemon Snap,1999.0,Simulation,Nintendo,3.63,,
Pro Evolution Soccer 2008,2007.0,Sports,Konami Digital Entertainment,3.63,82.0,7.9
Resident Evil 4,2005.0,Action,Capcom,3.62,96.0,8.9
Guitar Hero: World Tour,2008.0,Misc,Activision,3.62,86.0,7.6
FIFA Soccer 10,2009.0,Sports,Electronic Arts,3.62,91.0,7.6
Star Wars: Battlefront,2004.0,Shooter,LucasArts,3.61,82.0,8.7
Doom II: Hell on Earth,1994.0,Shooter,Virgin Interactive,3.61,,
The Simpsons: Road Rage,2001.0,Racing,Electronic Arts,3.61,64.0,7.7
