user_id,series_name,rating,episodes_watched,watch_date,recommend,age_group,country,watch_duration
1675,Game of Thrones,9.0,13,2024-06-08,1,55+,UK,46
1860,The Mandalorian,9.0,3,2024-07-20,1,25-34,USA,20
1989,The Mandalorian,10.0,5,2024-01-30,1,25-34,Canada,29
1347,Game of Thrones,9.0,4,2024-11-21,1,35-44,USA,9
1209,The Mandalorian,8.5,4,2024-03-31,0,25-34,USA,10
1876,Better Call Saul,10.0,5,2024-08-16,1,25-34,France,30
1868,Wednesday,7.5,13,2024-10-29,1,25-34,UK,45
1852,The Office,10.0,15,2024-05-24,1,35-44,USA,28
1517,The Crown,9.0,7,2024-11-23,1,18-24,France,45
1610,The Last of Us,8.5,1,2024-06-23,1,45-54,USA,42
1805,Stranger Things,8.0,3,2024-07-28,1,25-34,Canada,5
1507,Friends,8.5,6,2024-03-10,1,18-24,Germany,13
1897,The Last of Us,9.5,8,2024-04-01,1,25-34,Brazil,22
1477,Stranger Things,9.0,10,2024-11-06,1,25-34,UK,18
1753,Breaking Bad,8.5,3,2024-11-15,1,18-24,UK,41
1219,Game of Thrones,8.0,1,2024-07-26,1,35-44,USA,34
1532,Friends,9.5,8,2024-10-16,1,35-44,India,10
1677,The Office,7.5,17,2024-11-11,1,25-34,UK,23
1178,Breaking Bad,9.0,10,2024-04-22,1,25-34,USA,8
1654,Breaking Bad,9.5,16,2024-09-15,0,18-24,Germany,49
1748,The Crown,9.5,3,2024-11-28,1,35-44,Germany,12
1307,Breaking Bad,9.5,3,2024-05-10,1,18-24,USA,33
1577,Breaking Bad,9.0,14,2024-05-10,1,45-54,UK,25
1745,Stranger Things,8.0,4,2024-10-08,0,25-34,USA,40
1161,Better Call Saul,10.0,10,2024-04-28,1,18-24,UK,35
1189,The Mandalorian,7.5,11,2024-12-05,1,18-24,France,27
1743,Game of Thrones,9.0,5,2024-06-28,1,35-44,France,22
1951,The Crown,8.5,13,2024-04-23,1,35-44,Canada,13
1324,Breaking Bad,9.0,1,2024-12-09,1,25-34,Australia,34
1261,Friends,8.0,13,2024-10-30,1,25-34,UK,11
1602,Better Call Saul,9.5,19,2024-08-05,1,45-54,USA,19
1397,The Office,9.5,5,2024-12-19,1,25-34,Australia,24
1780,Friends,9.0,9,2024-01-30,1,45-54,USA,19
1961,House of the Dragon,8.5,1,2024-04-23,0,18-24,USA,31
1781,Breaking Bad,8.5,5,2024-12-24,1,35-44,Canada,51
1969,The Crown,9.0,13,2024-01-31,1,18-24,USA,55
1492,Only Murders in the Building,6.0,19,2024-08-17,0,25-34,Australia,26
1574,Ted Lasso,10.0,1,2024-06-26,1,18-24,USA,17
1465,The Crown,8.5,5,2024-01-12,1,35-44,France,57
1417,The Crown,9.5,1,2024-05-01,1,35-44,USA,34
1381,The Office,9.0,9,2024-06-26,1,55+,UK,13
1877,The Witcher,9.0,5,2024-10-31,0,25-34,France,15
1570,The Last of Us,9.0,2,2024-11-18,0,25-34,Germany,31
1542,Ozark,9.5,16,2024-05-20,1,18-24,Japan,51
1003,Breaking Bad,9.0,3,2024-03-06,0,18-24,USA,33
1680,Bridgerton,10.0,5,2024-03-02,1,18-24,USA,52
1754,Game of Thrones,7.5,15,2024-04-19,1,18-24,Brazil,22
1176,Game of Thrones,10.0,15,2024-05-07,0,45-54,UK,11
1066,Breaking Bad,10.0,6,2024-04-17,1,35-44,Australia,29
1151,Ted Lasso,8.5,13,2024-04-09,1,35-44,USA,16
1064,The Crown,10.0,11,2024-01-30,1,45-54,USA,49
1105,The Crown,8.0,8,2024-03-15,1,25-34,UK,57
1912,Bridgerton,9.0,11,2024-06-21,1,35-44,Australia,27
1487,Bridgerton,6.5,5,2024-07-01,1,45-54,France,18
1508,The Crown,9.0,20,2024-06-19,1,25-34,Australia,49
1264,Bridgerton,7.5,3,2024-12-05,1,45-54,USA,49
1243,The Office,9.0,1,2024-07-15,1,45-54,France,16
1959,The Office,8.0,5,2024-02-28,0,35-44,Japan,12
1530,The Crown,7.5,7,2024-10-07,0,45-54,Germany,73
1715,Ted Lasso,8.5,6,2024-08-04,1,55+,Germany,30
1761,The Witcher,7.0,5,2024-02-04,1,45-54,Brazil,51
1306,Stranger Things,9.5,17,2024-06-15,1,55+,Japan,35
1060,Game of Thrones,9.0,6,2024-11-30,0,25-34,UK,29
1266,The Office,10.0,17,2024-11-05,0,35-44,Canada,18
1467,Ted Lasso,9.0,15,2024-03-11,0,35-44,Germany,9
1305,Friends,10.0,9,2024-09-11,1,35-44,Japan,18
1370,Better Call Saul,9.5,3,2024-04-14,1,35-44,France,38
1341,The Mandalorian,8.5,3,2024-10-01,1,35-44,USA,18
1419,Stranger Things,8.5,3,2024-08-18,1,25-34,Japan,7
1895,Friends,8.0,18,2024-09-12,1,18-24,USA,11
1140,Breaking Bad,8.0,1,2024-01-25,1,45-54,USA,24
1148,The Mandalorian,8.0,5,2024-06-25,1,25-34,USA,14
1552,Stranger Things,8.0,5,2024-04-23,1,25-34,USA,36
1447,The Office,8.5,4,2024-11-03,1,55+,USA,17
1234,The Witcher,7.5,6,2024-04-15,1,35-44,Australia,55
1650,Wednesday,7.5,11,2024-11-14,1,35-44,UK,26
1762,Stranger Things,8.0,9,2024-12-16,1,18-24,France,42
1469,Bridgerton,7.5,17,2024-05-06,1,45-54,USA,12
1905,Bridgerton,8.0,10,2024-07-01,1,25-34,USA,37
1185,Stranger Things,8.0,7,2024-09-19,0,35-44,Canada,34
1284,Breaking Bad,9.5,9,2024-02-19,1,35-44,Japan,37
1970,Friends,8.5,13,2024-05-12,1,35-44,Brazil,21
1790,Breaking Bad,9.5,8,2024-07-03,1,18-24,Brazil,54
1321,The Last of Us,7.5,8,2024-12-31,0,18-24,Brazil,31
1400,Game of Thrones,9.5,6,2024-08-16,1,35-44,France,39
1817,Bridgerton,9.0,5,2024-10-19,1,35-44,USA,32
1401,The Office,8.5,3,2024-05-23,0,18-24,USA,9
1648,The Bear,9.5,13,2024-01-25,0,25-34,Australia,23
1642,Game of Thrones,9.5,10,2024-02-08,1,18-24,UK,28
1004,House of the Dragon,9.0,5,2024-05-11,1,25-34,UK,32
1012,Stranger Things,8.0,12,2024-06-22,1,18-24,USA,27
1013,Better Call Saul,9.0,4,2024-08-04,1,18-24,Germany,25
1879,The Office,10.0,10,2024-01-19,0,45-54,UK,19
1354,Breaking Bad,10.0,2,2024-07-10,1,25-34,France,45
1671,Game of Thrones,9.5,3,2024-05-05,1,25-34,Australia,51
1640,Game of Thrones,10.0,2,2024-11-06,1,18-24,USA,9
1900,The Mandalorian,8.5,5,2024-11-04,1,25-34,France,44
1630,Only Murders in the Building,8.5,13,2024-02-20,1,35-44,Brazil,22
1061,Better Call Saul,8.0,12,2024-03-28,1,45-54,France,63
1533,Better Call Saul,9.0,6,2024-03-13,0,45-54,Brazil,45
1524,Ted Lasso,9.5,3,2024-11-05,0,35-44,USA,32
1963,The Mandalorian,8.0,8,2024-11-13,1,25-34,Germany,32
1751,Better Call Saul,8.0,2,2024-11-19,0,35-44,USA,25
1159,The Crown,8.0,18,2024-10-31,1,25-34,UK,60
1883,Bridgerton,6.5,1,2024-05-28,1,45-54,Canada,52
1213,The Office,8.0,11,2024-03-11,1,25-34,USA,8
1991,Succession,8.5,5,2024-08-09,0,18-24,USA,56
1079,Only Murders in the Building,7.5,14,2024-07-31,1,25-34,Canada,18
1944,Wednesday,8.0,9,2024-10-14,1,45-54,USA,13
1814,The Office,9.0,12,2024-06-18,1,35-44,Canada,11
1807,Breaking Bad,9.5,5,2024-08-14,0,55+,USA,25
1982,House of the Dragon,8.0,9,2024-11-27,1,18-24,France,13
1404,Bridgerton,7.0,18,2024-11-22,1,18-24,Brazil,65
1016,Better Call Saul,9.5,12,2024-10-12,1,18-24,UK,31
1125,Succession,8.5,3,2024-03-09,0,25-34,USA,73
1299,Game of Thrones,9.0,6,2024-02-27,0,35-44,USA,49
1733,Friends,9.5,5,2024-04-27,0,55+,UK,20
1188,Ted Lasso,9.0,14,2024-11-22,0,55+,Japan,14
1313,Better Call Saul,10.0,6,2024-08-01,1,25-34,Australia,36
1103,Only Murders in the Building,8.0,15,2024-03-19,1,35-44,Australia,34
1365,Game of Thrones,7.5,14,2024-07-18,1,25-34,USA,46
1929,Breaking Bad,9.5,4,2024-06-06,1,25-34,USA,36
1168,Better Call Saul,8.0,4,2024-10-23,1,35-44,UK,36
1023,Breaking Bad,10.0,4,2024-05-24,0,25-34,UK,30
1245,Friends,8.0,1,2024-01-25,1,25-34,USA,12
1122,The Last of Us,10.0,3,2024-02-10,1,45-54,USA,67
1458,Game of Thrones,9.0,4,2024-11-24,1,35-44,India,46
1861,Succession,9.5,10,2024-03-09,1,55+,UK,20
1875,The Crown,8.5,4,2024-10-23,1,25-34,Japan,47
1027,Better Call Saul,10.0,15,2024-04-21,0,25-34,Brazil,43
1839,Game of Thrones,10.0,14,2024-04-07,1,35-44,Canada,37
1296,The Mandalorian,8.5,5,2024-01-04,1,35-44,Germany,23
1285,Game of Thrones,8.0,13,2024-07-29,1,45-54,UK,27
1146,Succession,8.5,17,2024-10-21,1,35-44,Brazil,64
1819,The Mandalorian,8.5,8,2024-06-11,1,35-44,USA,44
1373,The Witcher,7.5,4,2024-06-11,1,25-34,USA,32
1718,The Mandalorian,8.5,10,2024-01-15,1,25-34,Germany,25
1009,Wednesday,8.0,4,2024-01-06,1,25-34,Canada,31
1427,Friends,9.5,15,2024-07-08,0,35-44,Brazil,8
1620,Friends,10.0,7,2024-01-17,1,18-24,USA,15
1152,Friends,9.0,1,2024-12-10,1,55+,UK,14
1360,The Bear,9.5,7,2024-03-20,1,45-54,UK,15
1600,The Office,8.0,2,2024-01-20,1,25-34,Germany,22
1992,Ted Lasso,9.5,8,2024-04-13,1,18-24,Germany,18
1425,Bridgerton,6.5,1,2024-10-06,1,45-54,Japan,24
1473,Bridgerton,7.5,9,2024-10-04,1,35-44,France,61
1067,Better Call Saul,8.0,8,2024-11-08,1,25-34,UK,27
1668,The Mandalorian,7.5,14,2024-03-10,0,18-24,France,23
1794,The Office,8.5,7,2024-01-13,0,25-34,Canada,13
1348,The Crown,10.0,13,2024-05-11,0,55+,USA,44
1432,Game of Thrones,10.0,5,2024-12-10,1,35-44,UK,35
1343,The Mandalorian,7.5,12,2024-03-22,1,45-54,India,15
1206,Breaking Bad,10.0,2,2024-02-07,1,18-24,USA,5
1034,The Crown,9.5,12,2024-05-17,1,25-34,USA,24
1701,House of the Dragon,9.5,12,2024-04-23,1,35-44,Canada,40
1082,The Office,10.0,15,2024-04-09,1,25-34,UK,15
1251,Breaking Bad,9.0,14,2024-09-10,1,35-44,USA,40
1539,Ozark,8.5,12,2024-08-07,0,35-44,UK,38
1383,The Witcher,7.5,5,2024-10-17,1,25-34,Canada,33
1077,The Office,9.5,9,2024-05-01,1,35-44,Germany,8
1729,Succession,9.0,17,2024-04-18,1,45-54,Germany,46
1288,The Bear,9.5,9,2024-07-04,1,25-34,Germany,22
1820,House of the Dragon,8.0,1,2024-10-13,1,35-44,Canada,13
1773,Better Call Saul,9.5,10,2024-05-13,1,35-44,UK,36
1703,The Office,8.5,3,2024-01-21,1,25-34,UK,20
1258,The Bear,8.5,9,2024-12-17,0,18-24,USA,49
1915,Wednesday,7.0,1,2024-12-11,1,18-24,USA,26
1763,Breaking Bad,8.5,17,2024-06-30,0,25-34,Australia,50
1123,Game of Thrones,8.0,12,2024-01-30,1,25-34,Australia,57
1294,Better Call Saul,8.0,7,2024-09-10,1,55+,Brazil,32
1559,Breaking Bad,10.0,8,2024-07-27,1,18-24,Japan,61
1709,House of the Dragon,9.0,5,2024-01-28,1,18-24,France,52
1039,The Witcher,9.0,7,2024-10-27,1,18-24,Brazil,34
1131,Game of Thrones,10.0,9,2024-11-16,1,18-24,USA,16
1452,Ted Lasso,8.0,3,2024-08-08,1,45-54,Germany,27
1590,Breaking Bad,9.0,6,2024-01-03,1,45-54,USA,29
1310,Stranger Things,9.5,19,2024-06-19,1,18-24,India,44
1242,Breaking Bad,9.5,13,2024-01-25,1,25-34,Germany,24
1475,Ted Lasso,8.5,4,2024-09-10,1,35-44,Canada,16
1932,Breaking Bad,9.5,13,2024-03-03,1,35-44,USA,43
1221,The Office,8.0,12,2024-04-15,1,35-44,India,12
1090,The Office,10.0,10,2024-07-10,1,18-24,USA,18
1491,Game of Thrones,9.0,9,2024-11-25,1,35-44,UK,62
1874,Breaking Bad,10.0,6,2024-02-09,1,18-24,UK,15
1275,The Mandalorian,9.0,7,2024-04-06,1,18-24,Brazil,23
1166,Stranger Things,9.0,8,2024-01-30,1,25-34,USA,28
1438,Ozark,9.0,12,2024-03-12,1,35-44,USA,39
1353,The Office,8.5,7,2024-02-29,1,18-24,Japan,20
1083,Succession,9.0,3,2024-04-05,0,18-24,Germany,42
1384,Game of Thrones,7.5,1,2024-01-06,1,25-34,USA,58
1598,Ted Lasso,8.5,8,2024-06-07,1,25-34,France,20
1449,Bridgerton,7.0,2,2024-07-29,1,35-44,Brazil,36
1118,The Mandalorian,8.5,4,2024-04-10,1,18-24,Japan,17
1187,Friends,8.5,11,2024-10-09,1,45-54,Canada,6
1164,Bridgerton,6.0,1,2024-06-16,1,18-24,India,27
1132,Ted Lasso,8.0,12,2024-03-10,1,18-24,UK,20
1858,Game of Thrones,10.0,2,2024-07-30,1,25-34,UK,16
1466,Game of Thrones,9.0,4,2024-09-15,1,18-24,USA,39
1160,The Last of Us,8.5,14,2024-02-01,1,25-34,Germany,34
1110,Ozark,9.0,6,2024-09-28,1,45-54,India,21
1967,The Mandalorian,7.5,15,2024-08-16,1,18-24,UK,24
1056,The Last of Us,7.0,13,2024-07-04,1,35-44,India,22
1385,Better Call Saul,10.0,6,2024-12-29,0,25-34,USA,25
1394,The Last of Us,9.0,7,2024-06-01,1,25-34,Germany,8
1825,The Crown,10.0,15,2024-10-06,0,18-24,Australia,10
1827,Stranger Things,9.5,5,2024-12-25,1,25-34,Australia,33
1919,The Mandalorian,8.5,2,2024-02-17,1,18-24,UK,17
1864,The Office,9.0,8,2024-10-19,1,35-44,Germany,19
1937,Succession,8.5,10,2024-03-04,1,35-44,Germany,56
1278,The Office,6.5,12,2024-01-21,1,35-44,USA,9
1224,The Mandalorian,8.5,1,2024-03-02,1,45-54,USA,30
1557,Stranger Things,8.5,13,2024-01-04,1,35-44,Germany,41
1406,The Office,8.0,2,2024-12-24,1,45-54,USA,21
1901,Bridgerton,8.0,9,2024-10-28,1,25-34,USA,35
1104,Stranger Things,8.5,7,2024-07-12,1,35-44,USA,49
1139,The Last of Us,10.0,9,2024-10-11,1,25-34,India,43
1927,Better Call Saul,9.5,6,2024-11-30,0,25-34,UK,45
1270,The Office,7.5,9,2024-12-07,1,35-44,USA,22
1713,Stranger Things,9.0,1,2024-03-12,1,45-54,UK,56
1226,Bridgerton,8.0,5,2024-03-19,1,35-44,Germany,42
1181,The Mandalorian,8.5,9,2024-05-27,1,18-24,USA,38
1926,The Witcher,8.5,9,2024-10-14,1,35-44,USA,52
1921,House of the Dragon,8.0,2,2024-06-16,1,25-34,France,46
1416,Stranger Things,7.5,3,2024-11-22,1,25-34,USA,58
1184,Ozark,9.0,3,2024-03-12,1,25-34,USA,42
1894,Stranger Things,8.0,3,2024-07-02,1,35-44,Japan,47
1303,Stranger Things,9.0,3,2024-10-30,1,25-34,Canada,43
1741,Stranger Things,9.5,10,2024-01-08,1,35-44,Germany,33
1117,Only Murders in the Building,8.0,8,2024-09-12,1,25-34,USA,18
1088,Ozark,8.5,3,2024-12-07,1,35-44,UK,46
1798,Friends,9.0,6,2024-02-23,1,35-44,Germany,23
1891,House of the Dragon,8.0,2,2024-12-24,0,25-34,France,34
1374,Wednesday,6.5,8,2024-12-13,1,35-44,Japan,15
1850,Friends,9.0,4,2024-05-29,1,25-34,India,12
1628,Ted Lasso,9.0,7,2024-03-02,1,25-34,Australia,17
1229,Breaking Bad,10.0,12,2024-07-10,1,18-24,USA,37
1523,The Last of Us,7.0,6,2024-02-16,1,35-44,USA,21
1233,Better Call Saul,9.0,7,2024-04-22,1,35-44,Japan,58
1232,Wednesday,7.5,14,2024-08-11,1,45-54,France,22
1945,The Office,9.5,7,2024-05-10,1,35-44,UK,21
1498,Only Murders in the Building,9.0,14,2024-01-22,0,35-44,India,20
1074,Ted Lasso,10.0,12,2024-11-23,1,45-54,Germany,39
1719,Bridgerton,7.5,6,2024-10-11,1,35-44,USA,14
1980,Breaking Bad,9.5,15,2024-10-05,0,35-44,USA,22
1057,The Mandalorian,8.5,3,2024-12-08,1,25-34,France,22
1943,Friends,8.5,8,2024-09-16,1,45-54,India,17
1014,The Crown,8.0,8,2024-06-16,1,25-34,Japan,22
1986,The Last of Us,8.0,7,2024-03-20,1,25-34,USA,29
1033,The Office,9.5,11,2024-10-15,1,35-44,UK,9
1040,Breaking Bad,9.5,11,2024-03-05,1,25-34,France,12
1342,Only Murders in the Building,7.0,13,2024-07-03,1,25-34,USA,21
1076,Game of Thrones,10.0,5,2024-10-08,1,45-54,Brazil,59
1899,Game of Thrones,8.5,5,2024-03-22,1,35-44,USA,5
1331,Stranger Things,8.0,9,2024-05-28,1,55+,USA,22
1841,Stranger Things,8.0,4,2024-10-24,0,35-44,Australia,32
1973,Better Call Saul,9.5,6,2024-07-18,1,25-34,Brazil,37
1327,Stranger Things,10.0,8,2024-04-07,1,55+,UK,24
1138,The Witcher,7.0,8,2024-03-22,1,18-24,Germany,29
1434,Wednesday,8.5,20,2024-08-04,1,25-34,Japan,46
1319,Breaking Bad,9.5,7,2024-12-15,1,25-34,Australia,52
1681,The Mandalorian,8.0,20,2024-12-21,1,25-34,Canada,38
1289,The Crown,9.0,11,2024-12-16,0,35-44,USA,45
1935,The Office,9.0,20,2024-08-02,1,45-54,USA,7
1833,Stranger Things,7.0,9,2024-10-19,1,45-54,USA,36
1263,Better Call Saul,7.5,8,2024-10-09,0,25-34,USA,47
1609,Ozark,8.0,1,2024-05-05,1,35-44,India,61
1871,Succession,9.5,1,2024-11-17,1,45-54,USA,56
1377,The Witcher,9.0,7,2024-02-10,1,25-34,UK,57
1085,The Crown,9.0,5,2024-01-27,1,45-54,UK,36
1239,The Office,9.5,6,2024-05-11,1,35-44,Canada,18
1250,Game of Thrones,9.0,7,2024-09-06,1,25-34,USA,11
1019,The Last of Us,8.5,9,2024-11-16,1,35-44,USA,5
1666,The Crown,8.5,8,2024-12-17,0,25-34,USA,69
1710,The Last of Us,9.0,1,2024-05-22,1,55+,USA,43
1423,The Bear,9.0,2,2024-07-19,1,25-34,USA,10
1835,Breaking Bad,10.0,7,2024-01-18,1,18-24,USA,33
1340,The Office,8.0,14,2024-02-16,1,25-34,USA,25
1549,Breaking Bad,9.5,17,2024-02-03,1,35-44,Japan,29
1376,Friends,8.0,4,2024-01-23,1,18-24,USA,29
1212,The Crown,9.5,7,2024-01-05,1,35-44,India,57
1429,Ozark,9.0,3,2024-08-25,1,25-34,USA,26
1787,House of the Dragon,8.0,3,2024-03-03,1,25-34,Japan,56
1851,The Crown,8.0,3,2024-04-29,1,35-44,Germany,65
1308,House of the Dragon,7.5,5,2024-08-07,0,25-34,Germany,39
1941,Game of Thrones,9.0,14,2024-11-25,1,25-34,USA,48
1293,The Mandalorian,9.0,5,2024-02-22,1,25-34,Germany,49
1702,Better Call Saul,9.0,12,2024-07-21,1,25-34,India,57
1231,House of the Dragon,9.5,12,2024-05-22,1,25-34,UK,5
1626,The Office,9.0,11,2024-04-16,1,55+,UK,18
1457,The Mandalorian,10.0,6,2024-11-10,1,45-54,UK,30
1656,Only Murders in the Building,7.0,9,2024-03-19,0,25-34,France,13
1775,Breaking Bad,8.5,14,2024-09-06,1,25-34,UK,29
1984,Game of Thrones,8.0,8,2024-10-23,1,45-54,USA,61
1669,Friends,9.5,17,2024-05-25,1,18-24,UK,8
1867,The Crown,8.5,14,2024-05-12,1,25-34,France,49
1113,The Witcher,6.5,14,2024-11-05,0,55+,India,57
1558,The Office,9.0,2,2024-03-09,0,25-34,India,19
1351,Succession,8.5,5,2024-06-18,1,25-34,USA,69
1497,The Office,9.0,3,2024-11-23,1,25-34,Germany,30
1618,Ted Lasso,8.5,5,2024-01-23,1,25-34,Australia,15
1150,Friends,7.5,17,2024-03-14,1,25-34,USA,15
1759,The Crown,8.0,20,2024-04-22,1,45-54,Australia,63
1736,The Office,9.0,8,2024-03-01,1,25-34,USA,6
1641,Game of Thrones,9.5,19,2024-07-22,1,25-34,Canada,29
1129,The Office,8.0,4,2024-03-21,1,45-54,France,15
1349,Breaking Bad,10.0,6,2024-11-01,1,25-34,USA,52
1372,Breaking Bad,9.5,1,2024-02-29,1,25-34,UK,48
1776,Game of Thrones,8.0,11,2024-06-16,1,35-44,UK,21
1002,Stranger Things,9.5,11,2024-03-16,0,35-44,Canada,17
1856,The Crown,8.5,6,2024-05-07,1,25-34,USA,9
1439,Wednesday,7.5,16,2024-02-27,0,25-34,Australia,21
1913,Game of Thrones,9.5,12,2024-01-29,1,25-34,USA,47
1316,Game of Thrones,10.0,3,2024-04-14,1,25-34,Australia,43
1922,The Mandalorian,10.0,13,2024-05-05,1,18-24,Canada,44
1010,The Office,8.5,17,2024-12-01,1,35-44,UK,23
1692,The Mandalorian,10.0,9,2024-05-05,0,35-44,Canada,19
1281,Ozark,7.0,9,2024-09-24,1,35-44,UK,12
1249,Breaking Bad,9.0,5,2024-04-13,1,25-34,Canada,45
1302,Stranger Things,9.0,5,2024-10-26,1,25-34,Australia,36
1682,The Bear,9.0,5,2024-06-20,1,18-24,USA,14
1739,The Office,8.0,12,2024-07-04,1,35-44,Germany,19
1611,Breaking Bad,9.5,19,2024-08-05,0,55+,USA,53
1257,Ozark,10.0,2,2024-01-24,1,25-34,Australia,50
1672,Game of Thrones,9.0,2,2024-10-26,1,25-34,Brazil,54
1474,Only Murders in the Building,7.5,2,2024-12-28,1,45-54,Brazil,23
1182,The Bear,7.5,3,2024-09-16,1,18-24,UK,12
1911,The Crown,9.5,5,2024-09-05,0,55+,Australia,49
1808,Game of Thrones,8.0,5,2024-11-15,1,25-34,India,66
