id,k
3475840,40
12415723,40
65201749,40
34167293,40
814415,20
183350,20
2518058,40
2518600,40
36782530,40
656828,20
8675201,40
24604305,40
29980844,40
81453426,40
34511580,20
65204688,40
32054351,20
23756802,20
42907527,40
52308433,40
10042873,40
65200345,40
24264172,40
4836634,40
13101560,20
240737,20
1936140,20
80411576,40
938262,20
54562767,40
55619452,40
2201062,10
54562309,20
54724007,40
13457012,40
39925757,40
42807783,40
1250876,20
14380773,40
7125224,40
14912694,20
2863235,40
80452230,40
23428600,40
2413302,40
5275660,40
4212371,20
2813106,20
28594851,20
16206630,20
12341312,40
1771850,40
45158061,20
28561074,40
3287580,40
23448024,40
4604229,20
34664491,40
1521241,20
42192480,40
46692495,20
23725800,20
51619601,40
247545,20
29974313,40
12992054,20
2209390,10
3265730,40
32042604,40
14358638,40
180572,20
12447145,40
54117089,20
26038137,20
29921937,40
52208115,40
42593077,40
14440683,40
23431512,40
10008390,40
94743991,40
42805368,40
5501113,20
21836515,40
2294729,20
1109294,20
13600133,10
13794132,40
80457126,40
20616112,20
5281091,40
53101249,40
53304608,40
39963519,40
503134,20
1077651,40
345245,10
375934,20
21034303,40
12921769,20
2012456,20
33420092,40
1589938,40
1027174,40
413747,20
864137,20
14438895,40
14214482,40
88177742,40
8668590,40
51686813,40
729140,20
959871,20
13474863,40
42905188,40
23438622,40
14362848,40
13449060,40
20806582,40
14409275,40
22739432,40
13704362,20
8674345,40
4205782,20
9210800,40
65109998,40
841528,20
9202611,40
45197636,20
609099,20
80812244,40
1060350,20
8644861,40
54261570,40
26318628,40
2261782,20
2638312,40
12921181,20
6438601,40
24692530,10
42904703,40
42795222,40
12405124,20
42704146,40
25180215,40
704911,40
2875284,40
1425234,20
1055925,20
2803726,20
7139136,40
2635097,20
51624524,20
30921759,20
24594482,40
54739756,20
22221980,20
4805151,20
1711873,20
13308009,20
34177680,40
271675,20
680958,20
26043920,20
1336487,20
1425684,20
94757852,40
53607251,40
16249070,40
620165,20
3867820,40
23426179,40
65201512,40
1180550,40
34624090,40
2205211,20
25161075,40
33356076,40
605620,20
1033956,20
3668053,40
125687,20
1695010,40
14355710,40
1417797,20
36098183,40
54400209,40
52208925,40
65200667,20
10610405,20
54599814,20
1338722,20
1006401,20
14426463,40
3937577,20
52204990,40
42200920,20
14446066,40
288284,40
29993768,40
5780721,40
11504862,20
39921026,40
30988497,40
6337252,20
80809359,40
80456944,40
13477110,40
13752707,40
14583330,40
801801,20
10059547,40
1269259,20
408158,20
52705139,40
11010568,40
377252,20
16511883,40
55679269,40
1401939,20
34344127,40
6334180,20
34664629,40
44517173,10
9052674,40
4005570,20
2237270,20
2856190,40
53702466,40
793515,20
1981790,40
65101555,40
23416238,40
2284960,20
14904071,20
7001800,20
2169657,20
5116520,20
10845461,40
14504707,20
659576,20
1419153,20
3518078,20
30996325,40
34342616,40
65303718,20
2622220,40
14580748,20
53702185,40
4101898,10
25862359,20
3282546,40
1401637,20
88177360,40
6605559,20
1481070,40
16241088,40
23770040,40
22798609,40
13647709,40
34410724,40
237540,20
24568724,20
22519270,20
12339954,20
55831109,40
401064,10
14968606,40
65109483,20
14916215,20
1342959,20
4666046,20
65109365,40
54536405,40
55802887,40
7706898,40
52305623,40
1657330,20
26048930,20
24613410,20
1438085,20
3214419,20
935069,10
32047568,20
53701645,40
55103412,20
1285122,40
36795690,20
26050242,20
65202134,40
54700946,40
1449486,20
2406853,40
435945,20
34305807,40
16400089,20
447382,40
39955931,40
11005092,40
23428210,40
20612524,20
34229655,20
14901781,20
42804111,40
8700117,20
14444787,40
505498,20
25809270,20
1728571,20
46661573,20
39933180,40
22270531,20
28563603,20
24110736,20
7927533,40
3204642,20
4230710,20
14016559,40
32018746,20
34372300,40
9403485,40
30971330,20
2801019,20
13902580,20
94700362,40
154121,40
94779961,40
30992303,40
33429464,40
14961369,20
318582,20
53300014,40
42119758,40
42234859,40
55768237,40
53101372,40
34685820,40
7700946,20
523429,40
54192790,20
16261895,20
23726024,40
24562440,20
91107083,40
29983487,40
24508179,40
2198959,40
91117127,40
14588960,40
934356,20
4696255,20
1907700,20
32001495,20
12587516,20
29931894,40
8628181,40
35000314,20
21812624,20
1779559,40
161721,40
4814363,20
1257900,40
1066420,40
3946614,40
20057083,40
34638644,40
23732440,20
94768439,40
1052730,20
2099438,10
1558307,20
70700060,40
24510025,20
54774411,40
80464602,40
6114067,40
3977900,40
979694,20
54705320,20
14989247,40
282235,40
8646511,40
7300549,20
14380145,40
42145406,40
16233034,20
2212927,20
2921707,20
53300970,40
5248850,20
29607051,40
52204041,40
20650396,20
36776416,40
9231255,40
29976162,40
4316967,40
13209000,40
53300186,40
45100861,20
963291,20
81409664,40
35628548,40
25908464,40
21813906,20
54406122,40
14918692,20
14123029,20
54746060,20
46658483,40
13900544,10
16232100,40
23779616,40
26005336,20
14987830,40
10844430,40
11317264,20
14904691,20
8722978,20
42113865,40
35063316,20
14525879,20
2817438,40
12000493,40
33414009,40
54555620,40
33436703,40
17800544,40
88180085,40
106461,20
3539725,40
34477802,40
30946921,20
21843368,20
45194203,40
382396,20
11800020,20
91120780,40
25635581,40
843040,20
1314785,20
94775125,40
28547241,40
94707464,40
28556151,40
15008177,40
55772366,40
922439,20
81419805,40
13603485,20
44703238,40
54775485,40
13718100,20
30978173,40
34117954,20
45179018,20
34343240,40
26320681,40
81435428,40
29995442,40
42904386,40
36090310,20
2942798,40
8674027,40
13223348,40
36781827,40
54706330,40
52106152,40
8414289,40
54000370,40
34173803,40
65203286,40
1326384,20
17020638,40
39968847,40
53107710,40
1008331,20
54404179,40
54234883,40
380059,20
88114228,40
11310090,20
669717,20
54560195,40
53200485,40
53805297,40
26006995,20
7005466,40
53304170,40
34561200,20
22225048,20
5056055,20
25825003,20
24292761,40
20648286,20
2854910,20
5031125,20
605867,10
937304,20
21034320,40
29600677,40
34629459,20
15701964,20
4638255,20
867608,20
1487191,40
42176433,40
94785562,40
100781,20
829889,40
8632456,40
1304941,20
52500165,40
80419658,40
22232702,20
25129864,40
610240,20
10218815,40
23748109,20
23479434,40
54702720,40
16295692,20
2078996,20
54404448,40
4648315,20
1311620,20
614505,20
1429132,20
5007020,20
10608680,20
51697394,40
55300240,40
276464,40
17023459,40
14901331,20
206482,20
1424114,40
1474235,40
54767890,20
52101000,40
1769456,40
32014929,20
5833825,40
42756251,40
53701234,40
364371,40
9918825,20
5232511,40
22512241,40
2897100,40
1664433,40
2509601,20
25853031,40
309826,20
16295005,20
3240606,40
53302419,40
54000699,40
445630,40
294403,40
14236354,40
379433,20
55814107,40
1772317,20
23469072,40
12979457,20
29625548,20
1213075,20
22258361,20
23727160,40
14938987,20
932230,20
1430238,20
3474925,40
1210904,20
48703958,40
23730811,40
2803564,20
52207844,40
1201590,10
14906910,20
24558796,20
14984172,40
23726660,40
3538850,40
3535860,40
53400169,40
54737524,20
34629076,20
20065981,40
1362810,40
8652686,40
23410779,40
55750478,40
54186005,40
52703941,40
24509396,20
8711518,20
53803626,40
54701551,40
33325103,20
42240220,40
1332708,40
29993482,40
8700109,40
1159755,20
10001832,20
3825116,20
26314010,40
1259660,40
94799563,40
53506133,40
36097551,20
657123,20
1025244,20
34272747,40
1136330,20
522074,40
42155428,40
81438044,40
54192129,40
3927180,40
22237186,20
7108109,40
34568506,40
1924117,40
34573968,40
13221914,40
54283124,40
14202360,20
13208152,40
1314610,20
53106792,40
29987318,40
34164979,40
21098824,20
8704260,20
32711190,20
5035155,20
52103683,40
34676872,40
80802664,40
55802627,40
26075172,20
484288,20
1974386,40
24646849,20
23905913,40
53708175,40
398381,40
55844383,40
4433289,20
11205741,40
94714223,40
24600458,20
1577026,20
2823144,20
6516629,40
17017572,40
53106224,40
51638789,20
34698205,40
3511723,20
28511050,40
35828757,40
392324,20
65308742,40
42741688,40
2271494,20
4281969,20
29667437,40
34661808,40
2250993,20
2023806,20
34342498,40
94744246,40
1101960,20
54703440,40
9700242,20
46684603,40
42584469,40
1132717,10
14339307,40
53401093,40
5010560,20
34340277,40
26390574,40
23442700,40
42143640,20
12954063,20
1018698,20
404730,20
55869998,40
44757387,40
54770343,20
363154,40
26026341,20
94747288,40
36090905,20
1744933,20
6551351,40
1301152,20
2243830,40
514659,20
52202876,40
65308255,40
42769175,40
2306824,20
65200792,20
24569542,20
14513781,20
9228947,40
44733550,40
35809906,40
1360620,20
14979730,40
1505718,20
810088,20
3258602,40
3404110,20
33484112,40
8400814,40
1050230,20
4930258,40
2624346,20
34340096,40
2270382,20
16271904,40
4608631,20
28548388,40
41830040,20
53401950,40
39980480,40
4317220,40
2526530,40
12403334,20
24515027,20
1046381,20
55615490,40
3931420,20
1007971,20
7007078,40
80837891,40
33305854,40
207063,20
35889942,40
94729417,40
17027012,40
1132113,20
54401092,40
52206664,40
968250,20
12949108,20
33413371,40
26321289,40
80486371,40
244457,40
24575119,40
815225,20
54403269,40
24224073,40
36742490,40
1298356,20
54503068,40
282430,40
45023859,20
51683318,40
1122371,20
7300034,20
2247968,20
7005067,20
9908099,20
260860,40
16291050,20
54006343,40
25620673,20
12573272,20
52100167,40
1727532,20
12919241,20
4101049,20
4454960,20
2305232,20
53502566,40
14917297,20
2117045,20
207420,20
37319932,40
22224130,20
34343922,40
2411067,40
4656253,20
664979,20
1052420,40
5100569,20
14940345,20
12938572,20
3658961,40
55800777,40
4603915,20
3900304,10
8406324,40
683213,20
94735050,40
392820,20
65209353,40
396958,40
689904,40
1028456,20
44712596,40
2137674,20
1649426,20
16215710,20
24633674,40
616990,20
22208577,20
44700067,40
22289704,20
4503104,20
22280820,20
42210054,40
4438213,20
1072129,20
14974231,40
5015820,20
16281560,20
281999,40
14925885,20
916609,20
80436455,40
25022776,20
1089587,20
34693750,40
45017220,20
65209437,40
12600580,20
4617436,20
23469196,40
9201933,40
10001263,20
52901382,40
523593,40
3816257,20
786446,40
7829469,40
10023690,40
2847396,40
32054270,40
14941295,40
646440,20
42712394,40
54706220,40
16286758,20
4600428,10
13713736,40
25146890,40
790761,20
2823519,20
33454710,40
48713430,40
2510626,40
34576649,40
44770537,40
14926334,20
8643687,40
1462946,20
44577710,20
2415070,40
80805841,40
53101660,40
1402927,20
29635713,40
34175059,40
10294180,40
53201510,40
1634844,20
3830799,20
53504586,40
55817980,40
742775,20
21868921,20
34309055,40
1573802,40
35810181,40
88171736,40
53704354,40
2862883,40
23409207,40
14343681,40
55109811,40
2532727,40
36062995,40
4488415,40
3990281,40
6203914,20
80442420,20
1402692,20
1002830,10
39948846,40
2230666,20
2254131,10
13731661,20
25665600,40
25660438,20
42745756,40
42731224,40
3701166,10
8114587,40
9900780,20
32733801,40
14523884,20
2276895,20
55108882,40
3203689,20
81433395,40
41827465,40
53304374,40
2245175,20
10639810,40
36716545,40
14970210,20
34384790,20
837121,20
80824218,40
14986949,40
51694174,40
1952439,40
16235762,20
13530119,40
42909236,40
42803535,40
1024540,40
793949,40
35818379,40
20051298,40
2500230,20
11200634,20
925632,20
5231523,20
20689233,20
915190,20
16290232,20
4465938,40
45097968,40
22230564,20
55103280,40
21534012,40
4257685,20
696692,20
119300,20
44537891,40
32021399,40
55106540,40
35092472,20
8626430,40
1021966,20
1670859,40
283797,40
979961,20
22246835,20
9223635,40
1270250,20
13731238,20
3336620,40
54540119,40
14923092,20
5539463,40
65301093,40
4252748,20
30937736,20
1629387,20
29994896,40
1025864,20
8653275,40
738220,20
10100768,20
714984,20
44549989,40
291374,40
14188309,40
45137765,40
1453645,40
30600979,40
16254236,40
3247791,40
34662634,40
3976904,40
744980,20
94791929,40
53303237,40
24664600,20
23442174,40
14526352,40
36041483,20
32018223,20
1657739,40
55810365,40
42904078,40
14955750,40
36030970,20
7402872,20
42724996,40
34448349,40
25926268,40
916412,10
88122760,40
731420,20
28521374,40
2292882,20
1183095,20
53607641,40
9909613,20
44724632,40
29628393,40
602086,20
55885918,40
44703472,40
1608029,20
9041575,40
4712412,40
5076315,20
65201887,20
5081483,10
1042254,40
3866254,40
16226160,20
53509951,40
3521338,20
51620936,40
16269845,40
6009174,40
950335,20
54746159,40
2873201,40
14402890,20
115983,20
7817142,40
52501254,40
14960710,20
1676300,20
2643537,40
53502256,40
51638509,40
2292955,20
6623140,40
14524015,20
13817078,40
6534635,40
16266480,20
622486,20
1368524,40
620262,20
12921971,10
13468944,40
1547038,40
4640934,20
11100400,20
3471047,40
53702665,40
14394499,40
13636103,20
25975404,40
22220860,20
53305259,40
42150752,40
42802886,40
5174341,40
223964,40
745936,20
5203180,20
42778107,40
55101527,40
11522259,40
1057847,20
22771484,40
1004239,10
23470933,40
55652662,40
1505661,20
10251766,40
1658018,20
26044293,20
34642226,40
73618977,20
22232176,20
13816500,40
8672962,40
34683291,40
1041096,20
10624414,20
14912651,20
209201,20
48739774,40
28581776,40
53400087,40
5262526,40
22275169,20
726931,20
9202573,40
29957176,40
52502634,40
26077175,20
36047163,40
39936511,40
1989766,40
54535123,40
5512069,20
24524891,20
273945,20
80438121,20
24235520,20
753947,20
1612824,20
29646197,40
52706272,40
44703975,40
35004255,20
1695371,40
1028430,40
65304455,40
45192642,40
21867003,40
54500711,40
14508486,20
55704514,40
3534839,40
17024455,40
17014840,40
12340065,40
44169566,20
4838700,40
2268116,20
20806744,40
6017703,40
16249640,40
314269,20
8510989,20
2239701,20
22546588,40
1090917,20
33479941,40
16507223,40
55104187,40
94789681,40
25996738,40
23465794,40
39924297,40
2231921,20
1015613,20
12445215,40
88189767,20
3854060,40
1364588,40
12911250,40
1014064,20
36085049,20
14329131,40
26050625,20
22213317,40
1070088,20
13106147,40
80401066,40
23759020,40
3003060,20
20039719,40
773484,40
52300417,40
3277798,40
1425846,20
53702190,40
44706504,40
65303669,20
610100,20
52300524,40
53302541,40
65302618,40
42256836,40
792420,40
13402919,20
42900721,40
88101088,20
21059632,40
3805859,20
3649237,40
3442667,20
29602220,40
15702448,40
80465595,40
54707213,40
16291190,40
2218275,20
14806746,40
1007009,20
34455493,40
44758634,40
7405014,40
80403506,40
353434,20
3430146,20
41891520,20
436194,20
2630710,40
641197,20
53304908,40
4321936,40
14239949,40
2663074,40
686999,20
34603140,40
13410547,10
1112023,20
14013460,40
23432071,40
8707081,40
12343919,40
24589837,20
23778920,40
54753864,20
15018059,40
739260,20
10277412,40
51644274,40
5834694,40
5180554,20
81422709,40
20039255,40
65200510,20
2294249,20
14590328,20
1136968,20
13643037,40
34651330,40
24638951,40
20678193,20
5831270,40
45149437,20
15600106,20
8132356,40
1682954,40
22240667,20
4693825,20
54900017,40
55705820,40
11643510,40
34340071,40
9001476,20
472212,40
14515008,20
24507733,20
5232422,20
12987700,20
320803,20
2842670,20
6300871,20
891487,40
20669569,20
79313019,40
1975463,40
26078295,20
3427498,20
1004484,20
428310,20
22021760,40
12926299,20
3276015,40
23725001,40
9333258,40
34206418,20
15208818,40
91126240,40
44561067,20
88101860,40
17005582,20
33411468,40
14375591,40
28587561,20
514683,40
54164265,40
1900803,10
54709954,40
14010593,40
12402494,20
54257298,40
88167135,40
54100563,40
55655734,40
1292773,20
2511150,40
29960886,40
23436875,40
6554199,40
34651365,40
1019627,20
24587958,40
42900500,20
3923975,40
14913020,20
2904004,20
2164450,20
34117234,20
264253,40
52202290,40
1025031,20
4679920,20
42245966,40
5116775,20
26323494,40
53103598,40
8600279,20
7124600,40
20023731,40
433780,20
1088858,40
2820366,20
34347065,40
33346763,40
12901580,20
14203820,20
932949,20
52307555,20
20686480,20
21081549,20
42903397,40
29669146,40
21045070,20
94773599,20
22798374,20
53303991,40
13221159,40
16203615,40
91144248,40
20031882,40
21029199,20
1446886,20
25136895,40
12902730,20
331880,20
12926884,20
14001926,40
39938085,40
10065407,40
33432333,40
17017394,40
32019025,20
1573594,40
964204,20
34633626,20
13314858,40
46629629,40
34478647,40
53109725,40
4137582,20
1303112,10
65305301,40
32422676,20
13780255,40
637033,20
29649560,40
39911136,40
1031520,40
42905623,40
802220,20
1183680,20
54702461,20
48754315,40
30993130,40
6627315,40
601594,20
88152260,40
1635484,20
1719904,20
1193473,20
3965058,40
7100663,20
55600433,40
1720449,20
2822857,20
52702028,40
34440933,40
326925,20
5513545,20
53402356,40
24583871,20
53502727,40
53704759,40
54705259,40
14983303,40
8704244,20
245097,20
1208110,10
1655043,40
65209835,40
1134043,20
94713227,40
2267306,20
806064,20
3248380,40
4629620,20
4101057,10
54707227,40
88168590,40
23439114,40
94704732,40
1681311,20
14162180,20
311499,20
1692143,40
14445596,40
3110087,40
52306222,40
51676419,40
2297469,20
94721386,40
48704814,40
203700,20
12949787,20
25197258,40
40121410,40
21042918,40
2941961,40
55726534,40
93800380,40
28509862,40
3019276,40
1069675,20
841897,20
24529133,10
3286371,40
1732978,20
65303368,40
55105946,40
3504565,20
44701011,40
21500193,20
13302736,10
65202785,40
54800053,40
8508607,40
1552821,40
22257896,20
16255526,20
9225727,40
39976564,40
26026414,20
16274458,20
16305698,40
4600398,10
44772068,20
831255,40
32096704,20
9700072,20
32077041,40
24670987,40
44106050,40
2934159,20
12961914,40
2263270,20
34624260,40
94709661,20
1566270,20
91154618,40
14911213,20
33498288,40
54701656,40
24668443,20
53102528,40
9210185,40
44704339,40
34167951,40
2203170,20
647535,20
1904035,20
52104246,40
39926818,40
52300361,40
44773064,40
24678317,20
24124079,20
707627,20
1569481,20
2262541,20
165425,20
953750,20
22730486,40
2953730,40
347124,20
8415900,40
42106761,20
30900255,20
1479482,40
391662,20
24630837,20
32022891,40
42908350,40
14917866,20
1592858,40
1607847,20
498580,40
3408604,20
22506330,20
12901571,20
9404830,40
28518586,20
22235280,20
65102400,40
2836209,20
4496213,40
65208939,40
54705010,20
14513730,20
2815040,20
1443615,20
29681618,40
1270025,20
35831553,40
53303299,40
33302766,40
6602410,20
53701193,40
45047839,20
1472283,40
1644653,40
54704078,40
53503692,40
17034809,40
14635488,40
9200380,20
23471794,40
5218047,20
294268,40
54724520,40
34696083,40
48795054,40
3263169,40
17002184,40
11514272,20
1534114,40
303674,20
13108824,40
12806986,20
16246950,20
14366398,40
54003680,40
54583837,20
20040989,40
384941,20
55604714,40
453404,20
2504006,40
1116762,20
5114861,20
12415855,40
917400,20
22245049,20
33100454,40
3259013,40
33395420,40
694746,20
81408641,40
1296752,40
65300514,40
12943290,20
35083783,20
4479890,40
4121481,20
34642668,40
53101712,40
1716034,20
53301699,40
24286923,40
20068824,40
41873939,40
44784520,40
51684950,40
12945269,20
46658980,20
41872002,40
711276,20
854921,20
34662049,40
12838373,40
4627423,20
12406112,20
10686312,40
6614787,40
53100828,40
392073,20
2962306,40
4404416,20
29944732,40
34629165,40
618837,20
22715126,40
2200198,10
2846160,40
94785732,40
81412487,40
1596543,40
1086456,40
7307047,40
33384061,40
80457720,40
940690,20
42146550,20
25728890,20
45110093,20
5039681,20
42902172,40
317039,20
55889352,40
12915521,20
22201823,20
957194,20
14650207,20
54704076,40
20604998,20
80460160,40
52100722,40
1305441,20
627089,10
121550,40
1210386,20
39621569,20
12429708,40
323675,20
399590,20
14984326,40
14124785,20
1134167,10
1500066,10
14910586,40
1249088,20
88161978,20
2316501,20
1763458,40
23435364,40
8730474,40
1270514,20
5205670,20
42194032,40
1084267,40
13411543,40
1477609,20
30948304,20
28530527,40
32089031,20
20019599,40
5183669,40
1501011,20
1668005,20
20041659,40
33423180,40
2892613,20
6416519,40
33417075,40
53604658,40
20615442,20
42904006,40
6009328,40
20607768,40
26377683,20
94731306,40
7949740,40
54790077,20
46694420,20
14114330,10
34312019,20
34664270,40
94792070,20
65300971,20
1619039,40
1167669,20
24654337,20
81421435,40
7971524,40
20633270,20
16303164,40
823708,20
29927412,40
1016385,20
25878174,40
4135997,10
54585317,40
7306946,20
11633018,20
23749016,40
23402610,20
54727138,20
80836844,40
52208663,40
1018000,20
55106607,20
65206521,20
1169076,40
54284465,40
8538735,40
711578,20
826715,20
39931463,40
53402722,40
94765383,40
21524416,40
8617120,20
55656510,40
88168476,40
6563783,40
1752634,20
39955397,40
29966906,40
55816762,40
36763403,40
80471897,40
4300653,20
52305609,40
416746,40
9220712,40
16601505,20
14928558,20
3903303,20
1404490,20
1714309,20
846074,20
33412561,20
14391848,40
36610222,40
44768370,40
12415600,40
2872021,20
200697,20
4627636,20
1479849,20
13325809,40
11511729,40
1025449,20
53501996,40
13715658,10
53503266,40
14209918,20
21068518,40
41890477,40
4668839,20
1701860,20
24247170,40
1181009,20
13839900,40
53101566,40
7927525,40
28591100,40
32071256,20
80445861,40
22242180,20
7131470,40
1402455,20
53803578,40
52305187,40
12420468,40
1733230,20
23422181,40
4427173,20
51619814,40
22201572,20
28520599,20
9213877,40
315095,20
34582460,20
14601699,20
42755131,40
12908266,20
94796653,40
14322722,20
54589975,40
20803095,40
673145,20
44572328,40
360112,20
39910768,40
12999040,20
405965,20
4919700,40
1094092,40
1802054,40
268445,40
22295356,20
6320740,20
688410,20
1212648,20
1765159,40
683906,20
3204200,20
55876684,40
54700497,40
81451245,40
81439946,40
33344043,20
22566406,20
53100596,40
22277544,20
34632646,20
630250,20
26058995,20
23787473,40
65301701,40
2811893,20
34382046,40
40105075,40
3418880,40
2221292,20
3884007,40
88163865,40
3810976,40
9212005,40
91102120,40
622281,20
45154880,20
22289836,20
21804990,40
202932,20
1457012,20
2647630,40
2913070,20
34619500,40
28517164,40
10610804,20
13478273,40
94784191,40
261564,40
20046057,40
22270736,20
35836130,40
65108745,40
2227533,20
155519,20
1012282,20
2810026,20
34341226,40
91175194,40
13530313,40
3339017,40
4425669,20
3466329,40
322660,20
1086731,40
54580250,40
42173400,20
53706826,40
42728223,40
8615306,20
54727561,40
28545770,40
34668284,40
2217260,20
32045204,40
14439980,40
5790085,40
710210,20
80812414,40
24511480,20
17017122,40
1510746,20
25780549,40
54564816,40
1702017,20
42153964,40
14514494,20
25119508,20
54102863,20
24592609,20
32002980,20
32081189,20
9243458,40
22220011,20
971189,20
52208071,40
53300534,40
53109770,40
2636441,40
21024340,40
26363046,40
51679493,40
2833633,20
372331,20
8654689,40
10700129,20
22229418,20
1182170,20
44705429,40
4172884,20
53303291,40
13462768,40
32045476,20
14589486,20
12983047,20
1195310,20
12418536,20
25996835,20
48710644,40
1405209,20
2804786,20
2809451,20
4000927,20
52207549,40
17007550,20
10247505,20
46683763,20
52305167,40
94786984,20
25918591,20
34681671,40
12970280,20
3013952,20
55840060,40
408930,20
628344,20
2218348,20
8800227,40
353183,40
11204877,40
1584774,40
8412723,40
65107898,40
25720791,40
1473530,20
10014411,20
2516721,40
1013785,40
21099847,40
4270517,20
2079828,40
1464639,20
28561023,40
34155853,40
1044184,20
25902512,20
52308812,40
2892680,20
9991166,40
30940532,40
14013169,40
1027247,20
2271117,20
1342932,20
44146795,40
8672741,40
24675555,20
7123868,40
1479954,40
1940309,40
12954748,20
42800302,40
54284244,40
39966623,40
79305237,40
11019344,40
24505102,20
7839723,40
3539962,40
1773445,20
12813109,20
14912198,20
36763250,40
25688022,40
1131419,20
22509542,20
12948780,20
53108460,40
8644837,40
991554,20
4210425,20
42907524,40
42901377,20
22228330,20
41888758,40
4208110,40
1652109,40
29928311,40
20050801,40
53303268,40
1050036,20
42106028,40
16228898,40
32069154,20
2211734,20
33480869,40
942545,20
281050,40
44546564,40
1077783,40
13741810,40
14389460,40
24646903,20
22797750,40
21007500,40
2870040,40
3480020,40
34638059,20
39907279,40
52304171,40
200107,20
5228964,40
25133632,40
4651588,20
2866196,40
10299998,40
3721906,40
24676403,20
287938,40
1055208,40
11000775,20
34211616,20
1366475,40
91157420,40
1682644,20
632260,20
2814676,40
34625259,40
24565709,40
25191055,20
65101528,40
761095,20
35828790,40
8667608,40
17028965,40
14511053,20
65202321,40
28578465,40
4647785,20
42104246,40
783889,20
22260978,40
65200295,40
73617920,40
15016099,40
65304850,40
1259300,40
926191,20
24693871,20
34351701,40
7613792,40
2266709,20
945323,20
48795518,40
25181521,40
29994152,40
4655737,10
34605258,40
1413635,20
26395002,40
321613,20
4606540,20
14444352,40
25162950,40
53102752,40
1710460,20
45004285,20
520756,40
1073095,40
657590,20
22238514,20
358533,20
14381338,40
29654904,40
42197740,40
13317890,40
16210484,40
13470329,40
54400219,40
34648950,40
25662201,20
4253604,20
42206910,40
65206206,20
1742230,40
36712647,40
13460714,40
14978202,40
17015553,40
8649375,40
23466014,40
14940272,20
14342049,40
4634713,20
3531945,40
2206960,20
3324672,40
14656108,40
53605240,40
39912442,20
34257870,20
16219880,20
22280790,20
4638689,20
1324675,20
5502438,20
