name,former_fed
"Steger, Lukas Daniel",BOL
"Maltsevskaya, Aleksandra",RUS
"Jose de Ribbegren, Kenia",DOM
"Liu, Tingxuan",USA
"Dolgova, Olga",LAT
"Banerjee, Supratit",SCO
"Rzewucki, Jan",BLR
"Shatil, Shir",ISR
"Pezelj, Sinisa",SRB
"Kruijssen, Hilde",NED
"Zapata Campos, Lidia Karen",PER
"Koval, Michal",SVK
"Popko, Anton",UKR
"Schol, Yvonne",FRA
"Salvermoser, Bernd",GER
"Costello, John",ENG
"Smagina, Viktoria",FID
"Vazquez Igarza, Renier",ESP
"Nicholas, Arvin",TTO
"Cabrera, Fabian",ESP
"Klimchik, Alexandr",FID
"Lascar, Radoslawa",POL
"Kalinina, Larisa",UKR
"Kluchik, Julia",FID
"Khechumyan, Gagik",ARM
"Silich, Yahor",FID
"Bellon Lopez, Juan Manuel",ESP
"Benedek, Istvan",ROU
"Kondratev, Denis Al.",RUS
"Kozhamberdiev, Maratbek",KGZ
"Rubina, Tatiana, Dr.",MDA
"Pein, Milan",HUN
"Fernandez, Daniel Howard",SIN
"Melikhov, Evgeny V.",RUS
"Skvortsova, Alena",RUS
"Alexeev, Alexey",UKR
Aarush Agrawal,IND
Praveen Joy,IND
"Fougerat, Emma",FRA
"Gnedin, Gleb",CYP
"Ruiz Servent, Marti",ESP
"Liu, Muzhou",CHN
"Timusev, Ilyas",RUS
"Assaubayeva, Bibisara",RUS
"Kanyamarala, Tarun",IND
"Hryzlova, Sofiia",UKR
"Linker, Mikhail",UKR
"Pereira, Sergio",POR
"Kostak, Tetyana",UKR
"Gavrilin, Roman",FID
"Dartmann Aubanell, Catriona",ESP
"Slavskyi, Maksym",UKR
"Harshavardhini, M.S.",IND
"Deepak, Laksshana",IND
"Kurtovic, Nedzad",CRO
"Ramesh, Nehanraj",IND
"Mihajlov, Sebastian",NOR
"Pichot, Alan",ARG
"Lopez Gomez, Jose Pablo",MEX
"Tkadlecek, Petr",
"Morgan, Jamie",ENG
"Marceta, Predrag",BIH
"Sanchez Alvarez, Roberto Carlos",FID
"Abdullayev, Azer",AZE
"Bonnet, Gabriel Misa Jean",HKG
"Lakshminarayanan, G.",IND
"Zvolanek, Jan",IRL
"Ivanov, Vasil A",BUL
"Aagaard, Jacob",DEN
"Stroppa, Daniel",ITA
"Georgiev, Kiril",MKD
"Meshkova, Aleksandra",FIN
"Guerra Mendez, Jose Angel",CUB
"Hermoso Rodriguez, Ysvett",VEN
"Rapport, Jovana",SRB
"Mats, Diana",UKR
"Kobak, Polina",RUS
"Lapidus, Alexey M.",RUS
"Caruana, Fabiano",ITA
"Jodar Arias, Marlon",CUB
"Vavulin, Maxim",FID
"Lucas, Edison",SWE
"Kalinichenko, Yury",UKR
"Koutny, Petr",CZE
"Martinez Alcantara, Jose Eduardo",PER
"Bade, Jurjen",AHO
"Jhunjhnuwala, Krishan",HKG
"Krenz, Sarah",GER
Ashwath Kaushik,IND
"Perez Cedres, Aitor",ENG
"Boulos, Paul",LBN
"Khamatgaleev, Alexej",RUS
Mohammad Mahbub Parouare,BAN
"Diachek, Andrii",UKR
"Turel, Tugrul",TUR
"Giampa, Alejandro",ARG
"Panus, Victor",MDA
"Ciuravin, Andrei",UKR
"Tracey, Shaun M",ENG
"Pinas, Ihor",UKR
"Atoyan, Alberto",ARM
"Lohia, Sohum",SGP
"Hujbert, Florian",HUN
"Maceira Moya, Nery",FID
"Moccero, Eduardo",ARG
"Gurevich, Mikhail",TUR
"Wang, Alan",CAN
"Vainbaum , Moisei",RUS
"Yamakawa, Kazumasa",USA
"Lintner, Igor",SVK
"Babu, Rahul",IND
"Methmali, Y.",SRI
Madol Garang Panthou Joh,UGA
"Pogosyan, Stefan",RUS
"Panzar, Emilia-Andreea",ROU
"Yigit, Ece",TUR
"Mitjushin, Mihail",RUS
"Butenko, Zlata",USA
"Dimitriou, Marios",GRE
"Wallace, John Paul",AUS
"Raschetin, Nikita",ISR
"Garifulin, Yury",RUS
"Berthaut, Alexandre",FRA
"Hake, Nils",GER
"Mitusov, Semen",UKR
"Pak, Alexander",FID
"Kolba, Anastasiya",UKR
"Kutlar, Aras",TUR
"Lyandzberg, Anatoly",RUS
"Mistrekov, Ratibor",UKR
"Luca, Iana",MDA
"Bravin, Alexey",RUS
"Sivuk, Vitaly",UKR
"Tkachenko, Andrii",UKR
"Dhingra, Kanvansh",IND
"Sergeeva, Eva",BLR
"Pourkashiyan, Atousa",IRI
"Krivenko, Sergei",FID
"Sokolovsky, Jakub",SVK
"Pirvulescu, Ekaterina",BLR
"McDonald, Mike",CAN
Enemchukwu Chinedu Benjamin,NGR
"Piesik, Piotr",POL
"Tsiapko, Andrii",UKR
"Mammadov, Nihad",AZE
"Antipov, Mikhail Al.",FID
"Chow, Mon Ben",MAS
"Cahen, Alexis",FRA
"Klimovskiy, Alexander",ESP
"Corrales Jimenez, Zenia",CUB
"Predke, Alexandr",RUS
"Ha, Timothy Huy Minh",VIE
Arjun Anand,IND
"Greeuw, Sietske",NED
"Yonal, Timur",RUS
"Ramos Espinoza, Efren Andres",NCA
"Mrsevic, Miroslav",MNE
"Dvorzhitsky, Alexander N.",RUS
"Arman, Deniz",TUR
"Pogorelskikh, Sofia",RUS
"Merei, David",HUN
"Obregon Rivero, Juan Carlos",CUB
"Wilford, Harry",IND
"Blackwood, Ryan",JAM
"Rosset, Anna",SUI
"Nazarov, Aleksandr",FID
"Keleberda, Tymur",UKR
"Medvedev, Fedor M",RUS
"Vujic, Branimir",BIH
"Povshednyi, Ivan",ESP
"Alekseev, Evgeny",RUS
"Dostan, Arpad",HUN
"Qian, Linda (Zhiling)",CHN
"Pogorelskikh, Sergey",RUS
Sarvesh Saravanan,IND
"Aniskevich, Dzmitry",BLR
"Cori Quispe, Kevin Joel",PER
"Sargsyan, Anna M.",ARM
"Bezpalko, Sofiia",UKR
"Jafarov, Oktay",UKR
"Oancea, Nicolae",ROU
"Jovanovic, Zeljko",SRB
"Terekhov, Andrey",RUS
"Agarwal, Amaya",IND
"Acevedo Mendez, Lisseth",CRC
"Warzycha, Gerwin",GER
"Tulchynskyi, Feliks",UKR
"Bienko, Jagoda",POL
"Migalko, Dmitriy",UKR
"Tashkinova, Sofiia",UKR
"Lopez Naranjo, Ubaldo Enrique",CUB
"Perez, Gilbert",PHI
"Kovacevic, Nikola",FRA
"Karas, Marek",SVK
"Farahat, Ali",EGY
"Sakharchuk, Aliaksandr",BLR
"Ni, Viktorija",USA
"Karimov, Rustam",FID
"Rajlich, Vasik",USA
"Oparin, Grigoriy",RUS
"Tenkov, Arkadii",UKR
"Fedorov, Evgenii",RUS
"Raynes, Paul",HKG
"Kurakin, Martin",EST
"Matsumura, Cocoro",FRA
"Leong, Ignatius",SGP
"Andric, Jelena",SRB
"Munoz Orozco, Sashir Nicolas",VEN
"Miljkovic, Jovana",SRB
"Alho, Diogo",POR
"Shilov, Sergej",UKR
"Ogloblin, Ilia",RUS
"Sorensen, Hampus",ZAM
"Cont, Arya",FRA
"De Vas, Saminda",SRI
"Rapport, Richard",HUN
"Novik, Maxim",RUS
"Kascak, Milos",GER
Sabreen Oraby,EGY
"Weber, Luke",GER
"Gaivoronskii, Andrei",RUS
"Miranda Rodriguez, Tania",CUB
"Li, Ruofan",SGP
"Gelman, Alexander",FID
"Zhang, Samuel",USA
"Dukic, Teona",SRB
"Zhukov, Dmitry",RUS
"Yang, Bojun (Bryan)",CHN
"Bazzazi, Elnaz",IRI
"Buzbuchi, Ionut",GER
"Milekic, Daniel",SRB
"Muetsch, Annmarie",GER
"Al Ayash, Rawad",LBN
"Kusluvan, Yekaterina",KAZ
"Lupik, Marina",FID
"Shroff, Dhairya Amit",IND
"Repei, Yehor",UKR
"Chigaev, Maksim",RUS
"Moradiabadi, Elshan",FID
"Thadani, Aman Deepak",IND
"Thomas, Philip",SCO
"Calonge Fabregat, Marc",ESP
"Eggert, Alberto",RUS
"Ambartsumian, Tyhran",UKR
"Yin, Grace (Tingwen)",CHN
"Terekhov, Roman",UKR
"Tiuca, Emma",LUX
"Ryjanova, Julia",RUS
"Kanyamarala, Trisha",IND
"Savina, Anastasia",RUS
"Tanaka, Taira Tyler",JPN
"Soltanov, Teymur",RUS
"Gadzhiev, Farid",RUS
"Li, Yunshan",CHN
"Poorna Prakash, Roshini",IND
"Nakonechnyi, Oleksii",UKR
"Mansurov, Sergey",RUS
"Roncea, Andreea-Alexandra",GER
"Cervantes Landeiro, Thalia",CUB
"Malinin, Sergey",RUS
"Saliuk, Maryia",BLR
"Chen, Ryo",JPN
"Atalik, Suat",TUR
"Claros Fuentes, David",CHI
"Polistico, Eliodoro B",PHI
"Manko, Mariia",UKR
"Miah, Zahed",ENG
"Falendysh, Oleksandr",UKR
"Jolani, Parnian",IRI
"Gasparov, Sergo G.",RUS
"Dakshina Murthy, Megha Varshini",IND
"Iglesias, Jorge",ARG
"Volkov, Roman",RUS
"Ilinca, Felix-Antonio",ESP
"Hackner, Oskar Anton",ENG
"Phillips, William",ENG
"Gomez Anadon, Daniel",ESP
"Garcia Delgado, Rafael Eduardo",VEN
"Divakaran, Sinddhizhai",RSA
"Bukhteeva, Viktoria",RUS
"Kapoor, Tanush",IND
"Badya, Vasily",RUS
"Demir, Bilal",GER
"Popova, Polina",FID
"Wijnhard, Ky-Mani",RSA
"Zvereva, Marija",RUS
"Strade, Arita",LAT
"Hernandez Morales, Adriel",BEL
"Moraru, Sorin",ROU
"Artsemenka, Mikalai",FID
"Castellanos Vazquez, Jorge",FID
"Shpanko, Nadiia",UKR
"Siva Sankaran, Anup Kumar",IND
"Korniichuk, Oleksandra",UKR
"Elguezabal Varela, Daniel",ARG
"Meylan, Andre",SUI
"Bodin-Hullin, Thomas",FRA
"Ciobanu, Camelia-Adriana",ROU
"Petrov, Nikita",RUS
"Eskov, Stepan",RUS
"Shynkar, Daria",UKR
Mendes Aaron Reeve,IND
"Quintero Ortega, Carlos",NCA
"Khanbutaev, Artemii",RUS
"Fernandez Reyes, Lisandro",ECU
Monali Roy,IND
"Kim, Andrey",KAZ
"Bayer, Biazi",BRA
"Chu, Wa Ching David",HKG
"Davies, Nigel R",ENG
"Vinogradov, Ilia",FID
"Wiratunga, Jenith",ENG
"Rubin, Ilan Murray",RUS
"Ruiz Servent, Arnau",ESP
"Belenkaya, Dina",RUS
"Nebolsina, Vera",RUS
"Sklyarova, Alena",FID
"Delgadillo Torrico, Felipe",ESP
"Quiros Florea, Rafael-Santiago",ROU
"Uljaseva, Arina",CYP
"Soo, Kai Jie",SGP
"Arellano, Robert",PHI
"Biliak, Viktoria",UKR
"Fernandez Ciria, Abel Ayden",CUB
"Profant, Tibor",SVK
"Spreemann, Tarek",GER
"Ustianovich, Nazar",UKR
"Dokuchaev, Konstantin",RUS
"Tregubov, Pavel V.",RUS
"Khamatgaleev, Michael",RUS
"Falkensteiner, Benjamin",ITA
"Cernei, Bogdan",MDA
"Bokhnak, Tymofii",UKR
"Donets, Alina",UKR
"Kuzhelev, Timur",RUS
Archishman Das,IND
"Osipik, Denis",RUS
"Simonyan, Arturo",RUS
"Smith, Irvin",BAR
"Lezhepekova, Veronika",RUS
"Tinnie, Aiden",TTO
"Dolzhykova, Kateryna",UKR
"Okuno, Rion",JPN
"Li, Anna",RUS
"Alexanian, Nelli",RUS
"Obelchak, Ruslan",UKR
"Mehmetoglu, Ilgar",RUS
"Seth, Aakrit",GER
"Bu, Bing Yuan Elthan",MAS
"Malinovskii, Ilia",RUS
"Alekseenko, Kirill",RUS
"Mehmed, Elif",BUL
"Valluru, Neel Madhav",IND
"Melling, Jonathon",ITA
"Saltic, Marin",MNE
"Rozic, Slaven",BIH
"Aleksandrova, Aleksandra",RUS
"Whyte, Brian G",ENG
"Naraharasetty, Saisiddharth",IND
"Thomas, Isambard",ENG
"Martynkova, Olena",UKR
"Khaledi, Omid",IRI
"Solomontchik, Daniel",RUS
"Cave, Iwan",ENG
"Putar, Slavko",CRO
Preeyansh Roul,IND
"Gundersen, Ingvar",SWE
"Hakobyan, Eduard",ARM
"Kargosha, Bahman",IRI
"Kosteniuk, Alexandra",RUS
"Maquoi, Sophie",FRA
"Sharhorodsky, Yaroslav",UKR
"Liu, Yining",CHN
"Zogg, Alexander",LIE
"Rodriguez, Nathalie",FRA
"Ortega Amarelle, Mariano",CUB
"Saparbiev, Djambulat",RUS
"Maksak, Liubava",SUI
"Henderson de La Fuente, Andrea",ESP
"Cepoi, Gesneria-Codruta",ROU
"Kucherenko, Olena",UKR
"Mellado Trivino, Juan",AND
"Klasinc, Kristjan",GER
"Malinovsky, Volodymyr",UKR
"Lesbekova, Assel",KAZ
"Medvedev, Anton Il",RUS
"Mruskovic, Radoslav",SVK
"Putar, Lara",CRO
"Martemyanov, Mikhail",RUS
"Gschwendtner, Stanislav",CZE
"Buccat, Benchly Cabanayan",USA
"Medina Cruzata, Jose Miguel",FID
"Parvanyan, Alfred",ARM
"Toktomushev, Teimur",UKR
"Cheparinov, Ivan",GEO
"Schain, Randolph",USA
"Skvortsov, Andrei",FID
"Tran, Thanh Tu",VIE
"Kamarova, Zhanbota",RUS
"Brankov, Krasimir",BUL
"Broeder, Hans-Gert",ESP
"Serankou, Barys",BLR
"Gishi, Takeshi",USA
"Nomin-Erdene, Davaademberel",MGL
"Nissinen, Niilo Man",USA
"Le, Quang Long",VIE
"Daneshvar, Bardiya",GEO
"Burbach, Anya Belle",THA
"Motylev, Alexander",RUS
"Fox, Igor",RUS
"Paranichev, Miron",RUS
"Oquendo, Eder",COL
"Palka, Dominika",POL
"Frey, Thierry",SUI
"Camacho Collados, Jose",KOR
"Putar, Leon",CRO
"Schulman, Leonid",RUS
"Burbach, Bruno",GER
"Basinas, Konstantinos",GRE
"Arkhipov, Vladimir",UKR
"Eefting, Martijn",ENG
"Mamalis, Prokopios",SUI
"Wu, Haoyang",HKG
"Parikh, Pranjal Ameetkumar",KEN
"Dennis, Nathan",RSA
"Bakalar, Slavko",BIH
"Pirtac, Alexandru",MDA
"Argha, Hicham",SYR
"Alape Gonzalez, Juan David",COL
"Dishman, Matthew",ENG
"Shystarova, Anna",UKR
"Istratescu, Andrei",FRA
"Lebzak, Jaroslaw",RUS
"Ivanov, Elizabeth",ENG
"Sofrygin, Alexey",RUS
"Hushpit, Lukian",UKR
"Garcia Pantoja, Roberto",CUB
"De Martin, Lilian",ENG
"Bujupi, Fatmir",CZE
"Potapova, Margarita",UKR
"Malakar, Saarthak",USA
"Vadaturska, Kateryna",UKR
"Prudnikov, Andrey",UKR
"Gajula, Hemanth",IND
"Schirmbeck, Stepanka",CZE
"Tkhoruk, Roman",UKR
"Timagin, Petr",RUS
"Dugarov, Alexei",RUS
"Gal, Eugen",ROU
"Rolston, Daniel Haruma",IRL
"Gomez Arnau, Reinerio",CUB
"Prabu, Dananjey",IND
"Wagner, Leopold Franziskus",GER
"Medina Riesgo, Pedro",FID
"Korley, Kassa",USA
"Murphy, Jones",USA
"Lukin, Vladimir",RUS
"Kordzadze, Nino",GEO
"Gusev, Mikhail",RUS
"Kamsky, Gata",USA
"Issa, Motanabi",SYR
"Udovenko, Daniel",USA
"Semenova, Vasylyna",RUS
"Ar, Kaan",TUR
"Armstrong, Curstan Jordan",NAM
"Hladeniuk, Yelyzaveta",UKR
"Aksianevich, Amadeus",FID
"Lion, Feuille",BEL
"Dvoeglazova, Daria",RUS
"Vincent, Alaina",IND
"Liu, Tingshun",USA
"Filimonov, Arsenii",UKR
"Song, Sichen",HKG
"Aliavdin, Nikolai",BLR
"Perez Celis, Alba",ESP
"Joie, Sebastien",FRA
"Kosten, Anthony C.",FRA
"Sipos, Silvester",ENG
"Fuchs, Lukas",SVK
"Atkins, Rita",ENG
"Zhang, Jilin",CHN
"Palamar, Alina",UKR
"Enrique Hernandez, Eddy Ernesto",CUB
"Tawfiq, Kareem",IRQ
"Alhasan, Husam",PLE
"Ghazarian, Kirk",USA
"Yanston, Kseniia",RUS
"Qi, Zhe",CHN
"Jain, Shaurya",IND
"Alashtar, Aasef",SYR
"Fellman, Mike",USA
"Arlovskaya, Ekaterina",RUS
"Hossain, Sayed Muddashir",BAN
"Berezovskii, Arina",RUS
"Milchenko, Ilarion",UKR
"Jones, Stephen",USA
"Sinitsina, Anastassia",EST
"Gonzalez Garcia, Marc",ESP
"Shakhaylo, Vyacheslav",UKR
"Dzhalalian, Nelli",RUS
"Ogay, Anastassiya",KAZ
"Jelecevic, Ivo",CRO
"Basinas, Athanasios",GRE
"Moritani, Sho",USA
"Nazarenus, Olaf",GER
"Belaya, Nastasya",RUS
"Moratumullege, Dulmina Ravihansa",SRI
"Boatca, Luca",ROU
"Luzgina, Anastasiia",RUS
"Pandurevic, Miro",CRO
"Rosol, Philip",AUT
"Fantaz, Maksim",UKR
"Derjabin, Ilja",UKR
"Kalosha, Zhiulien Oleksii",UKR
"Paulins, Michael",RUS
"Bohatyrova, Mariia",UKR
"Dembla, Shabd",IND
"Odysseos, Ioannis",GRE
"Allam, Dariusz",DEN
"Badelka, Olga",FID
"Akai, Kiyotaka",USA
"Francia Roa, Victor Ricardo",ARG
"Marrujo Pardo, Mauricio Emmanuel",VEN
"Azadkhah, Ali",IRI
"Kapoor, Satvik",IND
"Takahashi, Saera",ITA
"Bryakin, Mikhail",RUS
"Toure, Yves",TOG
"Popvasilev, Kaloyan",FID
"Lindo, Terence",JAM
"Perez Ramirez, Kenia",CUB
"Demchenko, Timofei",RUS
Saravanan Durga,IND
"Hurkovszkij, Vladyslav",UKR
"Bykhovsky, Avigdor",RUS
"Iljin, Artem",RUS
"Razin, Vadim",UKR
"Nezhyvenko, Mykhailo",UKR
"Golubeva, Oksana",RUS
"Vasiljevic, Konstantin",SRB
"Kuprijanov, Anatoly",RUS
"Sharon, Rafael",IND
"Yadao, Israel",PHI
"Kaufman, Raymond",USA
"Glek, Igor",GER
"Goric, Esad",BIH
Hassaballh Ahmed Hassaballh,SUD
"Ivanov, Andrey",BUL
"Rudowski, Szymon",USA
"Hasanov, Zaur",RUS
"Moseley, Alan",USA
"Sharshov, Wadim",RUS
"Grabuzova, Tatiana",RUS
Bilguun Bayaraa,USA
"Prudnykova, Olga",UKR
"Vasilevich, Tatjana",UKR
"Carrillo Parra, Miguel Alfredo",VEN
"Alonso Bouza, Julio Javier",CUB
"Shvedova, Alexandra",FID
"Milko, Kyrylo",UKR
"Lorenz, Dirk-Stephan",GER
"Frankental, David",BRA
"Varley, Nicolas",NOR
"Cross, Kyle",ENG
"Gatin, Artur",RUS
"Liubarov, Mark",RUS
"Pehar, Borna",BIH
"Garcia Garban, Jorge Marcos",VEN
"Malyshev, Roman",RUS
"Sobolev, Maksim S.",RUS
"Jaehn, Michael, Dr.",GER
Sai Krishna G V,IND
"Vujovic, Dimitrije",BIH
"Derakhshani, Dorsa",FID
"Roig Roig, Marc",ESP
"Passuello, Olivia Ginevra",PAN
"Peramunetilleke, Seth",HKG
"Georgiadis, Ioannis",GRE
"Yonal, Veronica",RUS
"Sieber, Gunnar",GER
"Mikhno, Artem",UKR
"Kostov, Deyan Samuil",USA
"Terler, Bohdan",UKR
"Sand, Filip",CZE
"Tenezaca, Cristian",USA
"Albregtse, Tjerk",NED
"Messam-Sparks, Lateefah",ENG
"Arzumanian, Georgii",ARM
"Zenelaj, Samuel",ALB
"Manouvel, Maelys",ENG
"Csuri, Szilveszter",SRB
"Zhou, Jianchao",CHN
"Song, Yuchen(SH)",CHN
"Mompel Ferruz, Xavier",ESP
"Dahl, Baard",ENG
"Van den Brink, Peter",NED
"Suyog, Vinod Bhirud",IND
"Vitiugov, Nikita",RUS
"Kashlinskaya, Alina",RUS
"Singha, Swati",IND
"Liang, Ting",USA
"Oliinyk, Serafym",UKR
"Matos Silva, Pedro",POR
"Kimpel, Janine",GER
"Kazakouski, Valery",BLR
"Molyboha, Volodymyr",RUS
"Dunnington, Angus J",ENG
"Dmitruk, Volodymyr",UKR
"Stetskyi, Viktor",UKR
"Kunapuli, Siddarth Sriaditya",IND
"Galinsky, Misha",UKR
"Wagner, Alexej",RUS
"Ruzhenskij, Arseny",RUS
"Novak, Attila Robert",HUN
"Lestrohan, Pierre",RUS
"Nechitaylo, Nikita",UKR
"Shatil, Or",ISR
"Kuznecova, Polina",LAT
"Gorbenko, Rustem",UKR
"Rentsen, Erdenetulga",MGL
"Lindebaum, Andre J.",GER
"Slavin, Gennadie",RUS
"Barseghyan, Harutyun",ARM
"Mantilla Gras, Geydis De la C.",CUB
"Ahmadzadeh Razavi, Seyed Shaahin",IRI
"Schindler, Rudolf",GER
"Hakimifard, Ghazal",IRI
"Kierzek, Mira",MKD
"Krotava, Palina",BLR
"Belezky, Alexander",UKR
"Tokhirjonova, Gulrukhbegim",UZB
"Bahmani, Amir Mohammad",IRI
"Lenkov, Stanislav",FID
"Gnechko, Ruslan",UKR
"Lancaric, Tomas",SVK
"Hovhannisyan, Hrayr",ARM
"Kaewpitakkun, Pantham",THA
"Korobkov, Piotr",UKR
"Denning, Julie L",ENG
"Bertovic, Mile",BIH
"Sanz Wawer, Daniel",ESP
"Rodionov, Rodion",RUS
"Bulanova, Irina",RUS
"Selinga, Jan",SVK
"Sarker, Sahitto",LES
"Bondarenko, Dmitry",RUS
"Vlachos, Anatole",FRA
"Yaghi,leen",SYR
"Sung, Jaehyun",CAN
"Soberov, Emil",RUS
"Geidarli, Kanan",AZE
"Ta, Viet Phong",JPN
"Pratheep Kumar, Amudha",IND
"Cattiau,Yohann",MAD
"Kardos, Levente",HUN
"Harakis, Alexis M",ENG
"Truskavetsky, Alexandr",UKR
"Cheng, Aiden",USA
"Dokuchaev, Aleksandr",RUS
"Kotliar, Anfisa",RUS
"Tagg, Ann",ENG
"Ziaran, Milan",SVK
"Perets, Dmytro",UKR
"Bagrationi, Alexander",UKR
"Abreu Balza, Alan Jeremias",COL
"Kosik, Vince",HUN
"Bush, Enfield",JAM
"Berlanda, Giuseppe",ESP
"Kalinin, Dzmitry",FID
"Streltsov, Alexey",RUS
"Goldblat, Michael",RUS
"Jacques, Robert",FRA
"Moreno, Jorge",PER
"Figueredo Losada, Leonel",CUB
"Bilenkiy, Maksym",UKR
"Amelunge Moreno, Oscar Alejandro",PAN
"Chen, Qingxia",CHN
"Baidetskyi, Valentin",UKR
"Babashov, Miryusif",RUS
"Mina, Steven",EGY
"Pilgrim, Peter",NED
"Basova, Polina",UKR
"Yelisieiev, Yevhenii",UKR
"Gonzalez Soto, Pedro Jose",VEN
"Golubenko, Valeriy",EST
"Stellas, Dimitrios",GRE
"Abbasifar, Hasan",IRI
"Tuncer, Ufuk",TUR
"Andreeva, Elena",RUS
"Vainerchuk, Barys",BLR
"Belyaev, Ivan",FID
"Nguyen, Vu Ky Anh",VIE
"Demchenko, Svitlana",UKR
"Tedesco, Gennaro",ITA
"Vicze, Zsofia",HUN
"Donets, Valeriy",UKR
"Towers, Brian",ISR
"Dracka, Alexander",SVK
"Liu,Tianyi (Jack)",CHN
"Mazurtsova, Margarita",UKR
"Ortiz Sanchez, Luis",ESP
"Simion, Edward-Matei",ROU
"Khoroshev, Nikita",UZB
"Berek, Gejza",HUN
"Zhu, Zimo",BEL
"Feseniuk, Pavlo",UKR
"Safonova, Valeriia",RUS
"Kushka, Alena",RUS
"Agarwal, Anay",IND
"Soboleva, Lidiia",RUS
"Salomeia, Mihai",ROU
"Holzammer, Florestan",GER
"Jindal, Tarush",IND
"Konstantinidis, Konstantinos",GRE
"Mohammed Qanee, Arpak Worya",IRQ
"Schmahl, Stephan",GER
"Iskichekova, Nadezhda",KAZ
"Borischik, Sergey",FID
"Sargsyan, Karen",ARM
"Ramos Caldera, Cesar",VEN
"Monasterio Pena, Ian Gustavo",ESP
"Polakowski, Jan",GER
"Shinkarev, Mikhailo",RUS
"Kamali, Kiyana",IRI
"Vashchenko, Diana",UKR
"Gumusdagli, Bilal",TUR
"Prince, Alan R",SCO
"Filindash, Nikita",UKR
"Morozov, Artem",UKR
"Rodriguez Guevara, Celia M.",CUB
"Ilin, Artem",FRA
"Chan, Yi Ren Daniel",SGP
"Ryabukhina, Veronika",RUS
"Perazzo, Kamila",ITA
"Freitag, Julia",FID
"Simeonov, Stefan",BUL
Aaradhya Suyog Bagul,IND
"Safonov, Lev",UKR
"Ivanov, Mikhail M",RUS
"Kociscakova, Alexandra",SVK
"Cebolla Ruiz, David",ESP
"Zlobec, Srdjan",BIH
"Guerra Reig, Juan",ESP
"Pham, Bich Ngoc",VIE
"Allahverdi, Umid",AZE
"Bulva, Maksim",RUS
"Daivik, Dayanand",KOR
"Andreev, Robert",RUS
"Putz, Philippe",GER
"Onipko, Mark",UKR
"Maksimenko, Andrei Jr",UKR
"Palihawadana, Aken Pinitha",SRI
"Klekovkin, Aleksandr",FID
"Kitagami, Show",USA
"Suyash, Vinod Bhirud",IND
Aayansh Pramanik,IND
Rudransh Khurana,IND
"Petrashko, Vladyslav",UKR
"Dogaru, Lavinia-Karis",ITA
"Mukunda Iyengar, Akshaj Nuggehall",MEX
"Barchuk, Irina",UKR
"Teh, Rui Gen",MAS
"Schlamberger, Yordanka",BUL
"Chan, Kara",USA
"Taramov, Magomed",RUS
"Ozhaiska, Yaryna",UKR
"Simion, Emanuel-Marian",ROU
"Babiy, Olga",UKR
"Ng, Alexander PN",USA
"Turdyev, Anvar",RUS
"Timokhina, Ekaterina",RUS
"Krokowski-Bednarz, Leon",POL
"Krasenkowa, Elena",RUS
"Gora, Antonina",POL
