Index,StudentID,Score
163,82,48.86
164,14,49.53
165,23,72.45
166,83,47.52
167,60,52.31
168,79,40.64
169,38,65.39
170,84,44.62
171,51,58.89
172,13,46.23
173,17,46.07
174,85,44.22
175,54,53.07
176,86,55.81
177,87,66.16
178,78,51.96
179,88,50.8
180,56,74.26
181,89,48.27
182,66,39.72
183,26,48.79
184,71,44.6
185,74,58.13
186,47,75.28
187,90,48.22
188,23,45.55
189,91,62.39
190,29,61.53
191,69,45.67
192,60,38.31
193,69,61.33
194,13,39.65
195,3,32.76
196,3,42.47
197,23,55.7
198,37,40.34
199,30,49.37
200,92,59.21
201,79,67.94
202,39,56.44
203,93,39.99
204,77,32.94
205,45,52.76
206,25,46.77
207,36,54.55
208,19,51.85
209,60,34.98
210,79,41.21
211,49,55.7
212,61,55.33
213,90,36.27
214,44,32.22
215,94,62.87
216,95,62.94
217,32,52.97
218,28,40.59
219,92,46.66
220,48,37.9
221,68,59.04
222,2,48.01
223,10,74.78
224,96,46.89
225,34,40.65
226,58,53.74
227,13,54.89
228,97,60.04
229,25,48.88
230,19,57.45
231,96,57.13
232,33,48.78
233,46,41.79
234,58,51.98
235,78,46.86
236,98,44.48
237,35,54.41
238,41,39.64
239,87,49.9
240,89,52.46
241,99,43.5
242,100,64.84
243,101,56.27
244,20,53.3
245,91,47.72
246,102,43.4
247,37,52.14
248,94,49.82
249,44,64.41
250,89,61.34
251,103,51.45
252,49,50.23
253,54,54.04
254,81,35.74
255,87,55.02
256,45,66.18
257,84,40.79
258,99,58.4
259,31,48.07
260,104,48.32
261,18,52.17
262,95,72.85
263,68,45.74
264,74,45.91
265,100,39.88
266,47,44.74
267,74,55.42
268,105,47.57
269,57,44.92
270,36,37.37
271,56,55.63
272,50,45.24
273,26,61.05
274,80,63.39
275,68,38.84
276,88,75.1
277,104,63.27
278,97,54.9
279,106,33.0
280,64,57.9
281,20,35.78
282,25,74.69
283,64,36.81
284,27,52.02
285,4,48.88
286,65,68.3
287,89,46.39
288,47,51.6
289,65,47.59
290,15,46.64
291,91,42.39
292,95,46.85
293,107,27.36
294,31,44.74
295,52,53.15
296,76,38.79
297,67,61.95
298,38,46.46
299,81,48.9
300,53,38.89
301,78,58.14
302,108,40.44
303,33,42.07
304,108,70.56
305,29,58.32
306,93,45.38
307,25,59.98
308,29,37.39
309,21,44.59
310,77,56.4
311,26,55.57
312,83,48.35
313,37,52.42
314,109,39.73
315,5,52.67
316,110,51.45
317,49,46.21
318,111,53.08
319,25,62.96
320,54,30.93
321,112,35.42
322,24,71.74
323,96,50.74
324,29,60.14
325,18,41.34
326,88,46.08
327,29,14.77
328,54,53.59
329,85,38.74
330,101,48.01
331,51,39.15
332,16,54.32
333,34,43.13
334,73,54.09
335,62,56.58
336,113,39.56
337,31,51.62
338,13,70.76
339,99,49.26
340,21,45.92
341,50,54.55
342,84,69.76
343,13,40.49
344,106,40.03
345,20,27.21
346,36,59.19
347,95,68.82
348,86,66.62
349,54,51.88
350,49,46.53
351,38,68.71
352,111,33.99
353,20,49.21
354,114,59.22
355,10,47.65
356,14,53.58
357,71,54.52
358,4,41.65
359,71,44.78
360,26,34.85
361,25,35.42
362,115,42.4
363,31,62.38
364,95,68.63
365,90,53.77
366,116,54.13
367,10,39.96
368,117,44.2
369,51,44.34
370,51,49.71
371,71,43.71
372,18,38.43
373,48,44.53
374,89,52.47
375,57,42.15
376,68,41.27
377,21,57.43
378,66,37.7
379,71,72.25
380,32,42.82
381,54,50.39
382,118,32.26
383,38,36.96
384,2,43.22
385,10,61.5
386,99,57.13
387,59,43.69
388,99,60.94
389,17,53.89
390,76,67.94
391,14,58.29
392,119,41.89
393,120,49.8
394,70,49.96
395,83,36.88
396,63,65.44
397,7,45.09
398,102,59.01
399,89,51.3
400,23,53.72
401,32,47.97
402,57,47.91
403,11,59.09
404,52,52.08
405,85,54.68
406,4,53.76
407,60,47.22
408,108,63.74
409,77,44.52
410,54,56.28
411,27,21.28
412,105,52.17
413,43,38.24
414,13,56.04
415,121,58.94
416,2,69.47
417,20,55.62
418,31,48.56
419,122,41.93
420,3,51.68
421,80,50.8
422,48,38.33
423,13,41.69
424,74,47.76
425,95,49.92
426,118,54.65
427,66,47.31
428,104,46.46
429,123,43.7
430,64,59.31
431,100,64.66
432,60,68.76
433,104,52.66
434,13,48.65
435,90,47.73
436,76,58.05
437,92,58.78
438,124,43.92
439,44,40.54
440,52,45.25
441,125,37.66
442,18,47.58
443,58,38.68
444,115,50.59
445,126,57.74
446,22,35.39
447,127,30.72
448,114,38.52
449,66,41.45
450,115,64.37
451,44,64.23
452,121,60.0
453,122,63.99
454,119,61.19
455,118,68.11
456,83,29.44
457,71,55.53
458,108,64.82
459,61,32.48
460,21,66.43
461,39,47.0
462,115,58.85
463,33,53.62
464,13,45.3
465,2,49.67
466,73,50.71
467,13,27.29
468,52,45.53
469,46,36.71
470,82,73.29
471,82,57.48
472,73,51.7
473,122,41.94
474,54,46.36
475,72,41.62
476,79,55.65
477,71,63.42
478,75,31.82
479,89,65.46
480,35,55.44
481,33,71.88
482,97,58.88
483,22,53.17
484,83,45.78
485,76,50.19
486,49,68.98
487,65,27.76
488,61,38.62
489,3,58.43
490,59,22.15
491,65,32.93
492,75,31.62
493,46,42.29
494,45,46.5
495,57,33.03
496,11,44.64
497,117,53.98
498,15,54.34
499,108,53.59
500,99,36.16
501,75,57.09
502,59,62.39
503,31,46.96
504,87,59.43
505,99,39.33
506,108,42.86
507,24,61.87
508,31,41.5
509,57,54.17
510,13,42.52
511,124,33.57
512,41,57.35
513,28,55.69
514,38,56.85
515,11,62.08
516,57,42.58
517,128,44.87
518,49,68.2
519,85,43.26
520,83,47.29
521,62,54.97
522,69,47.77
523,128,42.51
524,22,60.6
525,85,61.58
526,44,37.54
527,73,55.82
528,19,43.55
529,120,53.22
530,29,50.27
531,123,53.92
532,42,51.5
533,50,44.65
534,31,44.42
535,116,45.24
536,103,62.36
537,9,62.46
538,110,48.97
539,103,36.58
540,45,51.37
541,112,53.8
542,36,42.17
543,40,46.76
544,123,34.24
545,73,40.03
546,20,41.83
547,28,41.42
548,126,44.74
549,66,52.05
550,102,56.13
551,58,42.94
552,128,57.38
553,83,46.56
554,28,33.45
555,7,41.16
556,26,58.46
557,116,46.06
558,103,42.26
559,64,64.85
560,111,55.08
561,70,48.29
562,1,45.3
563,3,45.09
564,129,39.21
565,20,48.24
566,130,61.03
567,14,57.74
568,50,40.62
569,131,59.17
570,33,51.21
571,70,43.0
572,3,38.82
573,85,43.81
574,112,68.67
575,46,56.11
576,79,55.76
577,8,40.84
578,93,60.57
579,80,44.81
580,10,41.45
581,112,17.91
582,71,56.07
583,97,37.84
584,88,50.43
585,122,55.1
586,93,71.86
587,50,57.16
588,29,36.44
589,69,49.48
590,132,72.11
591,26,51.73
592,53,38.28
593,80,67.86
594,105,40.38
595,69,49.57
596,12,36.04
597,47,46.28
598,123,49.89
599,99,59.55
600,14,49.66
601,59,62.06
602,75,45.03
603,26,43.38
604,14,43.85
605,40,42.92
606,72,48.59
607,70,56.42
608,87,55.3
609,121,49.08
610,78,32.91
611,79,46.88
612,3,46.78
613,6,61.04
614,89,49.48
615,63,60.29
616,21,39.78
617,29,38.93
618,98,42.19
619,115,41.81
620,63,12.67
621,4,47.88
622,111,40.52
623,26,43.19
624,56,35.95
625,59,52.74
626,51,51.76
627,52,28.62
628,53,65.59
629,79,42.36
630,73,33.99
631,78,57.87
632,9,39.15
633,79,56.09
634,83,41.29
635,29,62.7
636,69,54.2
637,128,51.0
638,82,41.59
639,124,42.66
640,40,40.34
641,82,45.42
642,96,44.08
643,22,42.1
644,83,29.83
645,37,37.19
646,2,58.01
647,84,66.17
648,123,51.89
649,90,49.34
650,97,40.7
651,60,44.16
652,9,66.97
653,60,69.94
654,69,47.23
655,60,50.85
656,15,59.1
657,133,32.17
658,71,45.02
659,113,55.81
660,17,46.11
661,68,49.51
662,39,67.53
663,99,51.66
664,77,47.54
665,61,46.15
666,72,46.73
667,92,50.36
668,64,52.42
669,70,61.31
670,45,40.44
671,134,46.15
672,53,39.46
673,67,34.32
674,93,67.62
675,68,44.98
676,39,48.0
677,94,60.47
678,111,57.01
679,58,55.57
680,53,36.87
681,34,60.94
682,76,49.37
683,79,40.68
684,121,49.99
685,11,56.24
686,13,44.57
687,4,36.88
688,55,35.53
689,81,44.13
690,46,38.08
691,16,42.4
692,81,46.26
693,112,44.53
694,91,58.21
695,80,62.81
696,49,65.15
697,93,53.15
698,25,50.77
699,82,40.19
700,12,49.51
701,82,54.34
702,93,69.7
703,27,66.83
704,67,53.73
705,76,45.47
706,108,58.9
707,108,49.64
708,59,31.33
709,135,54.32
710,19,62.71
711,132,65.31
712,71,47.68
713,53,43.26
714,57,51.02
715,131,36.66
716,8,51.74
717,31,26.47
718,105,70.71
719,40,50.18
720,100,56.34
721,122,41.41
722,14,38.69
723,109,46.78
724,18,52.35
725,60,43.54
726,82,47.71
727,55,42.45
728,82,65.7
729,39,45.41
730,52,48.88
731,61,64.1
732,75,48.11
733,109,63.36
734,47,49.87
735,38,64.7
736,99,60.51
737,93,41.8
738,78,42.73
739,27,49.81
740,21,54.34
741,59,66.64
742,109,41.02
743,73,52.54
744,136,42.66
745,19,54.09
746,29,46.2
747,88,56.29
748,110,44.35
749,51,49.42
750,84,35.3
751,33,56.62
752,17,60.91
753,12,46.3
754,4,57.06
755,137,34.99
756,75,25.56
757,23,44.92
758,138,48.75
759,35,48.33
760,38,54.72
761,23,67.52
762,49,48.54
763,39,74.02
764,92,67.88
765,122,55.02
766,121,38.48
767,111,72.13
768,97,49.26
769,64,57.47
770,115,58.11
771,91,31.66
772,17,45.73
773,77,44.92
774,22,48.1
775,64,53.88
776,139,73.62
777,2,34.07
778,123,50.2
779,23,33.82
780,16,48.03
781,7,39.43
782,60,67.55
783,120,25.31
784,140,53.93
785,116,54.69
786,88,54.16
787,25,42.21
788,4,71.82
789,127,57.41
790,121,34.56
791,105,41.11
792,93,62.08
793,1,55.97
794,86,50.65
795,91,69.65
796,114,61.41
797,124,44.13
798,57,63.08
799,99,45.85
800,28,30.71
801,126,54.51
802,64,41.43
803,89,57.84
804,110,59.7
805,44,34.59
806,91,53.85
807,121,48.2
808,141,47.77
809,106,52.64
810,124,46.08
811,73,47.85
812,59,37.63
813,89,59.6
814,68,49.67
815,68,61.41
816,94,46.07
817,112,37.61
818,130,57.06
819,53,48.17
820,110,48.55
821,14,57.9
822,7,41.77
823,18,52.53
824,50,40.77
825,132,35.8
826,27,37.74
827,7,42.28
828,80,45.5
829,62,42.36
830,51,50.97
831,22,54.71
832,122,61.71
833,103,57.49
834,53,69.23
835,15,44.61
836,93,59.8
837,82,49.42
838,85,44.6
839,142,39.81
840,76,47.67
841,63,49.75
842,10,49.36
843,69,44.73
844,43,48.82
845,81,57.06
846,20,47.26
847,45,50.28
848,122,62.86
849,38,62.31
850,37,62.32
851,80,43.17
852,33,34.36
853,128,47.1
854,46,45.63
855,20,64.39
856,133,55.25
857,122,31.28
858,112,43.18
859,11,69.78
860,58,63.64
861,104,28.5
862,100,41.54
863,39,63.23
864,94,49.44
865,93,36.14
866,32,27.16
867,78,56.58
868,55,46.86
869,21,61.54
870,86,47.12
871,90,63.53
872,95,76.76
873,57,49.11
874,51,50.88
875,32,35.11
876,22,46.06
877,13,60.66
878,93,40.6
879,97,50.23
880,74,64.06
881,55,47.62
882,82,47.79
883,69,54.18
884,91,52.06
885,88,68.3
886,133,40.88
887,85,62.0
888,89,63.65
889,69,57.93
890,139,33.76
891,122,41.54
892,143,34.2
893,126,41.8
894,94,42.35
895,26,51.74
896,112,32.44
897,4,64.46
898,58,48.83
899,60,43.47
900,23,65.35
901,74,47.7
902,44,60.12
903,65,19.71
904,83,42.86
905,124,43.58
906,57,49.73
907,120,63.2
908,52,54.36
909,64,42.47
910,29,46.34
911,5,36.6
912,85,59.5
913,119,47.61
914,15,63.55
915,135,46.3
916,18,71.85
917,62,51.57
918,59,45.8
919,106,59.99
920,144,40.95
921,9,47.54
922,51,56.48
923,19,56.03
924,73,52.51
925,50,42.63
926,10,33.09
927,28,54.56
928,2,54.14
929,40,33.49
930,124,62.95
931,117,60.44
932,141,46.43
933,123,67.85
934,124,43.97
935,135,32.59
936,64,47.79
937,12,49.33
938,14,39.73
939,65,44.55
940,40,47.27
941,3,48.8
942,145,44.25
943,121,49.25
944,122,69.32
945,60,55.22
946,82,54.39
947,143,46.59
948,65,53.74
949,34,55.57
950,60,43.01
951,75,56.83
952,59,49.05
953,117,39.35
954,89,49.68
955,28,44.96
956,65,48.86
957,123,51.55
958,103,61.32
959,144,68.14
960,133,44.95
961,85,43.53
962,69,63.85
963,3,55.14
964,104,47.49
965,102,38.56
966,31,67.66
967,68,50.19
968,111,47.23
969,101,43.8
970,31,45.49
971,29,84.25
972,137,54.81
973,121,37.69
974,109,52.5
975,13,40.56
976,119,58.98
977,67,51.09
978,30,54.85
979,146,41.14
980,24,57.3
981,52,61.08
982,145,67.53
983,4,48.26
984,35,43.97
985,147,56.54
986,41,57.6
987,91,58.65
988,142,44.5
989,93,77.49
990,10,54.58
991,27,65.12
992,52,61.72
993,55,48.57
994,36,54.04
995,61,65.39
996,136,67.15
997,33,45.93
998,45,58.26
999,45,64.52
1000,26,46.61
1001,148,39.84
1002,104,71.31
1003,102,63.6
1004,48,52.74
1005,80,60.71
1006,121,37.71
1007,64,34.97
1008,13,33.96
1009,39,56.75
1010,89,47.47
1011,17,46.25
1012,75,57.15
1013,69,61.65
1014,31,44.13
1015,54,54.8
1016,91,53.16
1017,29,60.03
1018,12,60.01
1019,131,66.58
1020,100,63.15
1021,23,58.15
1022,24,60.65
1023,83,43.16
1024,21,64.82
1025,31,73.25
1026,46,42.0
1027,60,51.27
1028,103,66.85
1029,51,57.67
1030,89,61.37
1031,21,43.43
1032,69,44.48
1033,31,36.17
1034,82,37.88
1035,42,48.24
1036,57,52.3
1037,15,41.42
1038,59,66.27
1039,66,37.46
1040,90,63.95
1041,93,41.79
1042,76,44.62
1043,115,33.49
1044,33,33.17
1045,92,45.02
1046,142,53.46
1047,98,45.51
1048,47,37.56
1049,37,54.44
1050,130,52.48
1051,111,44.96
1052,74,42.01
1053,42,45.45
1054,68,46.55
1055,29,40.77
1056,93,49.15
1057,24,63.17
1058,97,35.04
1059,5,44.05
1060,107,72.08
1061,3,57.19
1062,28,33.89
1063,46,54.54
1064,124,52.53
1065,12,52.4
1066,9,47.43
1067,29,51.31
1068,112,33.87
1069,128,37.97
1070,48,63.75
1071,145,49.71
1072,47,52.88
1073,82,37.57
1074,85,35.06
1075,59,62.43
1076,54,55.93
1077,69,47.73
1078,11,48.48
1079,14,42.64
1080,74,51.35
1081,13,59.73
1082,56,47.04
1083,113,58.94
1084,73,37.21
1085,82,38.22
1086,69,50.34
1087,10,40.04
1088,45,53.93
1089,117,45.66
1090,38,50.76
1091,83,43.65
1092,64,50.26
1093,116,42.8
1094,122,60.98
1095,125,58.71
1096,74,34.05
1097,52,46.21
1098,32,62.49
1099,123,55.12
1100,123,27.64
1101,110,73.46
1102,17,62.57
1103,45,61.54
1104,19,37.0
1105,47,49.49
1106,142,36.19
1107,139,57.75
1108,76,48.23
1109,61,53.51
1110,55,54.61
1111,142,52.35
1112,36,60.82
1113,39,48.82
1114,104,41.82
1115,27,63.52
1116,61,47.89
1117,74,50.78
1118,97,59.32
1119,44,38.14
1120,66,36.82
1121,93,37.91
1122,128,66.14
1123,93,64.49
1124,32,41.73
1125,97,45.25
1126,50,22.38
1127,121,40.25
1128,100,33.87
1129,122,36.64
1130,14,51.58
1131,91,45.99
1132,63,50.58
1133,72,49.99
1134,77,46.83
1135,46,43.54
1136,99,56.09
1137,27,30.66
1138,71,68.64
1139,89,54.23
1140,23,49.87
1141,41,48.44
1142,12,34.31
1143,121,51.28
1144,5,55.44
1145,46,47.14
1146,135,55.63
1147,75,61.64
1148,128,40.09
1149,18,54.36
1150,109,40.17
1151,53,67.22
1152,53,49.02
1153,69,56.34
1154,31,35.11
1155,10,56.6
1156,39,61.0
1157,23,56.06
1158,50,45.42
1159,30,48.14
1160,134,56.16
1161,61,50.47
1162,137,27.51
1163,23,62.23
1164,79,48.25
1165,149,35.8
1166,29,54.31
1167,142,50.61
1168,36,54.75
1169,117,72.57
1170,92,46.85
1171,21,39.42
1172,50,40.35
1173,108,47.38
1174,12,46.74
1175,67,46.39
1176,19,41.27
1177,21,51.72
1178,4,50.72
1179,58,42.3
1180,58,53.41
1181,92,54.15
1182,57,46.33
1183,64,74.9
1184,82,71.98
1185,89,44.18
1186,72,47.89
1187,19,56.73
1188,122,35.5
1189,113,50.92
1190,58,49.4
1191,123,52.85
1192,60,37.26
1193,135,59.94
1194,60,61.6
1195,124,54.57
1196,90,38.17
1197,17,51.23
1198,45,35.27
1199,49,43.12
1200,80,58.2
1201,46,51.68
1202,48,50.06
1203,63,50.96
1204,106,56.01
1205,122,43.57
1206,118,26.36
1207,38,60.15
1208,104,49.72
1209,147,54.38
1210,59,50.28
1211,141,53.11
1212,110,48.3
1213,62,51.67
1214,145,34.66
1215,111,55.26
1216,3,47.18
1217,75,57.17
1218,100,44.37
1219,84,82.41
1220,83,47.83
1221,103,54.53
1222,27,41.49
1223,11,61.88
1224,111,65.95
1225,91,52.85
1226,20,57.77
1227,87,55.69
1228,144,43.97
1229,74,44.5
1230,53,45.57
1231,16,75.08
1232,83,43.2
1233,139,46.54
1234,128,65.82
1235,104,52.56
1236,79,48.27
1237,82,54.94
1238,134,26.08
1239,37,43.44
1240,59,52.15
1241,73,49.13
1242,74,42.69
1243,34,53.88
1244,121,47.08
1245,67,45.43
1246,110,51.28
1247,60,50.51
1248,26,48.53
1249,127,50.53
1250,110,49.23
1251,43,48.12
1252,54,55.37
1253,65,47.07
1254,95,44.79
1255,80,65.66
1256,109,39.17
1257,46,37.51
1258,67,64.2
1259,85,54.14
1260,89,51.62
1261,42,46.81
1262,19,40.94
1263,37,40.08
1264,95,49.23
1265,117,23.53
1266,147,42.86
1267,65,54.15
1268,60,52.3
1269,43,46.46
1270,97,48.69
1271,125,50.64
1272,82,29.86
1273,91,52.38
1274,67,64.69
1275,82,54.96
1276,34,60.02
1277,84,44.95
1278,108,61.36
1279,31,44.39
1280,21,50.29
1281,69,44.17
1282,69,49.7
1283,93,47.95
1284,71,44.61
1285,82,35.19
1286,99,54.32
1287,9,49.31
1288,79,38.33
1289,100,40.92
1290,85,52.98
1291,91,52.71
1292,58,41.5
1293,108,53.14
1294,22,61.82
1295,49,47.04
1296,69,62.72
1297,56,40.78
1298,137,48.1
1299,122,43.09
1300,95,51.25
1301,51,41.56
1302,38,50.96
1303,122,59.8
1304,100,53.75
1305,15,44.04
1306,20,53.55
1307,40,66.46
1308,76,40.91
1309,122,52.66
1310,112,45.19
1311,128,63.48
1312,70,37.3
1313,111,57.95
1314,83,38.01
1315,90,44.16
1316,128,30.94
1317,71,46.69
1318,93,53.81
1319,48,39.32
1320,21,42.94
1321,106,47.15
1322,108,51.91
1323,7,42.03
1324,79,57.69
1325,132,50.02
1326,74,38.56
1327,124,48.6
1328,83,43.24
1329,31,50.12
1330,32,52.98
1331,108,53.21
1332,54,49.64
1333,131,52.39
1334,139,59.23
1335,138,52.87
1336,141,48.69
1337,68,43.3
1338,88,50.34
1339,72,57.82
1340,43,44.47
1341,73,45.58
1342,22,59.37
1343,15,56.1
1344,26,37.65
1345,98,30.44
1346,75,50.88
1347,21,53.32
1348,138,59.33
1349,121,44.35
1350,65,55.89
1351,52,36.56
1352,22,51.06
1353,85,70.66
1354,6,39.0
1355,74,46.85
1356,57,47.71
1357,123,36.55
1358,2,53.17
1359,76,37.45
1360,80,51.66
1361,120,64.95
1362,11,61.51
1363,140,52.16
1364,29,69.74
1365,73,61.44
1366,53,49.64
1367,80,41.15
1368,104,49.56
1369,107,44.99
1370,97,28.97
1371,125,45.88
1372,57,36.13
1373,110,60.97
1374,40,43.48
1375,88,34.53
1376,28,76.76
1377,34,53.69
1378,46,26.26
1379,110,43.79
1380,79,60.06
1381,1,51.77
1382,9,51.5
1383,82,51.53
1384,108,44.03
1385,85,39.41
1386,100,52.99
1387,135,29.97
1388,124,54.42
1389,55,50.49
1390,85,46.23
1391,102,45.41
1392,85,47.04
1393,48,49.34
1394,56,42.35
1395,116,32.65
1396,121,46.34
1397,114,59.17
1398,7,43.21
1399,12,50.25
1400,139,52.82
1401,71,39.81
1402,39,43.86
1403,122,56.57
1404,85,47.44
1405,112,54.68
1406,62,52.9
1407,71,46.11
1408,108,42.04
1409,32,48.31
1410,37,58.27
1411,105,36.79
1412,3,52.66
1413,24,48.81
1414,118,57.46
1415,35,60.73
1416,27,51.46
1417,129,47.43
1418,66,40.53
1419,83,45.37
1420,72,55.55
1421,72,57.46
1422,136,50.79
1423,4,46.8
1424,25,40.7
1425,111,46.8
1426,104,55.33
1427,43,36.13
1428,112,57.35
1429,104,62.66
1430,103,44.52
1431,108,61.94
1432,81,46.12
1433,132,67.2
1434,43,46.86
1435,55,64.81
1436,58,60.22
1437,122,59.83
1438,122,42.65
1439,70,55.74
1440,81,59.17
1441,22,57.57
1442,40,41.63
1443,78,69.79
1444,80,69.65
1445,38,54.56
1446,21,73.07
1447,70,56.46
1448,32,50.4
1449,41,68.31
1450,28,65.71
1451,60,74.49
1452,33,29.56
1453,91,67.83
1454,126,44.12
1455,121,43.53
1456,96,40.9
1457,106,80.22
1458,55,35.39
1459,106,54.88
1460,28,56.79
1461,12,57.47
1462,97,64.28
1463,88,59.55
1464,3,65.04
1465,123,55.82
1466,20,31.04
1467,39,39.47
1468,8,46.67
1469,50,50.19
1470,118,44.42
1471,101,47.71
1472,46,44.03
1473,29,55.0
1474,56,86.5
1475,12,38.05
1476,150,57.44
1477,13,56.44
1478,14,44.29
1479,28,55.77
1480,135,36.01
1481,69,70.31
1482,76,31.67
1483,3,58.64
1484,146,56.67
1485,57,69.85
1486,85,55.04
1487,102,38.02
1488,89,46.02
1489,150,62.34
1490,86,45.46
1491,29,54.39
1492,50,36.81
1493,18,50.64
1494,114,43.2
1495,60,60.38
1496,104,45.05
1497,18,46.57
1498,99,44.18
1499,64,44.16
1500,76,57.55
1501,54,71.75
1502,106,59.77
1503,46,22.0
1504,60,37.87
1505,97,50.77
1506,55,42.24
1507,111,60.77
1508,113,63.84
1509,18,56.07
1510,38,26.42
1511,27,59.6
1512,45,50.42
1513,22,52.02
1514,6,53.46
1515,30,45.37
1516,17,62.53
1517,68,42.5
1518,90,32.18
1519,19,50.25
1520,15,47.04
1521,16,50.75
1522,68,47.4
1523,116,41.75
1524,93,39.07
1525,2,51.87
1526,56,37.11
1527,128,45.38
1528,39,50.33
1529,88,38.65
1530,121,35.21
1531,5,50.52
1532,43,57.59
1533,33,53.29
1534,13,53.15
1535,34,52.68
1536,79,56.39
1537,144,36.17
1538,33,33.46
1539,23,33.52
1540,34,56.09
1541,118,46.99
1542,13,21.34
1543,113,57.77
1544,40,44.8
1545,7,51.66
1546,17,44.99
1547,123,72.92
1548,121,64.6
1549,50,51.79
1550,82,47.55
1551,2,48.1
1552,137,46.39
1553,41,58.67
1554,103,46.15
1555,56,74.65
1556,88,41.29
1557,26,57.87
1558,10,38.7
1559,26,54.89
1560,104,55.2
1561,15,47.7
1562,110,44.45
1563,71,45.01
1564,27,50.4
1565,65,35.85
1566,25,37.69
1567,79,44.81
1568,80,51.74
1569,106,45.36
1570,15,50.09
1571,110,58.28
1572,103,41.56
1573,71,65.53
1574,145,44.62
1575,14,37.75
1576,109,51.63
1577,12,47.48
1578,97,42.46
1579,121,40.74
1580,146,60.08
1581,34,54.41
1582,141,32.27
1583,11,59.25
1584,86,55.81
1585,123,38.97
1586,150,57.56
1587,125,50.55
1588,20,57.41
1589,74,58.57
1590,129,57.96
1591,73,43.96
1592,97,60.1
1593,17,52.48
1594,23,44.97
1595,100,58.5
1596,125,60.0
1597,7,46.25
1598,71,42.17
1599,55,56.28
1600,47,52.35
1601,68,27.53
1602,124,45.72
1603,34,52.9
1604,34,40.3
1605,60,43.31
1606,57,42.97
1607,26,44.05
1608,98,53.51
1609,112,60.8
1610,122,56.17
1611,64,50.81
1612,108,57.25
1613,86,65.58
1614,129,47.1
1615,27,53.24
1616,103,54.22
1617,14,44.72
1618,54,57.86
1619,44,46.63
1620,116,53.99
1621,124,53.3
1622,19,39.55
1623,25,39.81
1624,12,44.51
1625,146,61.42
1626,149,61.17
1627,45,27.11
1628,54,42.32
1629,5,53.9
1630,71,55.39
1631,23,44.59
1632,77,43.85
1633,87,50.52
1634,54,35.3
1635,75,36.46
1636,128,34.66
1637,80,62.64
1638,67,68.33
1639,112,50.33
1640,85,58.54
1641,124,42.41
1642,76,54.65
1643,145,66.32
1644,65,48.99
1645,79,38.48
1646,26,58.0
1647,59,44.6
1648,43,40.88
1649,12,45.68
1650,73,30.46
1651,108,59.97
1652,40,58.0
1653,14,55.23
1654,95,75.53
1655,117,58.7
1656,28,56.28
1657,40,46.09
1658,110,56.75
1659,65,57.48
1660,92,51.41
1661,48,55.06
1662,2,56.53
1663,33,46.89
