track_name,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,danceability,energy,acousticness,instrumentalness,liveness,speechiness,track_id
Calm Down (with Selena Gomez),2022,3,25,7112,77,899183384,80,80,43,0,14,4,27
MOJABI GHOST,2023,6,29,859,40,61245289,81,71,14,0,56,4,28
Last Night,2023,1,31,2420,19,429829812,52,68,46,0,15,4,29
Dance The Night (From Barbie The Album),2023,5,25,2988,101,127408954,67,85,2,0,33,5,30
Rush,2023,7,13,864,78,22581161,74,84,0,0,11,6,31
TULUM,2023,6,28,266,34,52294266,56,87,39,0,11,5,32
Creepin',2022,12,2,6036,88,843957510,71,61,36,0,8,5,33
Anti-Hero,2022,10,21,9082,56,999748277,64,63,12,0,19,5,34
TQG,2023,2,23,4284,49,618990393,72,63,67,0,9,28,35
Los del Espacio,2023,6,1,1150,31,123122413,81,68,11,0,11,4,36
FrпїЅпїЅgil (feat. Grupo Front,2023,4,7,672,34,188933502,61,73,37,0,11,3,37
Blank Space,2014,1,1,11434,53,1355959075,75,68,9,0,13,6,38
Style,2014,1,1,7830,42,786181836,60,79,0,0,12,4,39
TQM,2023,5,19,584,28,176553476,79,85,27,0,11,6,40
El Azul,2023,2,10,692,25,354495408,56,65,23,0,10,6,41
Sunflower - Spider-Man: Into the Spider-Verse,2018,10,9,24094,78,2808096550,76,50,54,0,7,5,42
I'm Good (Blue),2022,8,26,12482,80,1109433169,56,97,4,0,35,4,43
See You Again,2017,7,21,13387,64,1047101291,56,56,37,0,11,10,44
Barbie World (with Aqua) [From Barbie The Album],2023,6,23,1117,80,65156199,77,58,52,0,23,25,45
Angels Like You,2020,11,27,3372,19,570515054,67,64,10,0,10,3,46
I Ain't Worried,2022,5,13,8431,76,1085685420,71,81,11,0,6,5,47
Die For You,2016,11,24,2483,59,1647990401,59,52,9,0,15,7,48
Starboy,2016,9,21,29536,79,2565529693,68,59,16,0,13,28,49
Die For You - Remix,2023,2,24,3408,47,518745108,53,53,23,0,44,7,50
El Cielo,2023,6,2,1298,38,107753850,72,64,7,0,10,5,51
Baby Don't Hurt Me,2023,4,6,4277,66,177740666,60,91,0,0,12,3,52
AMARGURA,2023,2,24,1133,39,153372011,92,70,18,0,15,7,53
(It Goes Like) Nanana - Edit,2023,6,15,2259,59,57876440,67,88,12,19,8,4,54
Another Love,2012,10,15,18371,83,1813673666,45,54,70,0,9,4,55
Blinding Lights,2019,11,29,43899,69,3703895074,50,80,0,0,9,7,56
Moonlight,2023,2,24,2649,42,256483385,64,72,51,0,17,5,57
La Bachata,2022,5,26,6804,45,1214083358,84,68,58,0,22,4,58
S91,2023,7,14,525,41,16011326,86,72,59,0,9,19,59
cardigan,2020,7,24,7923,29,812019557,61,58,55,0,27,4,60
TпїЅпї,2023,5,4,731,15,111947664,86,96,50,1,9,5,61
Boy's a liar Pt. 2,2023,2,3,5184,41,156338624,70,81,25,0,25,5,62
Left and Right (Feat. Jung Kook of BTS),2022,6,24,3107,39,720434240,88,59,62,0,9,3,63
BESO,2023,3,24,4053,50,357925728,77,64,74,0,17,14,64
Hey Mor,2022,10,6,4637,38,674072710,90,59,0,0,10,29,65
Yellow,1999,1,1,31358,43,1755214421,43,66,0,0,23,3,66
Karma,2022,10,21,3818,23,404562836,64,62,7,0,48,7,67
People,2022,12,2,3506,56,373199958,59,42,55,0,10,7,68
Overdrive,2023,7,14,410,36,14780425,56,73,0,0,35,4,69
Enchanted (Taylor's Version),2023,7,7,148,24,39578178,51,53,1,0,15,3,70
BABY HELLO,2023,6,23,1004,35,54266102,77,89,17,0,43,5,71
Heat Waves,2020,6,28,22543,63,2557975762,76,53,44,0,9,9,72
golden hour,2022,7,15,4511,36,751134527,51,59,65,18,25,3,73
Sweater Weather,2012,5,14,16413,61,2282771485,61,81,5,2,10,3,74
"Quevedo: Bzrp Music Sessions, Vol. 52",2022,7,6,8506,45,1356565093,62,78,1,3,23,4,75
Viva La Vida,2008,1,1,33898,62,1592909789,49,62,9,0,11,3,76
Here With Me,2022,7,17,3246,23,635412045,58,48,50,0,12,3,77
Unholy (feat. Kim Petras),2022,9,22,8576,42,1230675890,71,47,1,0,27,9,78
Yandel 150,2022,12,20,3618,38,585695368,78,73,5,0,10,7,79
CORAZпїЅпїЅN VA,2023,6,22,370,20,43857627,68,79,33,0,30,6,80
Riptide,1975,1,1,31123,55,2009094673,48,73,43,0,15,4,81
Until I Found You (with Em Beihold) - Em Beihold Version,2022,4,22,2790,30,600976848,34,57,78,0,20,3,82
Novidade na пїЅпї,2023,6,23,267,9,39709092,63,34,76,0,35,9,83
Back To December (Taylor's Version),2023,7,7,139,17,39228929,50,64,1,0,12,3,84
STAY (with Justin Bieber),2021,7,9,17050,36,2665343922,59,76,4,0,10,5,85
El Merengue,2023,3,3,2114,44,223633238,78,68,3,1,11,4,86
Someone You Loved,2018,11,8,17836,53,2887241814,50,41,75,0,11,3,87
Me Porto Bonito,2022,5,6,8870,43,1440757818,91,71,9,0,9,8,88
Makeba,2015,6,22,6060,53,165484133,82,66,39,51,25,7,89
MONTAGEM - FR PUNK,2012,6,20,641,50,58054811,63,82,70,8,9,7,90
Fast Car,2023,3,24,1446,12,157058870,71,60,19,0,12,3,91
What It Is (Solo Version),2023,3,17,804,25,95131998,74,76,6,0,10,9,92
Coco Chanel,2023,3,17,1962,38,250305248,68,76,4,0,10,4,93
DonпїЅпїЅпїЅt Bl,2017,11,8,4875,23,685032533,62,53,11,0,6,4,94
Still With You,2020,6,5,31,39,38411956,53,47,9,0,83,4,95
All My Life (feat. J. Cole),2023,5,12,2175,23,144565150,83,44,15,0,10,33,96
Say Yes To Heaven,2023,3,17,2000,46,127567540,49,35,71,9,11,3,97
Snooze,2022,12,9,2839,25,399686758,56,55,14,0,11,13,98
Summertime Sadness,2011,1,1,20333,52,983637508,56,66,7,0,12,3,99
Take Two,2023,6,9,674,47,118482347,62,59,3,0,38,3,100
Lover,2012,1,1,8448,23,882831184,43,55,50,0,15,10,101
Too Many Nights (feat. Don Toliver & with Future),2022,12,2,2110,58,286400165,68,71,15,0,11,5,102
Chemical,2023,4,14,2528,39,172825906,50,90,0,0,12,5,103
Mockingbird,2004,1,1,12985,61,1241559043,62,67,21,0,13,28,104
New Jeans,2023,7,7,77,35,29562220,81,72,51,0,12,5,105
Primera Cita,2022,4,20,266,27,77309611,54,40,61,0,10,6,106
Cold Heart - PNAU Remix,2017,11,10,21097,52,1605224506,80,80,4,0,10,3,107
Dandelions,2017,4,28,3423,21,1116995633,61,69,2,0,9,3,108
Bones,2021,3,11,4198,44,838079900,77,72,2,0,7,5,109
Set Fire to the Rain,2011,1,1,14739,43,1163620694,61,68,0,0,13,3,110
Money Trees,2012,1,1,26792,32,1093605526,74,53,7,0,21,10,111
Tak Segampang Itu,2022,12,2,213,6,179659294,51,44,76,0,11,3,112
LAGUNAS,2023,6,22,58,18,39058561,77,62,33,1,15,3,113
Mine (Taylor's Version),2023,7,7,99,15,36912123,65,78,0,0,17,4,114
Everybody Wants To Rule The World,1985,2,17,41751,25,1205951614,64,81,36,0,11,6,115
No Role Modelz,2014,12,9,21164,36,1791000570,70,52,30,0,6,33,116
Tattoo,2023,2,25,2988,59,201660859,55,78,24,0,12,8,117
Rara Vez,2023,2,8,893,38,248088961,84,71,18,0,34,17,118
VAGABUNDO,2023,5,12,1094,34,90839753,82,85,4,0,23,6,119
august,2020,7,24,7324,22,607123776,51,61,53,0,9,3,120
LUNA,2023,6,22,201,11,55842345,75,63,33,0,15,4,121
Miracle (with Ellie Goulding),2023,3,10,5120,48,211050784,64,87,4,4,8,4,122
Nonsense,2022,7,15,2346,27,342897938,74,68,3,0,26,4,123
Que Vuelvas,2022,12,9,763,26,2762,49,64,19,0,11,4,124
Por las Noches,2021,6,11,457,24,330346424,81,60,31,0,7,3,125
Feliz CumpleaпїЅпїЅos Fe,2022,8,19,3430,38,601863821,87,55,10,0,29,7,126
Can't Hold Us (feat. Ray Dalton),2011,8,16,6074,52,1953533826,63,93,3,0,10,8,127
Watermelon Sugar,2019,11,17,21915,34,2322580122,55,82,12,0,34,5,128
lovely - Bonus Track,2017,8,11,15032,30,2355719893,35,30,93,0,10,3,129
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023,6,21,871,32,66902503,78,65,10,0,26,5,130
Queencard,2023,5,15,451,33,96273746,82,83,3,0,27,5,131
OMG,2023,1,2,1783,27,430977451,80,77,36,0,11,4,132
Radio,2011,1,1,9389,46,284819874,42,86,21,0,9,9,133
"Shakira: Bzrp Music Sessions, Vol. 53",2023,1,11,5724,44,721975598,78,63,27,0,9,5,134
505,2007,4,20,13985,25,1217120710,52,85,0,0,7,5,135
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",2023,6,2,1051,16,109276132,63,54,46,0,12,8,136
Trance (with Travis Scott & Young Thug),2022,12,2,1682,46,276259178,75,53,18,0,18,34,137
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",2023,5,22,182,8,54225632,76,72,32,0,9,4,138
Perfect,2017,1,1,16596,13,2559529074,60,45,16,0,11,2,139
Romantic Homicide,2022,7,20,2335,23,681583126,56,55,45,1,32,3,140
Believer,2017,1,31,18986,23,2594040133,77,78,4,0,23,11,141
Novo BalanпїЅ,2023,5,19,283,7,81102253,84,50,67,0,13,6,142
"Gol Bolinha, Gol Quadrado 2",2023,6,1,293,8,11956641,93,65,42,0,12,25,143
Without Me,2002,1,1,21081,43,1687664027,92,66,0,0,36,9,144
QUEMA,2023,7,13,437,31,11599388,79,89,5,0,6,5,145
Stargirl Interlude,2016,11,24,1275,32,611700552,59,48,38,5,10,11,146
Ojitos Lindos,2022,5,6,6135,38,1133865788,65,69,8,0,53,4,147
Somewhere Only We Know,2004,1,1,20015,16,1089402494,45,59,6,0,8,3,148
Those Eyes,2019,5,10,1507,14,411747614,60,35,73,0,31,3,149
El Gordo Trae El Mando,2023,1,27,539,21,255932395,74,80,18,0,5,5,150
Mi Bello Angel,2023,6,30,86,8,31873544,81,77,1,0,9,5,151
Bye,2023,5,26,324,14,95053634,78,81,57,0,10,5,152
Danza Kuduro,2010,1,1,17138,37,1279434863,47,92,8,0,5,24,153
Nosso Quadro,2023,2,2,894,9,233801632,69,71,33,0,31,20,154
Locked Out Of Heaven,2012,12,5,1622,9,1481349984,73,70,6,0,28,5,155
Un Finde | CROSSOVER #2,2023,4,4,561,14,142095275,50,52,11,0,28,6,156
Jimmy Cooks (feat. 21 Savage),2022,6,17,5871,27,618885532,54,67,0,0,9,17,157
Counting Stars,2013,1,1,29215,43,2011464183,66,71,6,0,12,4,158
Ghost,2021,3,19,5866,24,1167330737,61,74,21,0,40,6,159
Under The Influence,2019,10,4,3859,26,929964809,73,69,6,0,11,4,160
PRC,2023,1,23,961,26,436027885,78,83,10,0,12,5,161
Gasolina,2004,7,13,6457,18,657723613,86,80,33,0,8,6,162
One Dance,2016,4,4,43257,24,2713922350,77,63,1,0,36,5,163
Enchanted,2010,1,1,4564,16,621660989,45,62,8,0,16,3,164
Save Your Tears,2020,3,20,12688,13,1591223784,68,82,2,0,50,3,165
Sure Thing,2010,5,25,13801,19,950906471,68,60,3,0,19,10,166
Every Breath You Take - Remastered 2003,1983,1,6,22439,19,1593270737,82,45,54,0,7,3,167
The Night We Met,2015,2,2,18515,35,1410088830,45,37,97,25,64,4,168
We Found Love,2011,1,1,36843,21,1235005533,73,77,3,0,11,4,169
When I Was Your Man,2012,12,5,2420,11,1661187319,60,27,94,0,14,4,170
Let Me Down Slowly,2018,5,25,5897,19,1374581173,65,55,73,0,14,3,171
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",2023,6,2,727,16,94186466,60,53,4,0,21,4,172
Do I Wanna Know?,2013,1,1,33783,26,1788326445,55,53,17,0,22,3,173
Demons,2012,1,1,26694,13,1840364617,33,71,20,0,28,5,174
ээээээээээээ,2023,4,12,356,16,143573775,57,94,11,0,37,9,175
Reminder,2016,11,25,6518,17,684675814,71,50,16,0,16,22,176
Shake It Off,2014,1,1,21335,13,1113838873,65,80,5,0,41,16,177
Why'd You Only Call Me When You're High?,2013,1,1,23389,29,1267333350,70,63,4,0,8,4,178
SNAP,2022,3,19,3202,18,726307468,56,64,11,0,45,6,179
Shape of You,2017,1,6,32181,10,3562543890,83,65,58,0,9,8,180
Night Changes,2014,11,17,7124,18,1131090940,67,52,86,0,12,4,181
Fin de Semana,2023,1,13,592,14,307370144,70,54,6,0,9,8,182
Creep,1992,9,21,36724,7,1271293243,53,34,1,0,12,4,183
Car's Outside,2019,10,18,794,10,265882712,34,56,4,0,11,3,184
Apocalypse,2017,3,21,13091,17,841749534,37,47,2,46,11,3,185
Cheques,2023,5,19,67,8,47956378,74,63,26,0,27,5,186
Pink + White,2016,8,20,21574,30,806397070,54,55,67,0,42,11,187
Circles,2019,8,30,19664,16,2132335812,70,75,24,0,9,4,188
Just The Way You Are,2010,1,1,21106,13,1641426668,63,85,1,0,9,5,189
Take Me To Church,2013,9,13,23804,31,2135158446,57,66,63,0,12,5,190
Bebe Dame,2022,12,16,849,22,367316268,54,60,30,0,7,5,191
You Belong With Me (TaylorпїЅпїЅпїЅs Ve,2021,4,9,2619,12,350381515,63,73,5,0,9,3,192
Titi Me Preguntпї,2022,5,6,9037,42,1264310836,65,72,10,0,13,25,193
Better Than Revenge (Taylor's Version),2023,7,7,86,11,30343206,50,89,0,0,19,8,194
Shut up My Moms Calling,2020,2,10,1788,14,405136812,48,41,32,0,10,10,195
Have You Ever Seen The Rain?,1968,7,1,15890,14,1145727611,74,70,7,0,13,3,196
Es un Secreto,2010,7,20,492,36,540654286,84,77,12,0,7,4,197
POLARIS - Remix,2023,6,8,773,33,57312735,62,80,15,0,37,7,198
Ditto,2022,12,19,1154,22,397582059,81,64,3,0,10,11,199
Take On Me,1984,10,19,44927,17,1479115056,57,90,2,0,9,5,200
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",2023,6,2,551,4,86773632,61,48,21,0,12,6,201
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)",2023,5,1,577,14,133753727,53,67,11,0,10,28,202
AcrпїЅпїЅs,2023,5,11,955,29,123124076,75,48,84,0,10,12,203
AMG,2022,11,24,995,19,463564958,77,73,15,0,27,10,204
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",2023,5,15,178,6,64533040,56,55,53,0,12,4,205
S-Class,2023,6,2,290,19,65496046,89,78,9,0,7,33,206
Hits Different,2023,5,26,547,0,68616963,67,78,15,0,30,4,207
Chanel,2023,3,30,681,10,161460990,85,68,40,0,9,4,208
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),2023,6,2,332,5,70106975,78,30,21,0,13,5,209
Area Codes,2023,3,17,1197,13,113509496,82,39,2,0,9,49,210
Abcdario,2023,5,13,262,5,89933133,70,43,78,0,11,3,211
Obsessed,2022,9,29,161,6,71007139,80,74,62,0,8,9,212
PiпїЅпїЅman Deпї,2023,6,2,185,3,43522589,73,62,28,0,13,13,213
FLOWER,2023,3,31,839,18,232896922,84,39,3,0,11,4,214
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",2023,6,2,259,0,37126685,77,55,18,0,22,15,215
Eyes Closed,2023,3,23,2915,30,195576623,78,53,30,0,11,6,216
Escapism.,2022,10,12,5129,25,532336353,54,74,14,0,9,11,217
La Jumpa,2022,11,30,3794,34,538115192,71,70,30,0,32,19,218
Karma (feat. Ice Spice),2023,5,26,588,0,46142772,62,62,6,0,58,6,219
Superhero (Heroes & Villains) [with Future & Chris Brown],2022,12,2,2959,16,401036314,72,59,14,0,20,21,220
Las Morras,2023,4,4,291,8,127026613,78,84,31,0,7,4,221
CHORRITO PA LAS ANIMAS,2022,12,2,2321,36,345031710,74,83,11,0,35,6,222
Ch y la Pizza,2022,12,1,536,10,288101651,66,60,40,0,14,13,223
Snow On The Beach (feat. More Lana Del Rey),2023,5,26,359,2,60350538,66,40,81,0,11,3,224
Players,2022,11,30,4096,6,335074782,95,52,3,0,5,16,225
Bite Me,2023,5,22,349,69,76767396,80,78,28,0,11,14,226
Stand By Me (feat. Morgan Wallen),2023,5,26,381,5,46065667,76,58,6,0,16,3,227
Normal,2022,7,8,2461,36,459276435,71,56,4,0,27,12,228
Hummingbird (Metro Boomin & James Blake),2023,6,2,277,1,39666245,59,60,46,1,25,13,229
Seu Brilho Sumiu - Ao Vivo,2023,3,1,967,5,138517666,63,92,31,0,91,5,230
Bad Habit,2022,6,29,8186,12,822633917,69,51,63,0,38,4,231
CUFF IT,2022,7,29,7842,10,595900742,78,69,4,0,7,14,232
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2023,6,5,215,6,51985779,43,74,1,0,19,8,233
69,2023,5,18,1134,22,57945987,79,62,11,0,11,23,234
NiпїЅпїЅa Bo,2023,4,21,1305,34,115010040,82,62,10,0,10,15,235
Search & Rescue,2023,4,7,2066,6,175097833,82,44,6,0,33,7,236
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),2023,5,19,896,0,57089066,78,70,1,0,16,4,237
Lavender Haze,2022,10,21,3763,8,488386797,73,44,26,0,16,8,238
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",2023,6,2,197,0,32761689,92,51,41,51,26,8,239
Efecto,2022,5,6,4004,33,1047480053,80,48,14,0,6,5,240
Erro Gostoso - Ao Vivo,2023,1,27,984,5,153454328,59,89,18,0,80,9,241
Cupido,2023,2,14,1240,24,217672943,91,58,52,0,31,22,242
Just Wanna Rock,2022,10,17,3995,13,457184829,49,55,7,0,6,3,243
Unstoppable,2016,1,21,7681,13,939844851,47,78,11,0,10,8,244
Until I Found You,2021,9,1,4427,4,726434358,34,51,69,0,18,4,245
Rich Flex,2022,11,4,4657,18,573633020,56,52,5,0,36,24,246
Easy On Me,2021,10,14,10195,20,1406111294,60,37,58,0,13,3,247
CartпїЅпїЅo B,2023,5,11,269,4,71573339,84,47,26,0,20,64,248
Danger (Spider) (Offset & JID),2023,6,2,214,0,24975653,83,69,4,0,23,12,249
Oi Balde - Ao Vivo,2023,2,14,845,2,145458418,67,67,60,0,80,5,250
The Real Slim Shady,2000,1,1,20763,27,1424589568,95,66,3,0,4,6,251
MERCHO,2022,12,16,1267,20,231332117,84,79,43,0,18,11,252
The Color Violet,2021,12,10,2585,32,415932686,65,53,16,0,9,5,253
Glimpse of Us,2022,6,10,6330,6,988515741,44,32,89,0,14,5,254
Mejor Que Yo,2023,5,4,675,1,50847624,62,66,18,0,12,5,255
Curtains,2023,5,5,715,0,39893489,50,76,10,0,32,5,256
UNFORGIVEN (feat. Nile Rodgers),2023,5,1,327,13,92035115,80,88,11,0,11,5,257
Haegeum,2023,4,21,244,12,118810253,70,84,31,0,47,30,258
ConexпїЅпїЅes de MпїЅпїЅfia (feat. Rich ,2023,4,30,385,4,77233241,77,58,39,0,26,5,259
MIENTRAS ME CURO DEL CORA,2023,2,24,1020,35,206399629,52,48,86,0,15,39,260
Never Felt So Alone,2023,4,7,1730,3,117747907,44,41,50,0,38,5,261
X SI VOLVEMOS,2023,2,2,2127,33,266624541,79,78,34,0,11,25,262
ceilings,2022,4,8,3242,9,293186992,51,33,48,0,22,3,263
Cupid,2023,2,24,526,10,139681964,77,66,65,0,38,3,264
I AM,2023,4,10,366,15,123132751,68,88,1,0,8,5,265
Cupid пїЅпїЅпїЅ Twin Ver. (FIFTY FIFTY) пїЅпїЅпїЅ Spe,1997,1,1,472,2,103762518,74,73,42,0,9,4,266
Shorty Party,2023,3,4,432,12,162887075,93,47,33,0,10,36,267
Super,2023,4,24,271,12,91221625,77,88,16,0,17,9,268
Slut Me Out,2022,4,22,816,4,190490915,94,61,12,0,53,42,269
Double Fantasy (with Future),2023,4,21,1169,0,96180277,60,57,1,0,50,3,270
All Of The Girls You Loved Before,2019,8,23,1282,6,185240616,72,47,71,0,13,4,271
PROVENZA,2022,4,21,6587,34,885093467,87,52,66,1,11,5,272
Princess Diana (with Nicki Minaj),2023,4,14,1444,4,104992946,90,68,14,0,10,19,273
Di Que Si,2023,2,3,356,10,147290338,57,59,8,0,6,5,274
Shivers,2021,9,9,10147,30,1302184087,79,86,28,0,4,9,275
Igualito a Mi Apпї,2022,12,30,265,6,158950978,76,81,19,0,6,9,276
Shoong! (feat. LISA of BLACKPINK),2023,4,25,351,9,76910644,76,70,1,0,41,6,277
Komang,2022,8,16,158,4,137123880,70,41,41,0,10,3,278
DESPECHпї,2022,7,28,7613,33,782369383,92,62,18,0,6,10,279
Made You Look,2022,10,21,3956,6,502574952,84,53,35,0,8,7,280
Watch This - ARIZONATEARS Pluggnb Remix,2023,2,5,1638,10,207033255,69,90,1,10,15,4,281
No Se Va,2022,4,28,924,18,404887295,59,53,12,0,23,3,282
Punto G,2022,11,4,1985,35,381161027,75,76,25,0,10,15,283
Lovers Rock,2014,6,5,6339,13,466231982,56,87,0,1,10,4,284
METAMORPHOSIS,2021,11,25,1561,24,357580552,59,64,43,90,12,10,285
Mami Chula,2023,4,27,875,4,61105704,80,70,22,0,9,4,286
En Paris,2022,12,24,406,5,198275403,70,48,37,0,12,5,287
Set Me Free Pt.2,2023,3,17,340,13,168448603,59,82,12,0,12,6,288
I Was Never There,2018,3,29,4188,15,705469769,32,74,14,0,17,3,289
Don't ever say love me (feat. RM of BTS),2023,5,4,105,0,34502215,54,48,36,0,37,5,290
Shut Down,2022,9,16,1524,17,482175240,82,69,0,0,18,4,291
Gato de Noche,2022,12,22,2651,30,304118600,89,66,17,0,36,16,292
Call Out My Name,2018,3,29,11087,6,1449799467,45,60,21,0,33,4,293
Like Crazy (English Version),2023,3,24,373,19,173627354,62,76,0,0,39,4,294
Rosa Pastel,2023,2,2,200,4,90025258,70,68,24,0,11,4,295
Sunroof,2021,12,3,3741,17,652704649,77,71,35,0,15,4,296
Lose Yourself - Soundtrack Version,2002,1,1,32502,21,1829992958,70,73,1,0,36,26,297
Superman,2002,5,26,7615,14,655466831,80,76,2,0,20,6,298
Mas Rica Que Ayer,2023,3,2,1208,34,146409671,82,67,34,0,9,8,299
People Pt.2 (feat. IU),2023,4,7,209,4,95816024,73,57,39,0,32,6,300
REMIX EXCLUSIVO,2023,3,17,1235,9,117206995,65,56,4,0,15,20,301
"ArcпїЅпїЅngel: Bzrp Music Sessions, Vol",2023,3,22,654,3,100409613,72,78,55,0,15,30,302
DOGTOOTH,2023,3,27,1479,0,80758350,71,65,51,0,22,32,303
10:35,2022,11,1,4942,26,325592432,70,79,7,0,18,10,304
SORRY NOT SORRY,2023,3,31,709,0,58473276,48,80,40,0,37,20,305
HAPPY,2023,3,25,660,0,52722996,73,86,31,0,12,4,306
La Bebe,2021,12,24,489,17,191945597,78,46,62,0,12,35,307
I Know - PR1SVX Edit,2023,3,24,407,0,77377503,67,76,8,47,30,7,308
Late Night Talking,2022,5,20,7461,8,743693613,71,73,30,0,11,5,309
LeпїЅ,2022,12,9,993,4,267789608,74,87,45,0,30,3,310
Save Your Tears (with Ariana Grande) (Remix),2020,3,20,9161,5,1221813483,65,79,3,0,10,3,311
Something in the Orange,2022,4,22,3282,12,449701773,59,38,42,0,12,3,312
VOID,2023,3,29,596,0,67070410,72,66,18,4,19,4,313
Dijeron Que No La Iba Lograr,2023,3,14,320,6,116334601,70,79,26,0,11,7,314
Midnight Rain,2022,10,21,2612,4,433356509,64,37,72,0,12,7,315
If We Ever Broke Up,2023,2,10,2040,4,165584767,90,73,62,0,9,4,316
You Proof,2022,5,13,2128,9,367814306,73,85,25,0,61,3,317
LA INOCENTE,2022,4,1,2598,37,477033549,76,79,31,0,7,6,318
Malas Decisiones,2022,10,26,542,2,156214700,81,79,5,0,31,3,319
Murder In My Mind,2022,1,21,2459,20,448843705,71,97,1,0,13,11,320
Gangsta's Paradise,1995,7,11,10624,17,1357608774,63,61,9,0,56,6,321
CAIRO,2022,11,13,2418,26,294352144,95,69,47,0,9,31,322
I Love You So,2014,11,28,7536,7,972164968,58,67,65,0,13,4,323
Dark Red,2017,2,20,10431,7,920045682,60,78,45,0,12,6,324
Say You Won't Let Go,2016,9,9,15722,16,2420461338,40,56,69,0,9,5,325
The Hills,2015,5,27,25744,4,1947371785,36,57,9,0,14,8,326
Heart To Heart,2019,5,10,1640,0,244658767,90,14,67,35,11,10,327
Peaches (from The Super Mario Bros. Movie),2023,4,7,34,0,68216992,71,31,79,0,10,5,328
Marisola - Remix,2022,12,15,1845,16,223582566,77,87,17,0,7,5,329
LOKERA,2022,7,25,3301,30,471819764,83,83,21,0,10,5,330
Low,2022,12,9,1911,0,272377463,70,55,43,0,16,6,331
Numb,2003,3,24,20111,5,1361425037,50,86,0,0,64,4,332
Tormenta (feat. Bad Bunny),2023,2,24,1529,0,149778242,64,77,46,0,38,6,333
on the street (with J. Cole),2023,3,3,615,2,116599790,68,82,53,0,9,13,334
One Thing At A Time,2022,12,2,811,4,148469433,61,91,0,0,26,3,335
Miss You,2022,8,5,5730,10,497225336,59,74,1,0,15,5,336
AinпїЅпїЅпїЅt Tha,2023,3,3,356,4,88791109,64,80,0,0,36,3,337
ThinkinпїЅпїЅпїЅ B,2023,3,3,604,6,125917280,66,76,49,0,12,3,338
