artist(s)_name,artist_count,track_id
JosпїЅпїЅ Felic,1,452
Lewis Capaldi,1,87
Olivia Rodrigo,1,514
Jimin,1,294
Labrinth,1,705
"Gunna, Lil Baby",2,644
"The Weeknd, Gesaffelstein",2,569
"Pharrell Williams, Nile Rodgers, Daft Punk",3,758
Beyoncпї,1,888
PinkPantheress,1,385
"Juan Cruz Toledo, Huilen Toledo",2,534
Arctic Monkeys,1,135
"Robin Schulz, Oliver Tree",2,336
Darlene Love,1,472
Kodak Black,1,547
The Weeknd,1,617
JISOO,1,214
Radiohead,1,183
Peso Pluma,1,125
The Walters,1,323
Future,1,682
"Lana Del Rey, Taylor Swift",2,224
Lisa,1,530
BTS,1,567
"Karol G, Quevedo",2,352
James Arthur,1,325
Taylor Swift,1,207
Juice WRLD,1,622
"Mambo Kingz, DJ Luian, Anuel Aa",3,255
Kaifi Khalil,1,350
"Kendrick Lamar, Baby Keem",2,630
SZA,1,456
"David Guetta, Anne-Marie, Coi Leray",3,52
Harry Styles,1,128
Lil Nas X,1,525
Beach House,1,396
Raim Laode,1,278
SZA,1,498
SZA,1,475
Loreen,1,117
Taylor Swift,1,177
ROSALпїЅ,1,381
Joji,1,418
Taylor Swift,1,114
"Bad Bunny, The MarпїЅп",2,783
"Abhijay Sharma, Riar Saab",2,212
Taylor Swift,1,271
Ed Sheeran,1,430
Rels B,1,882
"Post Malone, Swae Lee",2,42
j-hope,1,871
"Travis Scott, Young Thug, Metro Boomin",3,137
Tate McRae,1,615
"MC Caverinha, KayBlack",2,248
"RAYE, 070 Shake",2,217
"Buscabulla, Bad Bunny",2,778
Olivia Rodrigo,1,536
LE SSERAFIM,1,384
Lewis Capaldi,1,592
"SchпїЅпїЅrze, DJ R",2,870
Tory Lanez,1,253
OneRepublic,1,158
Kendrick Lamar,1,673
"Alvaro Diaz, Rauw Alejandro",2,680
"Ed Sheeran, J Balvin",2,752
"Drake, 21 Savage",2,932
"Kanye West, Alicia Keys, Fivio Foreign",3,656
Fuerza Regida,1,26
Morgan Wallen,1,337
"Tyler, The Creator, Kali Uchis",3,44
Em Beihold,1,678
"Feid, Mora, Saiko, Quevedo",4,198
Michael Bublпї,1,453
"El Chachito, Junior H",2,287
NewJeans,1,12
Taylor Swift,1,939
"Marshmello, Khalid",2,853
"Bad Bunny, Jhay Cortez",2,556
Jung Kook,1,95
Ed Sheeran,1,275
"Taylor Swift, Ice Spice",2,219
Armani White,1,906
Burna Boy,1,953
YEAT,1,913
LF System,1,880
V,1,688
"The Chainsmokers, Coldplay",2,725
Mariah Carey,1,442
MпїЅпїЅne,1,601
Bad Bunny,1,793
KALUSH,1,800
The Weeknd,1,524
Rosa Linn,1,179
"James Hype, Miggy Dela Rosa",2,437
BTS,1,827
Tini,1,242
"Katy Perry, Alesso",2,645
"Gabito Ballesteros, Junior H, Peso Pluma",3,21
Jnr Choi,1,568
"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,881
Sabrina Carpenter,1,123
"Calvin Harris, Ellie Goulding",2,122
Lizzo,1,765
"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",7,507
Lizzo,1,925
Leo Santana,1,360
"GODZZ__-, Zakaria",2,675
Kendrick Lamar,1,822
Bad Bunny,1,787
Oxlade,1,908
"Ed Sheeran, Fireboy DML",2,596
"Justin Bieber, Don Toliver",2,814
"TiпїЅпїЅsto, Kar",2,574
TiпїЅпї,1,599
Chino Pacas,1,150
"Bebe Rexha, David Guetta",2,43
Suki Waterhouse,1,825
"MarпїЅпїЅlia MendonпїЅпїЅa, George Henrique &",2,602
"Jack Harlow, Lil Nas X",2,411
Manuel Turizo,1,58
Bad Bunny,1,717
Keisya Levronka,1,861
Avicii,1,721
"Bizarrap, Quevedo",2,75
Sleepy hallow,1,608
Morgan Wallen,1,335
"Drake, 21 Savage",2,940
Luar La L,1,885
PnB Rock,1,915
The Weeknd,1,502
Stray Kids,1,206
Lewis Capaldi,1,901
Coldplay,1,911
"Big One, FMK, Ke personajes",3,156
"Ugly Dray, Tesla Jnr",2,813
SZA,1,485
"SZA, Travis Scott",2,469
Doja Cat,1,634
"Grupo Marca Registrada, Grupo Frontera",2,274
Bobby Helms,1,445
"Mabel Matiz, Mert Demir",2,479
Bad Bunny,1,363
Taylor Swift,1,490
"Baby Rasta, Rauw Alejandro",2,414
Drake,1,946
"Yandel, Feid",2,914
"Em Beihold, Stephen Sanchez",2,82
"Bad Bunny, Rauw Alejandro",2,495
"Drake, 21 Savage",2,246
"Rosa Walton, Hallie Coggins",2,928
Tom Odell,1,55
"Sech, Mora",2,811
"Tyler, The Creator",2,303
"LuпїЅпїЅsa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,750
Willow,1,736
"PSY, Suga",2,796
"Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,138
Taylor Swift,1,937
"Arijit Singh, Sachin-Jigar",2,345
Billie Eilish,1,400
"Nicky Jam, Feid",2,234
Mae Stephens,1,316
"TiпїЅпїЅsto, Ava",2,531
"Sog, Ryan Castro, Peso Pluma",3,145
Seafret,1,413
SZA,1,468
"Dua Lipa, Megan Thee Stallion",2,699
Harry Styles,1,840
LE SSERAFIM,1,817
Morgan Wallen,1,358
Jung Kook,1,651
Lizzo,1,373
The Police,1,167
Troye Sivan,1,31
BLACKPINK,1,406
SZA,1,486
Niall Horan,1,341
Stray Kids,1,754
TV Girl,1,284
Troye Sivan,1,742
Leah Kate,1,818
"Residente, Bizarrap",2,708
NIKI,1,613
Britney Spears,1,478
(G)I-DLE,1,131
"Drake, Future, Young Thug",3,618
"Jasiel NuпїЅпїЅez, Peso P",2,113
"Kendrick Lamar, Kodak Black",2,775
"Kendrick Lamar, Sampha",2,770
"Shawn Mendes, Camila Cabello",2,694
Feid,1,126
Doja Cat,1,519
"Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,403
Frank Sinatra,1,497
"The Weeknd, Madonna, Playboi Carti",3,25
"Gotye, Kimbra",2,728
Bad Bunny,1,423
Halsey,1,845
Rex Orange County,1,891
Jessica Darrow,1,523
"Carin Leon, Grupo Frontera",2,124
Lana Del Rey,1,97
Bad Bunny,1,677
SZA,1,331
Eminem,1,144
Quevedo,1,283
"Justin Quiles, Lenny TavпїЅпїЅrez, BL",3,544
Bad Bunny,1,771
Steve Lacy,1,324
"Shakira, Bizarrap",2,134
"AnnenMayKantereit, Giant Rooks",2,729
Peso Pluma,1,152
"Kaliii, Kaliii",2,210
Central Cee,1,342
Taylor Swift,1,238
Jimin,1,288
"Karol G, Romeo Santos",2,262
Morgan Wallen,1,29
"L7nnon, DJ Biel do Furduncinho, Bianca",3,877
Bad Bunny,1,240
Fujii Kaze,1,375
Olivia Rodrigo,1,589
Ed Sheeran,1,686
Harry Styles,1,837
"Bizarrap, Peso Pluma",2,24
Charlie Puth,1,747
"DJ Escobar, MC MENOR SG, MC MENOR HR",3,415
"Junior H, Peso Pluma",2,121
"Interplanetary Criminal, Eliza Rose",2,904
BTS,1,638
"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,541
Fifty Fifty,1,264
"Rich The Kid, Matuпї",2,259
Andy Williams,1,448
Sia,1,450
"Drake, Travis Scott",2,627
The Weeknd,1,522
"Don Omar, Lucenzo",2,153
Harry Styles,1,847
Doja Cat,1,759
"Rauw Alejandro, ROSALпїЅ",2,64
"Dua Lipa, DaBaby",2,434
Miley Cyrus,1,13
Kendrick Lamar,1,798
"Anuel Aa, Jhay Cortez",2,612
The Weeknd,1,293
Giveon,1,604
