Company Name,Country,Sales,Profit,Assets,Market Value
Goldman Sachs Group,United States,79450.0,10560.0,1538350.0,108720.0
Tencent Holdings,China,82410.0,27260.0,227010.0,415360.0
Amazon,United States,524900.0,4290.0,464380.0,1084060.0
Allianz,Germany,134260.0,7080.0,1139490.0,95450.0
RBC,Canada,60220.0,11400.0,1448660.0,135150.0
Pfizer,United States,92950.0,29040.0,197210.0,216280.0
Johnson & Johnson,United States,96310.0,12720.0,195970.0,422760.0
Deutsche Telekom,Germany,120720.0,8410.0,342620.0,117180.0
Mercedes-Benz Group,Germany,158780.0,15550.0,286000.0,78490.0
TD Bank Group,Canada,56720.0,11680.0,1445110.0,112920.0
Taiwan Semiconductor,Taiwan,75030.0,33570.0,165720.0,423170.0
Reliance Industries,India,109430.0,8300.0,208500.0,189190.0
BMW Group,Germany,154250.0,11670.0,268980.0,75770.0
LVMH Moët Hennessy Louis Vuitton,France,83220.0,14800.0,143700.0,482450.0
AXA Group,France,110920.0,6830.0,701250.0,70070.0
Santander,Spain,87740.0,10090.0,1900640.0,56180.0
Nestlé,Switzerland,98870.0,9710.0,146110.0,337660.0
Comcast,United States,120110.0,5660.0,259430.0,170460.0
Equinor,Norway,141920.0,28980.0,152490.0,91830.0
Bank of Communications,China,78290.0,12900.0,1868960.0,51580.0
Alibaba Group,China,128259.99999999999,4460.0,254930.0,216590.0
Procter & Gamble,United States,80970.0,14320.0,119850.0,367760.0
Nippon Telegraph & Tel,Japan,97360.0,9000.0,190660.0,106810.0
Sony,Japan,85150.0,6920.0,240750.0,115170.0
Petrobras,Brazil,124170.0,36470.0,184990.0,63030.0
Glencore International,Switzerland,254930.0,16980.0,132580.0,70000.0
Industrial Bank,China,59080.0,12970.0,1430040.0,51490.0
Stellantis,Netherlands,188750.0,17660.0,198680.0,49840.0
China Life Insurance,China,124430.0,4870.0,754950.0,55830.0
American Express,United States,59290.0,7180.0,235840.0,113460.0
General Electric,United States,74020.0,8560.0,164470.0,109160.0
CVS Health,United States,331170.0,3970.0,239330.0,90610.0
China State Construction Engineering,China,303780.0,7700.0,394940.0,41380.0
The Home Depot,United States,157400.0,17110.0,76440.0,293950.0
Cigna,United States,182800.0,6750.0,142690.0,77450.0
Tesla,United States,86030.0,11790.0,86830.0,539000.0
General Motors,United States,160740.0,9390.0,267000.0,46230.0
CITIC,Hong Kong,98480.0,9640.0,1511120.0,38400.0
Anheuser-Busch InBev,Belgium,57830.0,6060.0,214820.0,128210.00000000001
Merck & Co.,United States,57090.0,13030.0,107800.0,298740.0
AbbVie,United States,56740.0,7540.0,134540.0,261920.00000000003
Mitsubishi,Japan,161020.0,9490.0,171080.0,53500.0
Roche Holding,Switzerland,66260.0,13010.0,95280.0,253990.0
State Bank of India,India,56540.0,5990.0,695200.0,62880.0
Elevance Health,United States,160670.0,6210.0,109040.0,110110.0
Raytheon Technologies,United States,68570.0,5540.0,161640.0,141120.0
Oracle,United States,47960.0,8370.0,131620.0,261800.0
Eni,Italy,132380.0,13120.0,154130.0,49970.0
PepsiCo,United States,88050.0,6580.0,93040.0,267640.0
ConocoPhillips,United States,75200.0,15840.0,91440.0,121450.0
Bank of Montreal,Canada,37560.0,8290.0,858630.0,62480.0
CNOOC,Hong Kong,59080.0,21090.0,133640.0,72940.0
Sumitomo Mitsui Financial,Japan,41540.0,6450.0,2005650.0,56640.0
Walt Disney,United States,84070.0,3320.0,202120.0,183630.0
Bank of Nova Scotia,Canada,40240.0,6880.0,1030040.0,59340.0
Sanofi,France,45190.0,8800.0,135240.0,140170.0
BHP Group,Australia,59950.0,19510.0,87820.0,150430.0
Mitsubishi UFJ Financial,Japan,60220.0,3070.0,2966290.0,76890.0
UBS,Switzerland,39890.0,6550.0,1053130.0,58280.0
Cisco Systems,United States,53160.0,11300.0,95840.0,189430.0
Novartis,Switzerland,50950.0,7000.0,112240.0,208150.0
United Parcel Service,United States,98550.0,10780.0,72190.0,151100.0
Coca-Cola,United States,43310.0,9870.0,97400.0,276860.0
Siemens,Germany,77300.0,3740.0,153610.0,130650.0
Itaú Unibanco Holding,Brazil,53170.0,5750.0,441400.0,51280.0
Costco Wholesale,United States,234390.0,6050.0,66850.0,221320.0
Commonwealth Bank,Australia,25330.0,6960.0,835780.0,109210.0
Rio Tinto,United Kingdom,55340.0,12150.0,96740.0,102090.0
Iberdrola,Spain,59550.0,4890.0,165070.0,81390.0
BBVA-Banco Bilbao Vizcaya,Spain,51940.0,6720.0,803500.0,41230.0
Hyundai Motor,South Korea,114550.0,7020.0,203070.0,38940.0
Unilever,United Kingdom,63110.0,8050.000000000001,83050.0,140020.0
Zurich Insurance Group,Switzerland,41890.0,4610.0,352120.0,70970.0
Deere & Company,United States,55630.0,8189.999999999999,91620.0,112920.0
Mitsui,Japan,105570.0,8340.0,115570.0,48160.0
Honda Motor,Japan,124680.0,5380.0,182970.0,44940.0
British American Tobacco,United Kingdom,34060.0,8150.0,184700.0,78900.0
Bristol Myers Squibb,United States,45850.0,7310.0,94280.0,143150.0
Chubb,Switzerland,44700.0,5230.0,179830.0,82390.0
Intesa Sanpaolo,Italy,36360.0,5830.0,1037750.0,48860.0
Munich Re,Germany,79520.0,3610.0,324750.0,51220.0
Shanghai Pudong Development,China,56250.0,7630.0,1289670.0,32960.0
Hon Hai Precision,Taiwan,222290.0,4750.0,134500.0,47500.0
Marathon Petroleum,United States,174050.0,16390.0,87040.0,45360.0
Thermo Fisher Scientific,United States,43810.0,6020.0,94660.0,210740.0
Caterpillar,United States,61700.0,7110.0,83650.0,110970.0
Charles Schwab,United States,23860.0,7380.0,535600.0,88210.0
Contemporary Amperex Technology,China,53660.0,5700.0,93160.0,143970.0
Visa,United States,30980.0,15480.0,86750.0,477380.0
American International Group,United States,51420.0,6050.0,463770.0,39490.0
Ford Motor,United States,165060.0,2890.0,256800.0,47790.0
Itochu,Japan,104490.0,6260.0,103070.0,49180.0
AstraZeneca,United Kingdom,43850.0,4730.0,96690.0,233120.0
AIRBUS,France,60870.0,3630.0,128270.00000000001,106130.0
HDFC Bank,India,25470.0,5720.0,307900.0,110880.0
Credit Agricole,France,51300.0,5280.0,2313390.0,34400.0
VINCI,France,65440.0,4480.0,119520.0,67800.0
China Shenhua Energy,China,51980.0,8000.0,94220.0,67730.0
US Bancorp,United States,31420.0,5950.0,682380.0,47070.0
China Citic Bank,China,55180.0,9330.0,1278630.0,27130.0
Broadcom,United States,34410.0,12800.0,72980.0,262710.0
NextEra Energy,United States,24270.0,6680.0,165360.0,152790.0
Phillips 66,United States,167870.0,12390.0,77260.0,42880.0
Bayer,Germany,53330.0,4360.0,139690.0,63470.0
Charter Communications,United States,54480.0,4870.0,144870.0,53560.0
Vale,Brazil,41430.0,15980.0,87720.0,61720.0
NAB - National Australia Bank,Australia,26270.0,4990.0,702090.0,56100.0
Hitachi,Japan,80290.0,4790.0,93930.0,53760.0
Abbott Laboratories,United States,41510.0,5780.0,73790.0,193480.0
Japan Post Holdings,Japan,83790.0,3610.0,2228090.0,28960.0
ANZ,Australia,28270.0,4880.0,744230.0,48130.0
Danaher,United States,30950.0,6930.0,85040.0,178900.0
China Telecom,China,70290.0,4100.0,119860.0,51070.0
Lloyds Banking Group,United Kingdom,27970.0,7050.0,1095150.0,37830.0
Capital One,United States,41330.0,5840.0,471660.0,33540.0
PNC Financial Services,United States,26180.0,6280.0,561780.0,46370.0
Brookfield Corporation,Canada,94470.0,2000.0,441280.0,48840.0
PICC,China,93380.0,3480.0,216230.0,37150.0
Generali Group,Italy,91780.0,3060.0,552890.0,31510.0
Mizuho Financial,Japan,32030.0,4520.0,1908300.0,37500.0
Deutsche Post,Germany,96470.0,5120.0,73180.0,55250.0
Truist Financial,United States,28000.0,6360.0,574350.0,38210.0
China Pacific Insurance,China,68070.0,4160.0,300520.0,31020.0
Amgen,United States,25930.0,7920.0,88720.0,126380.0
KDDI,Japan,42700.0,4950.0,88020.0,68670.0
Lockheed Martin,United States,66150.0,5690.0,54620.0,115370.0
Accenture,Ireland,63140.0,6940.0,47730.0,176020.0
Lowe's,United States,97060.0,6410.0,45270.0,122740.0
Linde,United Kingdom,33350.0,4490.0,80310.0,179610.0
ICICI Bank,India,23170.0,4240.0,238310.0,79150.0
Barclays,United Kingdom,30930.0,6500.0,1902960.0,30040.0
Valero Energy,United States,174430.0,13640.0,60180.0,38700.0
Philip Morris International,United States,31810.0,8690.0,62060.0,148330.0
FedEx,United States,92620.0,2990.0,85780.0,57630.0
MetLife,United States,69530.0,1950.0,674270.0,41860.0
Occidental Petroleum,United States,36250.0,13220.0,74760.0,54630.0
BYD,China,68060.0,2890.0,79610.0,87010.0
Banco do Brasil,Brazil,53980.0,5760.0,380270.0,24850.0
Medtronic,Ireland,30770.0,4070.0000000000005,94130.0,119820.0
Banco Bradesco,Brazil,56260.0,3490.0,357450.0,31600.0
Møller-Maersk,Denmark,76610.0,24830.0,85490.0,30170.0
IBM,United States,60580.0,1830.0,133640.0,112280.0
UniCredit,Italy,21030.0,6790.0,915460.0,40140.0
América Móvil,Mexico,43570.0,3840.0,88240.0,66810.0
Enel,Italy,132190.0,1340.0,229910.0,68900.0
Southern Company,United States,29120.0,3360.0,134760.0,81720.0
Qualcomm,United States,41070.0,10540.0,48360.0,121180.0
Oversea-Chinese Banking,Singapore,25390.0,4170.0,417500.0,42890.0
L'Oréal,France,40210.0,6000.0,49990.0,250390.0
Canadian Imperial Bank,Canada,28830.0,3650.0,690970.0,37690.0
HCA Healthcare,United States,60880.0,5730.0,52710.0,76520.0
Duke Energy,United States,29140.0,2670.0,183340.0,76520.0
Honeywell International,United States,35940.0,5230.0,59880.0,132080.0
GSK,United Kingdom,35000.0,5350.0,72450.0,74450.0
Deutsche Bank,Germany,44540.0,5590.0,1419750.0,21650.0
McKesson,United States,273900.0,3140.0,62690.0,50100.0
DBS,Singapore,16110.0,5940.0,554450.0,61900.0
China Everbright Bank,China,41480.0,6650.0,974220.0,19730.0
Mondelez International,United States,32900.0,3940.0,72790.0,105630.0
Tokio Marine Holdings,Japan,48670.0,2420.0,216930.0,39820.0
Union Pacific,United States,25070.0,7000.0,65970.0,122690.0
Enbridge,Canada,37690.0,2110.0,130840.0,80510.0
Porsche Automobil Holding,Germany,41270.0,5560.0,50070.0,115760.0
Westpac Banking Group,Australia,18710.0,4050.0,653080.0,50440.0
China Railway Group,China,171530.0,4370.0,232030.0,18820.0
Midea Group,China,52990.0,4420.0,64190.0,56210.0
ING Group,Netherlands,19510.0,3860.0,1032900.0000000001,43320.0
Eli Lilly,United States,27690.0,5690.0,53160.0,406110.0
Humana,United States,95640.0,3120.0,54780.0,66850.0
Target,United States,109120.0,2780.0,53340.0,71950.0
Archer Daniels Midland,United States,102280.0,4460.0,58800.0,41370.0
NatWest Group,United Kingdom,22710.0,4700.0,860100.0,31030.0
Schneider Electric,France,35920.0,3650.0,62290.0,97630.0
National Grid,United Kingdom,26720.0,4000.0,112270.0,53390.0
Qatar National Bank,Qatar,21180.0,3840.0,323600.0,43040.0
E.ON,Germany,121560.0,1930.0,163480.0,34790.0
China Minsheng Bank,China,45010.0,4700.0,1043730.0,18630.0
Nike,United States,50640.0,5480.0,38290.0,194580.0
Gilead Sciences,United States,26840.0,5580.0,61880.0,99480.0
RWE Group,Germany,40320.0,2860.0,188790.0,33950.0
ArcelorMittal,Luxembourg,79530.0,9040.0,94550.0,21150.0
BlackRock,United States,17390.0,4900.0,121400.0,96820.0
Suncor Energy,Canada,44920.0,6970.0,62450.0,39030.0
McDonald's,United States,23410.0,6880.0,52010.0,216550.0
Canadian Natural Resources,Canada,30420.0,7280.0,55610.0,63250.0
Nordea Bank,Finland,17970.0,4640.0,656350.0,38570.0
China Resources Land,Hong Kong,30610.0,4140.0,155550.0,33120.0
SAP,Germany,32479.999999999996,2110.0,79890.0,156950.0
Travelers,United States,37790.0,2780.0,108900.0,42110.0
Netflix,United States,31910.0,4200.0,49490.0,143480.0
JD.com,China,155260.0,1490.0,85630.0,56260.0
Dell Technologies,United States,101560.0,2440.0,89610.0,33200.0
Oil & Natural Gas,India,86060.0,5380.0,77270.0,24650.0
CK Hutchison,Hong Kong,33520.0,4680.0,147140.0,26210.0
China Vanke,China,75640.0,3330.0,253660.0,18400.0
Vodafone,United Kingdom,49740.0,2250.0,154240.0,32360.0
Volvo Group,Sweden,48070.0,3710.0,63110.0,41030.0
Seven & I Holdings,Japan,88030.0,2090.0,77460.0,40760.0
HDFC,India,19040.0,3260.0,132820.0,60580.0
Bank of New York Mellon,United States,23050.0,2780.0,425110.0,33110.0
Anglo American,United Kingdom,35050.0,4370.0,67410.0,41300.0
Mastercard,United States,22820.0,9660.0,38940.0,364340.0
Novo Nordisk,Denmark,26320.0,8540.0,36470.0,359430.0
Northrop Grumman,United States,37110.0,4780.0,44240.0,67850.0
PTT,Thailand,96000.0,2610.0,98620.0,25600.0
PayPal,United States,27060.0,2420.0,78720.0,84180.0
ASML Holding,Netherlands,25360.0,7160.0,38190.0,254330.0
NVIDIA,United States,26970.0,4370.0,41180.0,708400.0
3M,United States,33430.0,5450.0,46890.0,57020.0
Poly Developments & Holdings Group,China,40070.0,2700.0,210720.0,24700.0
General Dynamics,United States,39900.0,3390.0,52100.0,58140.0
Macquarie Group,Australia,17220.0,3430.0,260810.0,44210.0
EOG Resources,United States,28430.0,9390.0,41020.0,66770.0
Takeda Pharmaceutical,Japan,29990.0,2090.0,102350.0,52780.0
Air Liquide,France,31460.0,2900.0,52850.0,93960.0
Aflac,United States,19030.0,4360.0,133870.0,40840.0
Sun Life Financial,Canada,31560.0,2400.0,240680.0,28420.0
Orange,France,45690.0,2050.0,120790.0,34050.0
Cosco Shipping,China,58340.0,16420.0,73620.0,18500.0
Kraft Heinz Company,United States,26930.0,2420.0,90940.0,50710.0
Nutrien,Canada,37750.0,7610.0,54590.0,32330.0
Standard Chartered,United Kingdom,28570.0,2840.0,820680.0,21360.0
KIA,South Korea,70170.0,4960.0,58290.0,26040.0
Dow,United States,53490.0,2900.0,59320.0,38480.0
SAIC Motor,China,102500.0,1950.0,137970.0,23040.0
Centene,United States,146250.0,1480.0,82980.0,37530.0
The Saudi National Bank,Saudi Arabia,11770.0,5090.0,260019.99999999997,58230.0
Sumitomo,Japan,50330.0,4510.0,77250.0,22820.0
EssilorLuxottica,France,25740.0,2260.0,64629.99999999999,90120.0
"Merck KGaA, Darmstadt, Germany and its affiliates",Germany,23360.0,3490.0,52340.0,79200.0
Schlumberger,United States,29930.0,3870.0,43850.0,65209.99999999999
China Railway Construction,China,160590.0,3930.0,231630.0,12460.0
Kroger,United States,148260.0,2220.0,52210.0,35320.0
Marubeni,Japan,73470.0,4240.0,61620.0,23830.0
Holcim,Switzerland,30560.0,3450.0,62260.0,39590.0
Dai-ichi Life Insurance,Japan,57610.0,1980.0,480840.0,18030.0
Nippon Steel,Japan,59520.0,4920.0,71850.0,19780.0
Denso,Japan,47240.0,2320.0,55670.0,44850.0
Royal Ahold Delhaize N.V.,Netherlands,91420.0,2680.0,51820.0,32369.999999999996
Inditex,Spain,34100.0,4320.0,32560.000000000004,108470.0
KBC Group,Belgium,18460.0,2950.0,379800.0,29100.0
Diageo,United Kingdom,20840.0,4410.0,46580.0,104220.0
Manulife,Canada,12230.0,5600.0,591340.0,36630.0
China Unicom,Hong Kong,52780.0,2520.0,92450.0,24330.0
KB Financial Group,South Korea,44380.0,3310.0,557090.0,14150.0
SK Hynix,South Korea,34530.0,1730.0,82140.0,46110.0
Saint-Gobain,France,53810.0,3160.0,59100.0,29320.0
Cheniere Energy,United States,33300.0,7730.0,40270.0,36000.0
Daimler Truck Holding,Germany,53540.0,2800.0,68270.0,26350.0
PKN Orlen,Poland,62440.0,7940.0,62180.0,17600.0
Zijin Mining Group,China,40310.0,2840.0,45890.0,45690.0
Kweichow Moutai,China,16650.0,9670.0,37600.0,318070.0
Telefónica,Spain,42030.0,2060.0,117020.0,25480.0
AmerisourceBergen,United States,247540.0,1620.0,58770.0,34010.0
Al Rajhi Bank,Saudi Arabia,10290.0,4520.0,206780.0,79360.0
Power Construction Corporation of China,China,83900.0,1710.0,161040.0,19290.0
Repsol,Spain,76120.0,4130.0,65310.0,18840.0
First Abu Dhabi Bank,United Arab Emirates,13110.0,3190.0,322750.0,42390.0
Fiserv,United States,18150.0,2420.0,76550.0,74260.0
Automatic Data Processing,United States,17660.0,3260.0,59880.0,89020.0
EnBW-Energie Baden,Germany,58860.0,1830.0,87930.0,26950.0
TJX Cos,United States,49940.0,3500.0,28350.0,90480.0
Saudi Electricity,Saudi Arabia,19200.0,4030.0000000000005,129009.99999999999,27290.0
CaixaBank,Spain,15430.0,3420.0,672200.0,26500.0
ABB,Switzerland,30370.0,2890.0,40040.0,66750.0
Posco,South Korea,63210.0,2430.0,78820.0,21730.0
Shinhan Financial Group,South Korea,33380.0,3460.0,534510.0,13850.0
Altria Group,United States,20630.0,5580.0,36830.0,83340.0
Starbucks,United States,33970.0,3550.0,28610.0,122910.0
Power Corp of Canada,Canada,55770.0,1510.0,523000.0,17760.0
CRH,Ireland,32840.0,3830.0,45190.0,36360.0
International Holding Company,United Arab Emirates,13850.0,3440.0,62090.0,236000.0
Exelon,United States,19310.0,2240.0,96920.0,42620.0
Longfor Group Holdings,China,37000.0,3570.0,113180.0,17110.0
Bank Rakyat Indonesia (BRI),Indonesia,13160.0,3450.0,119840.0,53790.0
Woodside Energy Group,Australia,16970.0,6610.0,59320.0,42330.0
American Electric,United States,19720.0,1990.0,94520.0,47420.0
Ecopetrol,Colombia,33670.0,7850.0,62450.0,18760.0
Femsa,Mexico,35860.0,3460.0,44900.0,35050.0
Sempra,United States,18210.0,2500.0,80550.0,48750.0
Société Générale,France,53330.0,1490.0,1586810.0,16190.000000000002
Texas Instruments,United States,19500.0,8220.0,29220.0,150510.0
Applied Materials,United States,26140.0,6450.0,27960.0,98080.0
Pioneer Natural Resources,United States,22830.0,7040.0,36110.0,49600.0
Bank of Ningbo,China,14690.0,3490.0,367560.0,26450.0
Nucor,United States,39730.0,6630.0,32250.0,35850.0
Cenovus Energy,Canada,47580.0,4130.0,39900.0,30300.0
Bank Of Jiangsu,China,19880.0,3940.0,464100.0,16450.0
Micron Technology,United States,23060.0,1610.0,66520.0,67010.0
Couche Tard,Canada,71780.0,2890.0,28320.0,51120.0
PG&E,United States,21680.0,1810.0,128500.0,34330.0
Freeport-McMoRan,United States,22370.0,2590.0,50910.0,52270.0
Huaxia Bank,China,24860.0,3680.0,586320.0,13840.0
United Overseas Bank,Singapore,12000.0,3320.0,375980.0,35360.0
Kering,France,21390.0,3800.0,36220.0,75520.0
Emirates NBD,United Arab Emirates,14650.0,4580.0,212980.0,24170.0
Shin-Etsu Chemical,Japan,20730.0,5230.0,35540.0,59750.0
Gree Electric Appliances,China,27510.0,3590.0,55970.0,28160.0
Discover Financial Services,United States,16950.0,4100.0,133060.0,24370.0
Citic Securities,China,13550.0,3150.0,209610.0,32110.0
Lennar,United States,33980.0,4650.0,36570.0,32830.0
China Communications Construction,China,106770.0,2770.0,218830.0,10940.0
PDD Holdings,Ireland,19280.0,4630.0,34110.0,83210.0
Progressive,United States,52050.0,855.5,74520.0,75820.0
Berkshire Hathaway,United States,302090.0,-22820.0,948450.0,707210.0
LG Chem,South Korea,41810.0,1390.0,53760.0,43260.0
D.R. Horton,United States,33660.0,5180.0,31170.0,36880.0
Principal Financial Group,United States,17200.0,4300.0,278530.0,17360.0
Delta Air Lines,United States,53990.0,1900.0,73130.0,21810.0
Marsh & McLennan,United States,21070.0,3210.0,34360.0,88730.0
DNB Bank,Norway,12410.0,3500.0,337710.0,27170.0
Corebridge Financial,United States,26410.0,8150.0,333440.0,10780.0
Wilmar International,Singapore,73410.0,2400.0,60400.0,18270.0
Ameriprise Financial,United States,15980.0,2210.0,166640.0,30340.0
Bank of Beijing,China,18580.0,3630.0,509660.0,14780.0
Kinder Morgan,United States,18250.0,2550.0,68930.0,38190.0
Fannie Mae,United States,125570.0,12290.0,4317460.0,511.0
LyondellBasell Industries,United Kingdom,47540.0,3030.0,36260.0,30050.0
Stryker,United States,18950.0,2630.0,36830.0,108080.0
Dollar General,United States,37840.0,2420.0,31940.0,47970.0
Japan Tobacco,Japan,20230.0,3420.0,47690.0,38600.0
HP,United States,58580.0,2600.0,36150.0,29680.0
Panasonic,Japan,62270.0,1690.0,60680.0,23070.0
OMV Group,Austria,59730.0,3620.0,59080.0,15170.0
Paccar,United States,30830.0,3150.0,34830.0,38020.0
CSX,United States,15150.0,4290.0,41480.0,64769.99999999999
Becton Dickinson,United States,18810.0,1650.0,54390.0,72040.0
S&P Global,United States,11950.0,2810.0,62020.0,113620.0
Eaton,Ireland,21390.0,2570.0,35520.0,68180.0
Life Insurance Corp. of India,India,100350.0,553.6,561410.0,43310.0
State Street,United States,14040.0,2720.0,290820.0,22900.0
Analog Devices,United States,12580.0,3430.0,50230.0,92770.0
Adobe,United States,17820.0,4740.0,26670.0,159810.0
Freddie Mac,United States,90360.0,7520.0,3224980.0,287.0
Nokia,Finland,26440.0,4490.0,45600.0,23060.0
Saudi Telecom,Saudi Arabia,17960.0,3240.0,36510.0,57590.0
AT&T,United States,121170.0,-9110.0,400870.0,122460.0
Orix,Japan,20050.0,2370.0,110300.0,19660.0
Banco Btg Pactual,Brazil,15490.0,1520.0,85350.0,50770.0
National Bank of Canada,Canada,12280.0,2550.0,313520.0,25450.0
BCE,Canada,18420.0,2060.0,51700.0,43730.0
Banorte,Mexico,16820.0,2260.0,106230.0,24740.0
Canadian National Railway,Canada,13390.0,4100.0,37610.0,80380.0
TAQA,United Arab Emirates,13730.0,2190.0,49420.0,97360.0
Daikin Industries,Japan,28840.0,1890.0,31640.0,54920.0
Consolidated Edison,United States,15970.0,2490.0,62800.0,34480.0
Reckitt Benckiser Group,United Kingdom,17800.0,2880.0,34570.0,58150.0
Swiss Life Holding,Switzerland,21320.0,1520.0,234900.0,18160.0
Naturgy Energy Group,Spain,35700.0,1730.0,43110.0,30160.0
MS&AD Insurance,Japan,37890.0,1110.0,189300.0,17720.0
Shaanxi Coal Industry,China,23360.0,5300.0,32710.0,27800.0
Poste Italiane,Italy,29300.0,1610.0,285670.0,13540.0
General Mills,United States,19950.0,2800.0,31200.0,52750.0
Tata Consultancy Services,India,27900.0,5240.0,17480.0,144520.0
Baoshan Iron & Steel,China,52560.0,1500.0,57270.0,20450.0
SEB AB,Sweden,10840.0,2880.0,366630.0,23630.0
WM,United States,19930.0,2260.0,31290.0,68520.0
Erste Group Bank,Austria,17550.0,2300.0,372570.0,14520.0
Tyson Foods,United States,53610.0,2430.0,36680.0,21160.0
Booking Holdings,United States,18170.0,4019.9999999999995,25210.0,94890.0
Koç Holding,Turkey,54650.0,4480.0,86810.0,9850.0
BAE Systems,United Kingdom,26180.0,1960.0,37850.0,38080.0
Heineken,Netherlands,30180.0,1410.0,57010.0,27580.0
United Airlines Holdings,United States,48820.0,1920.0,70420.0,14700.0
Haier Smart Home,China,36130.0,2220.0,34650.0,29130.0
Johnson Controls International,Ireland,26090.0,1390.0,43420.0,42670.0
Cummins,United States,30140.0,2520.0,31430.0,32049.999999999996
Wanhua Chemical Group,China,24040.0,2180.0,34600.0,40940.0
EDF,France,150790.0,-19500.0,414230.0,52830.0
Bank Of Shanghai,China,15280.0,3280.0,432220.0,13480.0
China Yangtze Power,China,8230.0,3180.0,84400.0,78240.0
BT Group,United Kingdom,26660.0,2210.0,59760.0,19310.0
CRRC,China,32340.000000000004,1740.0,65250.0,18690.0
Hartford Financial Services,United States,22880.0,1910.0,67320.0,21630.0
Dominion Energy,United States,16840.0,994.0,104240.0,47180.0
Mitsubishi Electric,Japan,36920.0,1580.0,41950.0,26990.0
Etisalat,United Arab Emirates,14190.0,2660.0,39950.0,55420.0
Fresenius,Germany,42710.0,1440.0,81550.0,15600.0
Toyota Tsusho,Japan,72670.0,2100.0,47910.0,14920.0
Bridgestone,Japan,31250.0,1980.0,37600.0,27830.0
Fortescue Metals Group,Australia,17050.0,5750.0,27970.0,42000.0
CEZ Group,Czech Republic,15160.0,3460.0,48930.0,30290.0
Xcel Energy,United States,15620.0,1770.0,60950.0,38290.0
ENEOS Holdings,Japan,111200.0,2290.0,81000.0,10110.0
Bank Mandiri,Indonesia,10000.0,2720.0,120800.0,32580.0
Talanx,Germany,56190.0,1230.0,200250.0,12110.0
Hana Financial Group,South Korea,29410.0,2800.0,449880.0,9170.0
Tesco,United Kingdom,79690.0,900.4,55850.0,25940.0
Intel,United States,56420.0,-2860.0,185300.0,129259.99999999999
Axis Bank,India,13210.0,1340.0,163590.0,32540.0
Nissan Motor,Japan,74280.0,982.6,128500.0,14520.0
AIA Group,Hong Kong,41670.0,282.9,297930.0,120400.0
Marriott International,United States,22190.0,2740.0,24860.0,53560.0
Boeing,United States,70540.0,-4130.0,136350.0,119320.0
Credit Suisse Group,Switzerland,39830.0,5660.0,591420.0,3440.0
Carrefour,France,87320.0,1420.0,60350.0,14330.0
Danone,France,29070.0,993.2,48330.0,42510.0
Yankuang Energy Group,China,22980.0,4560.0,44390.0,16350.000000000002
Regeneron Pharmaceuticals,United States,12370.0,4180.0,30060.0,83300.0
Canon,Japan,30430.0,1880.0,39510.0,24320.0
NTPC,India,21500.0,2190.0,54100.0,20650.0
Emerson Electric,United States,17500.0,2000.0,36150.0,48230.0
London Stock Exchange,United Kingdom,9540.0,1040.0,1004610.0,53390.0
IntercontinentalExchange,United States,9080.0,1440.0,151550.0,60640.0
Norfolk Southern,United States,12960.0,3030.0,39170.0,47510.0
