Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Year
28,1,Bachelor's Degree,Technical Support Specialist,2,40000,China,False,2015
42,0,Master's Degree,Creative Director,14,120000,Canada,False,2017
37,1,Bachelor's Degree,Project Manager,10,95000,USA,False,2017
50,0,Bachelor's Degree,Operations Manager,22,160000,USA,True,2018
32,1,Master's Degree,Senior Software Engineer,6,100000,USA,False,2016
48,0,Master's Degree,Human Resources Director,20,180000,Canada,False,2018
30,0,Bachelor's Degree,Content Marketing Manager,3,55000,Australia,True,2015
36,1,Bachelor's Degree,Technical Recruiter,8,70000,UK,False,2016
41,0,Master's Degree,Data Analyst,13,80000,USA,True,2017
25,1,Bachelor's Degree,Sales Representative,0,30000,Australia,False,2015
52,1,PhD,Chief Technology Officer,24,250000,Canada,False,2018
29,0,Bachelor's Degree,Junior Designer,2,40000,Australia,False,2015
34,0,Master's Degree,Financial Advisor,10,95000,UK,True,2017
27,1,Bachelor's Degree,Junior Account Manager,2,45000,Canada,True,2015
40,0,Bachelor's Degree,HR Generalist,15,80000,USA,False,2017
46,1,Master's Degree,Senior Project Manager,21,135000,Canada,False,2018
31,0,Bachelor's Degree,Marketing Coordinator,6,55000,Australia,False,2016
36,1,PhD,Principal Scientist,11,120000,UK,False,2017
29,0,Bachelor's Degree,Sales Associate,3,40000,China,True,2015
43,1,Bachelor's Degree,Supply Chain Manager,18,105000,UK,False,2017
52,0,Master's Degree,Senior Marketing Manager,25,170000,China,False,2018
33,1,Bachelor's Degree,Business Analyst,7,75000,Australia,False,2016
39,0,Bachelor's Degree,Training Specialist,12,65000,USA,False,2017
47,1,PhD,Research Scientist,22,160000,Australia,False,2018
26,1,Bachelor's Degree,Junior Software Developer,1,35000,China,True,2015
38,0,Master's Degree,Public Relations Manager,10,90000,UK,False,2017
45,1,Bachelor's Degree,Operations Analyst,20,110000,China,False,2018
31,0,Bachelor's Degree,Event Coordinator,5,45000,Australia,False,2016
35,1,Master's Degree,Product Marketing Manager,8,95000,China,True,2016
49,0,Master's Degree,Senior HR Manager,19,150000,Australia,True,2017
33,1,Bachelor's Degree,Junior Web Developer,5,50000,Canada,False,2016
39,0,Master's Degree,Senior Project Coordinator,13,80000,UK,False,2017
44,1,PhD,Chief Data Officer,16,220000,USA,False,2017
30,0,Bachelor's Degree,Digital Content Producer,3,50000,UK,True,2015
36,1,Bachelor's Degree,IT Support Specialist,7,60000,USA,False,2016
41,0,Master's Degree,Senior Marketing Analyst,14,100000,USA,True,2017
28,1,Bachelor's Degree,Customer Success Manager,2,40000,USA,False,2015
42,0,Master's Degree,Senior Graphic Designer,15,110000,USA,False,2017
37,1,Bachelor's Degree,Software Project Manager,9,95000,UK,True,2016
50,0,Bachelor's Degree,Supply Chain Analyst,22,130000,UK,False,2018
32,1,Master's Degree,Senior Business Analyst,6,90000,USA,False,2016
23,0,Bachelor's Degree,Junior Marketing Analyst,0,35000,USA,True,2015
31,1,Master's Degree,Senior Financial Analyst,6,95000,Australia,False,2016
40,0,Bachelor's Degree,Office Manager,15,65000,USA,True,2017
48,1,PhD,Principal Engineer,20,170000,USA,False,2018
29,0,Bachelor's Degree,Junior HR Generalist,3,45000,Australia,False,2015
35,1,Master's Degree,Senior Product Manager,10,120000,Canada,True,2017
42,0,Bachelor's Degree,Sales Manager,17,100000,China,False,2017
53,1,Master's Degree,Director of Marketing,25,180000,UK,False,2018
33,0,Bachelor's Degree,Junior Operations Analyst,5,50000,Australia,False,2016
38,1,Bachelor's Degree,Customer Service Manager,11,80000,China,True,2017
44,0,PhD,Senior Scientist,16,140000,UK,False,2017
26,1,Bachelor's Degree,Junior Accountant,2,40000,UK,True,2015
37,0,Master's Degree,Senior HR Generalist,9,95000,USA,False,2016
45,1,Bachelor's Degree,Sales Operations Manager,18,110000,UK,True,2017
32,0,Bachelor's Degree,Marketing Coordinator,4,50000,USA,True,2015
34,1,Master's Degree,Senior Software Developer,8,105000,Canada,True,2016
50,0,Master's Degree,Director of Operations,21,160000,UK,True,2018
29,1,Bachelor's Degree,Junior Web Designer,3,45000,China,True,2015
40,0,Master's Degree,Senior Training Specialist,12,100000,Canada,False,2017
47,1,PhD,Senior Research Scientist,22,160000,USA,False,2018
27,1,Bachelor's Degree,Junior Sales Representative,1,35000,UK,False,2015
39,0,Bachelor's Degree,Administrative Assistant,10,55000,Canada,False,2017
46,1,Master's Degree,Senior Project Manager,19,140000,Canada,False,2017
30,0,Bachelor's Degree,Junior Marketing Manager,4,50000,Canada,True,2015
36,1,Bachelor's Degree,Junior Data Analyst,7,60000,Australia,False,2016
43,0,Master's Degree,Senior Product Marketing Manager,14,120000,Australia,True,2017
28,1,Bachelor's Degree,Junior Business Analyst,2,40000,USA,True,2015
41,0,Master's Degree,Senior Marketing Manager,13,110000,Australia,False,2017
33,1,Bachelor's Degree,Junior Software Developer,5,50000,USA,False,2016
47,1,Bachelor's Degree,Senior Sales Manager,20,135000,China,True,2018
25,0,Master's Degree,Junior Marketing Specialist,1,40000,Australia,False,2015
34,1,Bachelor's Degree,Senior Business Analyst,8,90000,Australia,False,2016
42,0,PhD,Senior Data Scientist,16,150000,China,False,2017
31,1,Bachelor's Degree,Junior Project Manager,4,60000,UK,False,2015
38,0,Bachelor's Degree,Senior Accountant,10,80000,USA,False,2017
45,1,Master's Degree,Director of Sales,19,175000,Canada,False,2017
29,0,Bachelor's Degree,Junior Recruiter,3,45000,Australia,False,2015
36,1,Master's Degree,Senior Business Development Manager,11,120000,Canada,False,2017
43,0,PhD,Senior Product Designer,18,140000,Australia,False,2017
26,1,Bachelor's Degree,Junior Customer Support Specialist,2,35000,USA,False,2015
37,0,Master's Degree,Senior Marketing Analyst,9,95000,Canada,True,2016
44,1,Bachelor's Degree,Senior IT Support Specialist,14,110000,USA,False,2017
32,0,Bachelor's Degree,Junior Financial Analyst,5,50000,USA,False,2016
33,1,Master's Degree,Senior Operations Manager,7,115000,China,False,2016
51,0,PhD,Director of Human Resources,23,185000,China,False,2018
28,1,Bachelor's Degree,Junior Software Engineer,2,40000,Australia,True,2015
39,0,Bachelor's Degree,Senior Sales Representative,12,90000,USA,False,2017
48,1,Master's Degree,Director of Product Management,21,175000,USA,False,2018
30,0,Bachelor's Degree,Junior Copywriter,3,45000,UK,False,2015
35,1,Bachelor's Degree,Senior Marketing Coordinator,7,80000,China,True,2016
41,0,Master's Degree,Senior Human Resources Manager,13,120000,China,False,2017
27,1,Bachelor's Degree,Junior Business Development Associate,1,35000,China,True,2015
40,0,Bachelor's Degree,Senior Account Manager,14,110000,Australia,False,2017
46,1,PhD,Senior Researcher,18,150000,Canada,False,2017
31,0,Bachelor's Degree,Junior HR Coordinator,4,50000,China,False,2015
34,1,Master's Degree,Senior Software Engineer,9,105000,China,False,2016
50,0,Master's Degree,Director of Finance,20,180000,Australia,False,2018
29,1,Bachelor's Degree,Junior Marketing Coordinator,2,40000,Canada,False,2015
43,1,Bachelor's Degree,Senior Project Manager,16,140000,UK,True,2017
26,0,Master's Degree,Junior Data Scientist,1,45000,Canada,False,2015
35,1,Bachelor's Degree,Senior Operations Analyst,7,85000,China,True,2016
42,0,PhD,Senior Marketing Manager,18,140000,UK,False,2017
31,1,Bachelor's Degree,Junior Accountant,4,50000,UK,False,2015
38,0,Bachelor's Degree,Senior Human Resources Coordinator,10,80000,UK,False,2017
46,1,Master's Degree,Director of Operations,20,170000,USA,False,2018
29,0,Bachelor's Degree,Junior Sales Representative,2,40000,UK,False,2015
37,1,Master's Degree,Senior Business Analyst,9,105000,China,False,2016
44,0,PhD,Senior UX Designer,15,145000,USA,False,2017
27,1,Bachelor's Degree,Junior Product Manager,2,40000,USA,False,2015
36,0,Bachelor's Degree,Senior Marketing Specialist,8,85000,USA,False,2016
43,1,Bachelor's Degree,Senior IT Project Manager,14,130000,China,False,2017
33,0,Master's Degree,Senior Financial Analyst,6,95000,Canada,True,2016
34,1,Bachelor's Degree,Senior Quality Assurance Analyst,9,100000,UK,False,2016
50,0,PhD,Director of Sales and Marketing,22,180000,China,False,2018
28,1,Bachelor's Degree,Junior Operations Analyst,1,35000,UK,False,2015
39,0,Bachelor's Degree,Senior Account Executive,12,95000,USA,False,2017
47,1,Master's Degree,Director of Business Development,19,170000,Australia,False,2017
30,0,Bachelor's Degree,Junior Social Media Manager,3,45000,Australia,False,2015
34,1,Bachelor's Degree,Senior Product Manager,7,95000,China,False,2016
40,0,Master's Degree,Senior Human Resources Specialist,13,120000,UK,False,2017
28,1,Bachelor's Degree,Junior Business Analyst,2,40000,USA,False,2015
41,0,Bachelor's Degree,Senior Marketing Coordinator,11,90000,Canada,False,2017
45,1,PhD,Senior Data Analyst,17,155000,UK,False,2017
32,0,Bachelor's Degree,Junior Account Manager,5,55000,Australia,False,2016
35,1,Master's Degree,Senior Software Developer,9,110000,Canada,False,2016
49,0,Master's Degree,Director of Human Capital,21,180000,UK,False,2018
30,1,Bachelor's Degree,Junior Advertising Coordinator,3,45000,UK,True,2015
44,1,Bachelor's Degree,Senior Sales Manager,16,130000,USA,False,2017
27,0,Master's Degree,Junior UX Designer,1,45000,USA,False,2015
36,1,Bachelor's Degree,Senior Accountant,7,90000,Canada,True,2016
41,0,PhD,Senior Marketing Director,17,160000,UK,False,2017
31,1,Bachelor's Degree,Junior HR Generalist,4,50000,China,False,2015
39,0,Bachelor's Degree,Senior Operations Manager,10,120000,Australia,False,2017
47,1,Master's Degree,Director of Finance,20,170000,Australia,False,2018
30,0,Bachelor's Degree,Junior Marketing Coordinator,2,40000,China,False,2015
38,1,Master's Degree,Senior IT Consultant,9,110000,China,True,2016
45,0,PhD,Senior Product Designer,15,150000,China,False,2017
28,1,Bachelor's Degree,Junior Business Development Associate,2,40000,USA,False,2015
35,0,Bachelor's Degree,Senior Marketing Analyst,8,85000,USA,True,2016
44,1,Bachelor's Degree,Senior Software Engineer,14,130000,China,False,2017
34,0,Master's Degree,Senior Financial Advisor,6,100000,UK,False,2016
35,1,Bachelor's Degree,Senior Project Coordinator,9,95000,Canada,True,2016
50,0,PhD,Director of Operations,22,180000,Australia,False,2018
29,1,Bachelor's Degree,Junior Business Operations Analyst,1,35000,UK,False,2015
40,0,Bachelor's Degree,Senior Sales Representative,12,100000,China,False,2017
48,1,Master's Degree,Director of Marketing,19,170000,USA,False,2017
31,0,Bachelor's Degree,Junior Social Media Specialist,3,45000,UK,False,2015
33,1,Bachelor's Degree,Senior Product Development Manager,7,100000,USA,False,2016
42,0,Master's Degree,Senior Human Resources Manager,13,140000,China,True,2017
28,1,Bachelor's Degree,Junior Financial Analyst,2,40000,Australia,False,2015
40,0,Bachelor's Degree,Senior Marketing Manager,11,105000,UK,True,2017
46,1,PhD,Senior Data Scientist,18,160000,Canada,True,2017
33,0,Bachelor's Degree,Junior Operations Manager,5,70000,Australia,False,2016
37,1,Master's Degree,Senior Software Architect,9,120000,Australia,False,2016
51,0,Master's Degree,Director of Human Resources,21,190000,USA,False,2018
30,1,Bachelor's Degree,Junior Marketing Specialist,3,45000,Canada,False,2015
43,1,Bachelor's Degree,Senior Project Manager,15,120000,Canada,False,2017
27,0,Master's Degree,Junior Research Scientist,1,50000,China,True,2015
35,1,Bachelor's Degree,Senior Operations Analyst,8,85000,Canada,True,2016
42,0,PhD,Senior Marketing Manager,13,140000,Canada,True,2017
32,1,Bachelor's Degree,Junior Sales Representative,3,45000,Australia,True,2015
37,0,Bachelor's Degree,Senior Financial Analyst,9,100000,UK,False,2016
45,1,Master's Degree,Senior Software Developer,16,140000,Australia,False,2017
33,0,Bachelor's Degree,Junior Operations Analyst,5,70000,Canada,False,2016
39,1,Bachelor's Degree,Senior Marketing Specialist,10,120000,Canada,False,2017
44,0,PhD,Senior HR Manager,18,160000,Canada,True,2017
29,1,Bachelor's Degree,Junior Business Analyst,1,40000,Australia,False,2015
38,0,Bachelor's Degree,Senior Product Manager,10,120000,China,False,2017
46,1,PhD,Senior Data Analyst,19,150000,UK,False,2017
34,0,Bachelor's Degree,Junior Marketing Analyst,6,70000,USA,False,2016
36,1,Bachelor's Degree,Senior Operations Manager,8,95000,USA,True,2016
49,0,Master's Degree,Director of Marketing,21,180000,Canada,True,2018
31,1,Bachelor's Degree,Junior Financial Analyst,3,50000,Canada,False,2015
41,0,Bachelor's Degree,Senior Project Coordinator,11,95000,USA,False,2017
47,1,Master's Degree,Director of Operations,20,170000,Canada,True,2018
30,0,Bachelor's Degree,Junior Marketing Coordinator,2,40000,USA,True,2015
38,1,Master's Degree,Senior IT Consultant,9,110000,Australia,False,2016
45,0,PhD,Senior Product Designer,15,150000,China,False,2017
28,1,Bachelor's Degree,Junior Business Development Associate,2,40000,USA,False,2015
35,0,Bachelor's Degree,Senior Marketing Analyst,8,85000,Canada,True,2016
44,1,Bachelor's Degree,Senior Software Engineer,14,130000,Australia,False,2017
34,0,Master's Degree,Senior Financial Advisor,6,100000,Australia,False,2016
35,1,Bachelor's Degree,Senior Project Coordinator,9,95000,UK,False,2016
50,0,PhD,Director of Operations,22,180000,Australia,True,2018
29,1,Bachelor's Degree,Junior Business Operations Analyst,1,350,USA,False,2015
37,0,Bachelor's Degree,Senior Financial Manager,10,120000,USA,False,2017
46,1,PhD,Senior Data Scientist,18,160000,China,False,2017
31,0,Bachelor's Degree,Junior Marketing Coordinator,3,50000,Australia,True,2015
42,1,Bachelor's Degree,Senior Operations Manager,12,110000,Canada,False,2017
29,0,Bachelor's Degree,Junior Sales Representative,1,40000,USA,False,2015
36,1,Bachelor's Degree,Senior Marketing Specialist,8,95000,UK,True,2016
44,0,Master's Degree,Senior HR Specialist,15,140000,China,False,2017
33,1,Bachelor's Degree,Junior Operations Manager,4,60000,China,False,2015
39,0,Bachelor's Degree,Senior Marketing Coordinator,9,110000,China,True,2016
45,1,PhD,Senior Data Engineer,16,150000,Australia,False,2017
32,0,Bachelor's Degree,Junior Marketing Manager,4,60000,UK,False,2015
37,1,Bachelor's Degree,Senior Financial Analyst,8,90000,Australia,False,2016
47,0,Master's Degree,Director of Marketing,20,180000,UK,False,2018
30,1,Bachelor's Degree,Junior Business Analyst,2,40000,Australia,False,2015
38,0,Bachelor's Degree,Senior Project Manager,9,120000,UK,False,2016
46,1,PhD,Senior Data Analyst,17,160000,UK,False,2017
34,0,Bachelor's Degree,Junior Financial Analyst,5,70000,UK,False,2016
36,1,Bachelor's Degree,Senior Product Manager,8,95000,Australia,False,2016
49,0,Master's Degree,Director of Operations,21,180000,UK,False,2018
31,1,Bachelor's Degree,Junior Operations Analyst,3,50000,USA,False,2015
41,0,Bachelor's Degree,Senior Project Coordinator,11,95000,Canada,False,2017
47,1,Master's Degree,Director of Marketing,19,170000,Canada,True,2017
29,0,Bachelor's Degree,Junior Business Development Associate,1,35000,Australia,True,2015
35,1,Bachelor's Degree,Senior Financial Manager,9,100000,Canada,True,2016
44,0,PhD,Senior Product Designer,15,150000,China,True,2017
33,1,Bachelor's Degree,Junior Business Analyst,4,60000,Canada,False,2015
35,0,Bachelor's Degree,Senior Marketing Analyst,8,85000,China,False,2016
44,1,Bachelor's Degree,Senior Software Engineer,13,130000,Canada,True,2017
32,1,Bachelor's Degree,Junior Product Manager,4,65000,China,False,2015
38,0,Bachelor's Degree,Senior Business Analyst,10,110000,Australia,False,2017
49,1,PhD,Director of Operations,21,180000,USA,False,2018
29,0,Bachelor's Degree,Junior Marketing Specialist,2,40000,Australia,False,2015
35,1,Bachelor's Degree,Senior Business Development Manager,7,90000,USA,False,2016
45,0,Master's Degree,Senior HR Manager,14,140000,UK,False,2017
33,1,Bachelor's Degree,Junior Financial Analyst,4,60000,China,False,2015
40,0,Bachelor's Degree,Senior Marketing Manager,12,130000,Australia,False,2017
44,1,PhD,Senior Data Scientist,16,160000,Australia,False,2017
30,0,Bachelor's Degree,Junior Operations Coordinator,2,40000,Australia,True,2015
37,1,Bachelor's Degree,Senior Marketing Analyst,9,100000,UK,False,2016
48,0,Master's Degree,Director of HR,20,180000,USA,False,2018
31,1,Bachelor's Degree,Junior Project Manager,3,55000,Canada,False,2015
38,0,Bachelor's Degree,Senior Operations Coordinator,9,120000,Canada,False,2016
45,1,PhD,Senior Data Engineer,16,150000,Canada,False,2017
33,0,Bachelor's Degree,Junior Marketing Manager,5,70000,UK,False,2016
36,1,Bachelor's Degree,Senior Business Analyst,8,95000,China,False,2016
49,0,Master's Degree,Director of Marketing,21,180000,China,True,2018
31,1,Bachelor's Degree,Junior Operations Analyst,3,50000,Canada,False,2015
42,0,Bachelor's Degree,Senior Project Manager,12,120000,Australia,True,2017
47,1,Master's Degree,Director of Marketing,19,170000,UK,True,2017
29,0,Bachelor's Degree,Junior Business Development Associate,1,35000,Australia,True,2015
35,1,Bachelor's Degree,Senior Financial Manager,9,100000,Australia,False,2016
44,0,PhD,Senior Product Designer,15,150000,Australia,False,2017
33,1,Bachelor's Degree,Junior Business Analyst,4,60000,UK,True,2015
35,0,Bachelor's Degree,Senior Marketing Analyst,8,85000,Canada,False,2016
44,1,Bachelor's Degree,Senior Software Engineer,13,130000,Australia,True,2017
34,0,Master's Degree,Senior Financial Advisor,6,80000,Canada,True,2016
36,1,Bachelor's Degree,Senior Marketing Specialist,8,95000,Canada,True,2016
30,0,Bachelor's Degree,Junior HR Coordinator,2,40000,UK,False,2015
37,1,Bachelor's Degree,Senior Business Development Manager,10,120000,China,False,2017
45,0,Master's Degree,Senior Marketing Manager,16,160000,Canada,False,2017
32,1,Bachelor's Degree,Junior Financial Advisor,4,65000,USA,False,2015
39,0,Bachelor's Degree,Senior Project Manager,12,130000,Canada,True,2017
47,1,PhD,Director of Engineering,20,180000,China,True,2018
29,0,Bachelor's Degree,Junior Marketing Analyst,2,40000,Australia,False,2015
36,1,Bachelor's Degree,Senior Operations Manager,9,100000,UK,False,2016
43,0,PhD,Senior Data Scientist,15,150000,USA,False,2017
32,1,Bachelor's Degree,Junior Marketing Coordinator,3,55000,Canada,True,2015
38,0,Bachelor's Degree,Senior Business Analyst,10,110000,China,True,2017
48,1,Master's Degree,Director of Marketing,21,180000,China,False,2018
31,0,Bachelor's Degree,Junior Business Development Associate,3,50000,China,False,2015
40,1,Bachelor's Degree,Senior Financial Analyst,12,130000,Australia,True,2017
45,0,PhD,Senior UX Designer,16,160000,Australia,False,2017
33,1,Bachelor's Degree,Junior Product Manager,4,60000,Canada,False,2015
36,0,Bachelor's Degree,Senior Marketing Manager,8,95000,China,False,2016
47,1,Master's Degree,Director of Operations,19,170000,China,False,2017
29,0,Bachelor's Degree,Junior Project Manager,2,40000,UK,False,2015
34,1,Bachelor's Degree,Senior Operations Coordinator,7,90000,UK,False,2016
44,0,PhD,Senior Business Analyst,15,150000,UK,True,2017
33,1,Bachelor's Degree,Junior Marketing Specialist,5,70000,UK,False,2016
35,0,Bachelor's Degree,Senior Financial Manager,8,90000,Australia,True,2016
43,1,Master's Degree,Director of Marketing,18,170000,China,False,2017
31,0,Bachelor's Degree,Junior Financial Analyst,3,50000,UK,False,2015
41,1,Bachelor's Degree,Senior Product Manager,14,150000,Canada,True,2017
44,0,PhD,Senior Data Engineer,16,160000,Canada,False,2017
33,1,Bachelor's Degree,Junior Business Analyst,4,60000,Canada,False,2015
35,0,Bachelor's Degree,Senior Marketing Analyst,8,85000,Canada,False,2016
45,1,Master's Degree,Director of Engineering,19,180000,China,False,2017
28,0,Bachelor's Degree,Junior Operations Manager,1,35000,Canada,False,2015
36,1,Bachelor's Degree,Senior Business Development Manager,8,110000,USA,False,2016
44,0,PhD,Senior Data Scientist,16,160000,China,False,2017
31,1,Bachelor's Degree,Junior Marketing Coordinator,3,55000,Canada,False,2015
38,0,Bachelor's Degree,Senior Business Analyst,10,110000,Canada,False,2017
48,1,Master's Degree,Director of Marketing,21,180000,Canada,False,2018
31,0,Bachelor's Degree,Junior Business Development Associate,3,50000,Canada,False,2015
40,1,Bachelor's Degree,Senior Financial Analyst,12,130000,USA,True,2017
45,0,PhD,Senior UX Designer,16,160000,UK,False,2017
33,1,Bachelor's Degree,Junior Product Manager,4,60000,Canada,True,2015
36,0,Bachelor's Degree,Senior Marketing Manager,8,95000,UK,False,2016
47,1,Master's Degree,Director of Operations,19,170000,UK,False,2017
29,0,Bachelor's Degree,Junior Project Manager,2,40000,Australia,False,2015
34,1,Bachelor's Degree,Senior Operations Coordinator,7,90000,China,False,2016
44,0,PhD,Senior Business Analyst,15,150000,UK,False,2017
33,1,Bachelor's Degree,Junior Marketing Specialist,5,70000,Canada,True,2016
35,0,Bachelor's Degree,Senior Financial Manager,8,90000,China,False,2016
43,1,Master's Degree,Director of Marketing,18,170000,Canada,False,2017
31,0,Bachelor's Degree,Junior Financial Analyst,3,50000,Canada,False,2015
41,1,Bachelor's Degree,Senior Product Manager,14,150000,China,False,2017
44,0,PhD,Senior Data Engineer,16,160000,Australia,True,2017
33,1,Bachelor's Degree,Junior Business Analyst,4,60000,UK,False,2015
35,0,Bachelor's Degree,Senior Marketing Analyst,8,85000,China,True,2016
43,1,Master's Degree,Director of Operations,19,170000,China,True,2017
29,0,Bachelor's Degree,Junior Project Manager,2,40000,USA,False,2015
34,1,Bachelor's Degree,Senior Operations Coordinator,7,90000,China,True,2016
44,0,PhD,Senior Business Analyst,15,150000,UK,True,2017
31,1,Master's Degree,Data Scientist,6,160000,Australia,True,2016
28,0,Bachelor's Degree,Software Engineer,3,125000,Canada,False,2015
26,1,Master's Degree,Product Manager,2,120000,China,True,2015
27,0,Bachelor's Degree,Data Analyst,2,110000,UK,False,2015
30,1,PhD,Data Scientist,5,180000,China,False,2016
29,0,Bachelor's Degree,Software Engineer,4,140000,Australia,True,2015
32,1,Bachelor's Degree,Product Manager,7,170000,USA,False,2016
25,0,Master's Degree,Data Analyst,1,100000,China,True,2015
33,1,PhD,Data Scientist,8,190000,UK,False,2016
31,0,Bachelor's Degree,Software Engineer,6,155000,UK,False,2016
28,1,Master's Degree,Product Manager,3,130000,Canada,False,2015
30,0,Bachelor's Degree,Data Analyst,5,145000,USA,False,2016
27,1,PhD,Data Scientist,2,115000,USA,False,2015
29,0,Bachelor's Degree,Software Engineer,4,140000,USA,False,2015
34,1,Bachelor's Degree,Product Manager,9,185000,China,False,2016
25,0,Master's Degree,Data Analyst,1,100000,Australia,False,2015
33,1,PhD,Data Scientist,8,190000,Canada,False,2016
31,0,Bachelor's Degree,Software Engineer,6,155000,UK,False,2016
28,1,Master's Degree,Product Manager,3,130000,Australia,True,2015
30,0,Bachelor's Degree,Data Analyst,5,145000,Australia,True,2016
28,1,Bachelor's Degree,Software Engineer,3,125000,China,False,2015
26,0,Master's Degree,Product Manager,2,120000,USA,True,2015
27,1,Bachelor's Degree,Data Analyst,2,110000,USA,False,2015
30,0,PhD,Data Scientist,5,180000,China,False,2016
29,1,Bachelor's Degree,Software Engineer,4,140000,USA,False,2015
32,1,Bachelor's Degree,Product Manager,7,170000,China,False,2016
25,0,Master's Degree,Data Analyst,1,100000,Australia,False,2015
